"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"meB","kûsa",,,,"AET1(67)","gifford_californian_1922",""
"myB","inyahul",,,,"AET1(67)","gifford_californian_1922",""
"meZ","hidjisa",,,,"AET1(67)","gifford_californian_1922",""
"myZ","inyathus",,,,"AET1(67)","gifford_californian_1922",""
"mF","enyiku'",,,,"AET1(67)","gifford_californian_1922",""
"mM","intca",,,,"AET1(67)","gifford_californian_1922",""
"mS","homa",,,,"AET1(67)","gifford_californian_1922",""
"mD","episa",,,,"AET1(67)","gifford_californian_1922",""
"mFF","winpa",,,,"AET1(67)","gifford_californian_1922",""
"mFM","numa",,,,"AET1(67)","gifford_californian_1922",""
"mMF","inkwo",,,,"AET1(67)","gifford_californian_1922",""
"mMM","inika",,,,"AET1(67)","gifford_californian_1922",""
"mSS","a'au",,,,"AET1(67)","gifford_californian_1922",""
"mSD","si'au",,,,"AET1(67)","gifford_californian_1922",""
"mDS","axga",,,,"AET1(67)","gifford_californian_1922",""
"mDD","si'ga",,,,"AET1(67)","gifford_californian_1922",""
"mFZ","enyipi",,,,"AET1(67)","gifford_californian_1922",""
"mMB","enyikwa",,,,"AET1(67)","gifford_californian_1922",""
"mFeB","whinyiwit",,,,"AET1(67)","gifford_californian_1922",""
"mFyB","whinyiskau",,,,"AET1(67)","gifford_californian_1922",""
"mMeZ","enyûsi",,,,"AET1(67)","gifford_californian_1922",""
"mMyZ","enyimu",,,,"AET1(67)","gifford_californian_1922",""
"meBS","yiskauwa",,,,"AET1(67)","gifford_californian_1922",""
"myBS","^i wit",,,,"AET1(67)","gifford_californian_1922",""
"meBD","yiskauwa",,,,"AET1(67)","gifford_californian_1922",""
"myBD","siwit",,,,"AET1(67)","gifford_californian_1922",""
"mFZS","iLya",,,,"AET1(67)","gifford_californian_1922",""
"mFZS","iLya",,,,"AET1(67)","gifford_californian_1922",""
"mMBS","iLya",,,,"AET1(67)","gifford_californian_1922",""
"mFeBS","kûsa",,,,"AET1(67)","gifford_californian_1922",""
"mFyBS","inyahul",,,,"AET1(67)","gifford_californian_1922",""
"mFeZS","iLya",,,,"AET1(67)","gifford_californian_1922",""
"mFyZS","iLya",,,,"AET1(67)","gifford_californian_1922",""
"mFeBD","hidjisa",,,,"AET1(67)","gifford_californian_1922",""
"mFyBD","ilya",,,,"AET1(67)","gifford_californian_1922",""
"mFeZD","hidjisa",,,,"AET1(67)","gifford_californian_1922",""
"mFyZD","inyahul",,,,"AET1(67)","gifford_californian_1922",""
"mMeBS","iLya",,,,"AET1(67)","gifford_californian_1922",""
"mMyBS","iLya",,,,"AET1(67)","gifford_californian_1922",""
"mMeZS","kûsa",,,,"AET1(67)","gifford_californian_1922",""
"mMeBD","ilya",,,,"AET1(67)","gifford_californian_1922",""
"mMyBD","ilya",,,,"AET1(67)","gifford_californian_1922",""
"mMyZD","ilya",,,,"AET1(67)","gifford_californian_1922",""
"mFZeS","iLya",,,,"AET1(67)","gifford_californian_1922",""
"mFZyS","iLya",,,,"AET1(67)","gifford_californian_1922",""
"mFZyD","ilya",,,,"AET1(67)","gifford_californian_1922",""
"mMBeD","ilya",,,,"AET1(67)","gifford_californian_1922",""
"mMByD","ilya",,,,"AET1(67)","gifford_californian_1922",""
"mH","inkraak",,,,"AET1(68)","gifford_californian_1922",""
"mW","winswai",,,,"AET1(68)","gifford_californian_1922",""
