parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
meB,hu-ka'-mi-u'-li-stö-kö,,,,AET1(73),gifford_californian_1922,
myB,hu-ki'-tcitc-stan-ī-hu,,,,AET1(73),gifford_californian_1922,
meZ,hu-ka-mo-te-u'-lu-e-stö-kö,,,,AET1(73),gifford_californian_1922,
myZ,hu-kamu'-te-stān'-i-hu,,,,AET1(73),gifford_californian_1922,
mF,u-kâ'-kâ,,,,AET1(73),gifford_californian_1922,
mM,kâ'-ni,,,,AET1(73),gifford_californian_1922,
mS,huk-tän'-ä-hu,,,,AET1(73),gifford_californian_1922,
mD,huk-sa-a'-hi,,,,AET1(73),gifford_californian_1922,
mFM,k'nän'-nī,,,,AET1(73),gifford_californian_1922,
mSS,huk-tän'-ä-hu,,,,AET1(73),gifford_californian_1922,
mDS,huk-sa-s'-hi,,,,AET1(73),gifford_californian_1922,
mW,huk-täl'-ī-hik,,,,AET1(73),gifford_californian_1922,
feB,hu-ka'-mi-u'-li-stö-kö,,,,AET1(73),gifford_californian_1922,
fyB,hu-ki'-tcitc-stan-ī-hu,,,,AET1(73),gifford_californian_1922,
feZ,hu-ka-mo-te-u'-lu-e-stö-kö,,,,AET1(73),gifford_californian_1922,
fyZ,hu-kamu'-te-stān'-i-hu,,,,AET1(73),gifford_californian_1922,
fF,u-kâ'-kâ,,,,AET1(73),gifford_californian_1922,
fM,kâ'-ni,,,,AET1(73),gifford_californian_1922,
fS,huk-tän'-ä-hu,,,,AET1(73),gifford_californian_1922,
fD,huk-sa-a'-hi,,,,AET1(73),gifford_californian_1922,
fFM,k'nän'-nī,,,,AET1(73),gifford_californian_1922,
fSS,huk-tän'-ä-hu,,,,AET1(73),gifford_californian_1922,
fDS,huk-sa-s'-hi,,,,AET1(73),gifford_californian_1922,
fH,hu-ki-si-hö'-yö,,,,AET1(73),gifford_californian_1922,
