parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
meB,wawurd,wawuɖ,male speaker's older brother,,,,
myB,wulkûn,wulkɨn,male speaker's younger brother,,,,
feB,wulkûn,wulkɨn,female speaker's older brother,,,,
fyB,wulkûn,wulkɨn,female speaker's younger brother,,,,
meZ,yabok,jabok,male speaker's older sister,,,,"I suggest we just say 'address' term: this actually means 'no good person', and is part of a system widespread in Australia where men should use a highly negative word to address their sister, as a type of incest avoidenace. Also, for consistency shouldn't we also ask for the IPA version of this type of kin term as well (which would be bijweʔ"
myZ,yabok,jabok,male speaker's younger sister,,,,
feZ,yabok,jabok,female speaker's older sister,,,,
fyZ,wulkûndjan,wulkɨncan,female speaker's younger sister,,,,
mF,bulu,bulu,male speaker's father,,,,
mM,nah,naʔ,male speaker's mother,,,,
fF,bulu,bulu,female speaker's father,,,,
fM,nah,naʔ,female speaker's mother,,,,
mS,bey,bej,male speaker's son,,,,
fS,wurd,wuɖ,female speaker's son,,,,
mD,beydjan,bejcan,male speaker's daughter,,,,
fD,wurd,wuɖ,female speaker's daughter,,,,
mSS,kakkak,kak:ak,male speaker's son's son,,,,
mSD,kakkak,kak:ak,male speaker's son's daughter,,,,
mDS,"mamamh, kanjwoh","mamamʔ, kaɲwoʔ",male speaker's daughter's son,,,,"The form kaɲwoʔ was not given by MT but is given in Alpher 1982 with the meaning 'mDC, mZSC'"
mDD,"mamamh, kanjwoh","mamamʔ, kaɲwoʔ",male speaker's daughter's daughter,,,,
fSS,mimih,mimiʔ,female speaker's son's son,,,,
fSD,mimih,mimiʔ,female speaker's son's daughter,,,,
fDS,winjkûn,wiɲkɨn,female speaker's daughter's son,,,,
fDD,winjkûndjan,wiɲkɨncan,female speaker's daugher's daughter,,,,
mFF,kakkak,kak:ak,male speaker's father‘s father,,,,"It will be observed that although the term kakkak covers both types of parallel grandparents – FF and MM – their reciprocals are not the same, since the recip. Of kakkak FF is kakkak (i.e. this sense is self-reciprocal) while the recip. Of kakkak MM is winjkûn(djan)"
mFM,mimih,mimiʔ,male speaker's father's mother,,,,
mMF,mamamh,mamamʔ,male speaker's mother's father,,,,
mMM,kakkak,kak:ak,male speaker's mother's mother,,,,
fFF,kakkak,kak:ak,female speaker's father's father,,,,
fFM,mimih,mimiʔ,female speaker's father's mother,,,,
fMF,mamamh,mamamʔ,female speaker's mother's father,,,,
fMM,kakkak,kak:ak,female speaker's mother's mother,,,,
meBS,bey,bej,male speaker's older brother's son,,,,
myBS,bey,bej,male speaker's younger brother's son,,,,
meZS,wurd,wuɖ,male speaker's older sister's son,,,,
myZS,wurd,wuɖ,male speaker's younger sister's son,,,,
meBD,beydjan,bejcan,male speaker's older brother's daughter,,,,
myBD,beydjan,bejcan,male speaker's younger brother's daughter,,,,
meZD,wurd,wuɖ,male speaker's older sister's daughter,,,,
myZD,wurd,wuɖ,male speaker's younger sister's daughter,,,,
feBS,bey,bej,female speaker's older brother's son,,,,
fyBS,bey,bej,female speaker's younger brother's son,,,,
feZS,wurd,wuɖ,female speaker's older sister's son,,,,
fyZS,wurd,wuɖ,female speaker's younger sister's son,,,,
feBD,beydcan,bejcan,female speaker's older brother's daughter,,,,
fyBD,beydcan,bejcan,female speaker's younger brother's daughter,,,,
feZD,wurd,wuɖ,female speaker's older sister's daughter,,,,
fyZD,wurd,wuɖ,female speaker's younger sister's daughter,,,,
mFeB,bulu,bulu,male speaker's father's older brother,,,,"Normally, the basic 'father' term bulu is used for FeB and FyB. However, if more precision is required, the term buluwurrungu can be used for FeB"
mFyB,bulu,bulu,male speaker's father's younger brother,,,,"Normally, the basic 'father' term bulu is used for FeB and FyB. However, if more precision is required, the term bulukorroh can be used for FyB"
mFeZ,djongok,coŋok,male speaker's father's older sister,,,,
mFyZ,djongok,coŋok,male speaker's father's younger sister,,,,
mMeB,"nabadjan, kardak","nabacan, kaɖak",male speaker's mother's older brother,,,,"nabadjan lit. meangs 'the big one' (male), and parallels the use of ngalbadjan to mean 'mother' in Bininj Kun-wok, where ngal- is the feminine prefix, hence 'the big one (female)'"
mMyB,kardak,kaɖak,male speaker's mother's younger brother,,,,
mMeZ,"mulah, morlah","mulaʔ, moɭaʔ",male speaker's mother's older sister,,,,
mMyZ,nah,naʔ,male speaker's mother's younger sister,,,,"Normally, the basic 'mother' term nah is used for M and MyZ. However, if more precision is required, the term nahkorroh can be used for MyZ"
fFeB,bulu,bulu,female speaker's father's older brother,,,,"Normally, the basic 'father' term bulu is used for FeB and FyB. However, if more precision is required, the term buluwurrungu can be used for FeB"
fFyB,bulu,bulu,female speaker's father's younger brother,,,,"Normally, the basic 'father' term bulu is used for FeB and FyB. However, if more precision is required, the term bulukorroh can be used for FyB"
fFeZ,djongok,coŋok,female speaker's father's older sister,,,,
fFyZ,djongok,coŋok,female speaker's father's younger sister,,,,
fMeB,"nabadjan, kardak","nabacan, kaɖak",female speaker's mother's older brother,,,,
fMyB,"nabadjan, kardak","nabacan, kaɖak",female speaker's mother's younger brother,,,,
fMeZ,"mulah, morlah","mulaʔ, moɭaʔ",female speaker's mother's older sister,,,,
fMyZ,nah,naʔ,female speaker's mother's younger sister,,,,
mW,kirdikird,kiɖikiɖ,male speaker's wife,,,,
fH,duway,duwaj,female speaker‘s husband,,,,
fDH,djarburh,caɻbuɻʔ,female speaker's daughter's husband,,,,
mDH,duwe,duwe,male speaker's daughter's husband,,,,
fSW,beydjan,bejcan,female speaker's son's wife,,,,
mSW,balak,balak,male speaker's son's wife,,,,
fHM,"djarburh, djongok","caɻbuɻʔ, coŋok",female speaker's husband's mother,,,,
mWM,balak,balak,male speaker's wife's mother,,,,
fHF,duwe,duwe,female speaker's husband's father,,,,
mWF,duwe,duwe,male speaker's wife's father,,,,
mFBeS,wawurd,wawuɖ,male speaker‘s father‘s brother‘s older son,,,,
mFByS,wulkûn,wulkɨn,male speaker‘s father‘s brother‘s younger son,,,,
mFBeD,yabok,jabok,male speaker‘s father‘s brother‘s older daughter,,,,
mFByD,yabok,jabok,male speaker‘s father‘s brother‘s younger daughter,,,,
mFZeS,"kom, bandji, barnka","kom, banci, baɳka",male speaker‘s father‘s sisters‘s older son,,,,
mFZyS,"kom, bandji, barnka","kom, banci, baɳka",male speaker‘s father‘s sisters‘s younger son,,,,
mFZeD,"kom, bandji, barnka","kom, banci, baɳka",male speaker‘s father‘s sisters‘s older daughter,,,,
mFZyD,"kom, bandji, barnka","kom, banci, baɳka",male speaker‘s father‘s sisters‘s younger daughter,,,,
mMBeS,"kom, bandji, barnka","kom, banci, baɳka",male speaker‘s mother‘s brother‘s older son,,,,
mMByS,"kom, bandji, barnka","kom, banci, baɳka",male speaker‘s mother‘s brother‘s younger son,,,,
mMBeD,"kom, bandji, barnka","kom, banci, baɳka",male speaker‘s mother‘s brother‘s older daughter,,,,
mMByD,"kom, bandji, barnka","kom, banci, baɳka",male speaker‘s mother‘s brother‘s younger daughter,,,,
mMZeS,wawurd,wawuɖ,male speaker‘s mother‘s sisters‘s older son,,,,
mMZyS,wulkûn,wulkɨn,male speaker‘s mother‘s sisters‘s younger son,,,,
mMZeD,yabok,jabok,male speaker‘s mother‘s sisters‘s older daughter,,,,
mMZyD,yabok,jabok,male speaker‘s mother‘s sisters‘s younger daughter,,,,
fFBeS,wulkûn,wulkɨn,female speaker‘s father‘s brother‘s older son,,,,
fFByS,wulkûn,wulkɨn,female speaker‘s father‘s brother‘s younger son,,,,
