"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"meB","ama‘",,"male ego's older brother",,,"wagner1967curse","missing?"
"myB","ama‘",,"male ego's younger brother",,,"wagner1967curse",""
"feB","ape",,"female ego's older brother",,,"wagner1967curse",""
"fyB","ape",,"female ego's younger brother",,,"wagner1967curse",""
"meZ","ape",,"male ego's older sister",,,"wagner1967curse",""
"myZ","ape",,"male ego's younger sister",,,"wagner1967curse",""
"feZ","ama‘",,"female ego's older sister",,,"wagner1967curse",""
"fyZ","ama‘",,"female ego's younger sister",,,"wagner1967curse",""
"mF","aia",,"male ego's father",,,"wagner1967curse",""
"mM","ida, paba",,"male ego's mother",,,"wagner1967curse",""
"fF","aia",,"female ego's father",,,"wagner1967curse",""
"fM","ida, paba",,"female ego's mother",,,"wagner1967curse",""
"mS","aia, ogwa",,"male ego's son",,,"wagner1967curse",""
"fS","ogwa",,"female ego's son",,,"wagner1967curse",""
"mD","aia, wegi",,"male ego's daughter",,,"wagner1967curse",""
"fD","wegi",,"female ego's daughter",,,"wagner1967curse",""
"mSS","wai‘",,"male ego's son's son",,,"wagner1967curse",""
"mSD","wai‘",,"male ego's son's daughter",,,"wagner1967curse",""
"mDS","wai‘",,"male ego's daughter's son",,,"wagner1967curse",""
"mDD","wai‘",,"male ego's daughter's daughter",,,"wagner1967curse",""
"fSS","auwa",,"female ego's son's son ",,,"wagner1967curse",""
"fSD","auwa",,"female ego's son's daughter ",,,"wagner1967curse",""
"fDS","auwa",,"female ego's daughter's son ",,,"wagner1967curse",""
"fDD","auwa",,"female ego's daugher's daughter ",,,"wagner1967curse",""
"mFF","wai‘",,"male ego's father‘s father",,,"wagner1967curse",""
"mFM","auwa",,"male ego's father's mother",,,"wagner1967curse",""
"mMF","wai‘",,"male ego's mother's father",,,"wagner1967curse",""
"mMM","auwa",,"male ego's mother's mother",,,"wagner1967curse",""
"fFF","wai‘",,"female ego's father's father ",,,"wagner1967curse",""
"fFM","auwa",,"female ego's father's mother ",,,"wagner1967curse",""
"fMF","wai‘",,"female ego's mother's father ",,,"wagner1967curse",""
"fMM","auwa",,"female ego's mother's mother ",,,"wagner1967curse",""
"meBS","ogwa",,"male ego's older brother's son ",,,"wagner1967curse",""
"myBS","ogwa",,"male ego's younger brother's son ",,,"wagner1967curse",""
"meZS","ogwa",,"male ego's older sister's son ",,,"wagner1967curse",""
"myZS","ogwa",,"male ego's younger sister's son ",,,"wagner1967curse",""
"meBD","wegi",,"male ego's older brother's daughter ",,,"wagner1967curse",""
"myBD","wegi",,"male ego's younger brother's daughter ",,,"wagner1967curse",""
"meZD","wegi",,"male ego's older sister's daughter ",,,"wagner1967curse",""
"myZD","wegi",,"male ego's younger sister's daughter ",,,"wagner1967curse",""
"feBS","ogwa",,"female ego's older brother's son ",,,"wagner1967curse",""
"fyBS","ogwa",,"female ego's younger brother's son ",,,"wagner1967curse",""
"feZS","ogwa",,"female ego's older sister's son ",,,"wagner1967curse",""
"fyZS","ogwa",,"female ego's younger sister's son ",,,"wagner1967curse",""
"feBD","wegi",,"female ego's older brother's daughter ",,,"wagner1967curse",""
"fyBD","wegi",,"female ego's younger brother's daughter ",,,"wagner1967curse",""
"feZD","wegi",,"female ego's older sister's daughter ",,,"wagner1967curse",""
"fyZD","wegi",,"female ego's younger sister's daughter ",,,"wagner1967curse",""
"mFeB","aia",,"male ego's father's older brother ",,,"wagner1967curse",""
"mFyB","aia",,"male ego's father's younger brother ",,,"wagner1967curse",""
"mFeZ","na‘",,"male ego's father's older sister ",,,"wagner1967curse",""
"mFyZ","na‘",,"male ego's father's younger sister ",,,"wagner1967curse",""
"mMeB","awa",,"male ego's mother's older brother ",,,"wagner1967curse",""
"mMyB","awa",,"male ego's mother's younger brother ",,,"wagner1967curse",""
"mMeZ","ida, paba",,"male ego's mother's older sister ",,,"wagner1967curse",""
"mMyZ","ida, paba",,"male ego's mother's younger sister ",,,"wagner1967curse",""
"fFeB","aia",,"female ego's father's older brother ",,,"wagner1967curse",""
"fFyB","aia",,"female ego's father's younger brother ",,,"wagner1967curse",""
"fFeZ","na‘",,"female ego's father's older sister ",,,"wagner1967curse",""
"fFyZ","na‘",,"female ego's father's younger sister ",,,"wagner1967curse",""
"fMeB","awa",,"female ego's mother's older brother ",,,"wagner1967curse",""
"fMyB","awa",,"female ego's mother's younger brother ",,,"wagner1967curse",""
"fMeZ","ida, paba",,"female ego's mother's older sister ",,,"wagner1967curse",""
"fMyZ","ida, paba",,"female ego's mother's younger sister ",,,"wagner1967curse",""
"mW","we",,"male ego's wife",,,"wagner1967curse",""
"fH","bidi",,"female ego‘s husband",,,"wagner1967curse",""
"mDH","wai",,"male ego's daughter's husband",,,"wagner1967curse",""
"fDH","au",,"female ego's daughter's husband",,,"wagner1967curse",""
"mSW","wai‘",,"male ego's son's wife",,,"wagner1967curse",""
"fSW","auwa",,"female ego's son's wife",,,"wagner1967curse",""
"mWF","wai",,"male ego's wife's father",,,"wagner1967curse",""
"mWM","au",,"male ego's wife's mother",,,"wagner1967curse",""
"mWB","baze",,"male ego's wife's brother",,,"wagner1967curse",""
"mWZ","baze-we",,"male ego's wife's sister",,,"wagner1967curse",""
"fHF","wai‘",,"female ego's husband's father",,,"wagner1967curse",""
"fHM","auwa",,"female ego's husband's mother",,,"wagner1967curse",""
"fHB","wai‘, sare",,"female ego's husband's brother",,,"wagner1967curse",""
"fHZ","mene",,"female ego's husband's sister",,,"wagner1967curse",""
"mBW","sare",,"male ego's brother's wife",,,"wagner1967curse",""
"fBW","mene",,"female ego's brother's wife",,,"wagner1967curse",""
"mZH","baze",,"male ego's sister's husband",,,"wagner1967curse",""
"fZH","baze-me",,"female ego's sister's husband",,,"wagner1967curse",""
"mFBS","ama‘",,"male ego's father's brother's son ",,,"wagner1967curse",""
"mFZS","hai‘",,"male ego's father's sister's son ",,,"wagner1967curse",""
"mMBS","hai‘",,"male ego's mother's brother's son ",,,"wagner1967curse",""
"mMZS","ama‘",,"male ego's mother's sister's son ",,,"wagner1967curse",""
"mFBD","ape",,"male ego's father's brother's daughter ",,,"wagner1967curse",""
"mFZD","hai‘",,"male ego's father's sister's daughter ",,,"wagner1967curse",""
"mMBD","hai‘",,"male ego's mother's brother's daughter ",,,"wagner1967curse",""
"mMZD","ape",,"male ego's mother's sister's daughter ",,,"wagner1967curse",""
