"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"meB","gundee",,,,"AET9(8)","south_slave_divisional_education_council_dene_2009",""
"meB","gundee héʔi",,,,"AET9(8)","south_slave_divisional_education_council_dene_2009","elder brother deceased."
"myB","sechie",,,,"AET9(8)","south_slave_divisional_education_council_dene_2009","sechílé héʔi: Deceased"
"myB","sechílé",,,,"AET9(8)","south_slave_divisional_education_council_dene_2009","sechílé héʔi: Deceased"
"meZ","sembade",,,,"AET9(11)","south_slave_divisional_education_council_dene_2009",""
"myZ","sedéa",,,,"AET9(10)","south_slave_divisional_education_council_dene_2009",""
"mP","secho",,,,"AET9(10)","south_slave_divisional_education_council_dene_2009","plural form."
"mP","sechoke",,,,"AET9(10)","south_slave_divisional_education_council_dene_2009","plural form."
"mF","setá",,,,"AET9(9)","south_slave_divisional_education_council_dene_2009",""
"mM","semǫ",,,,"AET9(10)","south_slave_divisional_education_council_dene_2009",""
"mM","amá",,,,"AET9(10)","south_slave_divisional_education_council_dene_2009",""
"mC","sezhaa",,,,"AET9(9)","south_slave_divisional_education_council_dene_2009","term only plural."
"mS","sezhaa",,,,"AET9(11)","south_slave_divisional_education_council_dene_2009",""
"mD","setúé",,,,"AET9(9)","south_slave_divisional_education_council_dene_2009",""
"mA","ehtsíe",,,,"AET9(9)","south_slave_divisional_education_council_dene_2009",""
"mA","secho yáįléeke",,,,"AET9(9)","south_slave_divisional_education_council_dene_2009",""
"mFF","ehtsíe",,,,"AET9(9)","south_slave_divisional_education_council_dene_2009",""
"mFF","setsíe",,,,"AET9(9)","south_slave_divisional_education_council_dene_2009",""
"mFM","ehtsų",,,,"AET9(9)","south_slave_divisional_education_council_dene_2009",""
"mFM","setsų",,,,"AET9(9)","south_slave_divisional_education_council_dene_2009",""
"mMF","ehtsíe",,,,"AET9(9)","south_slave_divisional_education_council_dene_2009",""
"mMF","setsíe",,,,"AET9(9)","south_slave_divisional_education_council_dene_2009",""
"mMM","ehtsų",,,,"AET9(9)","south_slave_divisional_education_council_dene_2009",""
"mMM","setsų",,,,"AET9(9)","south_slave_divisional_education_council_dene_2009",""
"mCC","secháa",,,,"AET9(9)","south_slave_divisional_education_council_dene_2009",""
"mCC","ehtsíake",,,,"AET9(9)","south_slave_divisional_education_council_dene_2009",""
"mFB","seʔeh",,,,"AET9(11)","south_slave_divisional_education_council_dene_2009",""
"mFZ","ehmbée",,,,"AET9(8)","south_slave_divisional_education_council_dene_2009",""
"mFZ","ehmbée héʔi",,,,"AET9(8)","south_slave_divisional_education_council_dene_2009","father's sister deceased."
"mMB","seʔeh",,,,"AET9(11)","south_slave_divisional_education_council_dene_2009",""
"mMZ","sǫ",,,,"AET9(8)","south_slave_divisional_education_council_dene_2009",""
"mMZ","sǫ héʔi",,,,"AET9(8)","south_slave_divisional_education_council_dene_2009","mother's sister deceased."
"mBS","saazeh",,,,"AET9(11)","south_slave_divisional_education_council_dene_2009",""
"mBD","sezháa",,,,"AET9(12)","south_slave_divisional_education_council_dene_2009",""
"mZS","saazeh",,,,"AET9(11)","south_slave_divisional_education_council_dene_2009",""
"mZD","sezháa",,,,"AET9(12)","south_slave_divisional_education_council_dene_2009",""
"meBS","gundee mezhaa",,,,"AET9(11)","south_slave_divisional_education_council_dene_2009",""
"myBS","sechie mezhaa",,,,"AET9(12)","south_slave_divisional_education_council_dene_2009",""
"meBD","gundee metúé",,,,"AET9(12)","south_slave_divisional_education_council_dene_2009",""
"myBD","sechie metúé",,,,"AET9(12)","south_slave_divisional_education_council_dene_2009",""
"meZS","sembade mezhaa",,,,"AET9(12)","south_slave_divisional_education_council_dene_2009",""
"myZS","sedéé mezhaa",,,,"AET9(12)","south_slave_divisional_education_council_dene_2009",""
"meZD","sembade metúé",,,,"AET9(12)","south_slave_divisional_education_council_dene_2009",""
"myZD","sedéé metúé",,,,"AET9(12)","south_slave_divisional_education_council_dene_2009",""
"mFZD","sóot’į",,,,"AET9(9)","south_slave_divisional_education_council_dene_2009",""
"mFBD","sóot’į",,,,"AET9(9)","south_slave_divisional_education_council_dene_2009",""
"mMBD","sóot’į",,,,"AET9(9)","south_slave_divisional_education_council_dene_2009",""
"mMZD","sóot’į",,,,"AET9(9)","south_slave_divisional_education_council_dene_2009",""
"mFBS","sóot’į",,,,"AET9(9)","south_slave_divisional_education_council_dene_2009",""
"mFZS","sóot’į",,,,"AET9(9)","south_slave_divisional_education_council_dene_2009",""
"mMBS","sóot’į",,,,"AET9(9)","south_slave_divisional_education_council_dene_2009",""
"mMZS","sóot’į",,,,"AET9(9)","south_slave_divisional_education_council_dene_2009",""
"mH","sedené",,,,"AET9(9)","south_slave_divisional_education_council_dene_2009",""
"mW","setséke",,,,"AET9(11)","south_slave_divisional_education_council_dene_2009",""
"mHF","seʔeh",,,,"AET9(9)","south_slave_divisional_education_council_dene_2009",""
"mHM","ehmbée",,,,"AET9(10)","south_slave_divisional_education_council_dene_2009",""
"mHM","sedené memǫ",,,,"AET9(10)","south_slave_divisional_education_council_dene_2009",""
"mWF","seʔeh",,,,"AET9(9)","south_slave_divisional_education_council_dene_2009",""
"mWM","ehmbée",,,,"AET9(10)","south_slave_divisional_education_council_dene_2009",""
"mWM","sets’éke memǫ",,,,"AET9(10)","south_slave_divisional_education_council_dene_2009",""
"mBW","seyeh",,,,"AET9(11)","south_slave_divisional_education_council_dene_2009",""
"mZH","seyeh",,,,"AET9(8)","south_slave_divisional_education_council_dene_2009",""
