"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"meB","boi",,"male ego's older brother",,,"universitas1986irian",
"myB","ida",,"male ego's younger brother",,,"universitas1986irian",
"feB","hu",,"female ego's older brother",,,"universitas1986irian",
"fyB","hu",,"female ego's younger brother",,,"universitas1986irian",
"meZ","oita",,"male ego's older sister",,,"universitas1986irian",
"myZ","oita",,"male ego's younger sister",,,"universitas1986irian",
"feZ","boi",,"female ego's older sister",,,"universitas1986irian",
"fyZ","ida",,"female ego's younger sister",,,"universitas1986irian",
"mF","aua",,"male ego's father",,,"universitas1986irian",
"mM","ja",,"male ego's mother",,,"universitas1986irian",
"fF","aua",,"female ego's father",,,"universitas1986irian",
"fM","ja",,"female ego's mother",,,"universitas1986irian",
"mS","sa",,"male ego's son",,,"universitas1986irian",
"fS","sa",,"female ego's son",,,"universitas1986irian",
"mD","sa",,"male ego's daughter",,,"universitas1986irian",
"fD","sa",,"female ego's daughter",,,"universitas1986irian",
"mSS","ai",,"male ego's son's son",,,"universitas1986irian",
"mSD","ai",,"male ego's son's daughter",,,"universitas1986irian",
"mDS","ai",,"male ego's daughter's son",,,"universitas1986irian",
"mDD","ai",,"male ego's daughter's daughter",,,"universitas1986irian",
"fSS","ai",,"female ego's son's son ",,,"universitas1986irian",
"fSD","ai",,"female ego's son's daughter ",,,"universitas1986irian",
"fDS","ai",,"female ego's daughter's son ",,,"universitas1986irian",
"fDD","ai",,"female ego's daugher's daughter ",,,"universitas1986irian",
"mFF","ai",,"male ego's father‘s father",,,"universitas1986irian",
"mFM","ai",,"male ego's father's mother",,,"universitas1986irian",
"mMF","ai",,"male ego's mother's father",,,"universitas1986irian",
"mMM","ai",,"male ego's mother's mother",,,"universitas1986irian",
"fFF","ai",,"female ego's father's father ",,,"universitas1986irian",
"fFM","ai",,"female ego's father's mother ",,,"universitas1986irian",
"fMF","ai",,"female ego's mother's father ",,,"universitas1986irian",
"fMM","ai",,"female ego's mother's mother ",,,"universitas1986irian",
"meBS","sa",,"male ego's older brother's son ",,,"universitas1986irian",
"myBS","sa",,"male ego's younger brother's son ",,,"universitas1986irian",
"meZS","sa",,"male ego's older sister's son ",,,"universitas1986irian",
"myZS","sa",,"male ego's younger sister's son ",,,"universitas1986irian",
"meBD","sa",,"male ego's older brother's daughter ",,,"universitas1986irian",
"myBD","sa",,"male ego's younger brother's daughter ",,,"universitas1986irian",
"meZD","sa",,"male ego's older sister's daughter ",,,"universitas1986irian",
"myZD","sa",,"male ego's younger sister's daughter ",,,"universitas1986irian",
"feBS","sa",,"female ego's older brother's son ",,,"universitas1986irian",
"fyBS","sa",,"female ego's younger brother's son ",,,"universitas1986irian",
"feZS","sa",,"female ego's older sister's son ",,,"universitas1986irian",
"fyZS","sa",,"female ego's younger sister's son ",,,"universitas1986irian",
"feBD","sa",,"female ego's older brother's daughter ",,,"universitas1986irian",
"fyBD","sa",,"female ego's younger brother's daughter ",,,"universitas1986irian",
"feZD","sa",,"female ego's older sister's daughter ",,,"universitas1986irian",
"fyZD","sa",,"female ego's younger sister's daughter ",,,"universitas1986irian",
"mFeB","aua",,"male ego's father's older brother ",,,"universitas1986irian",
"mFyB","aua",,"male ego's father's younger brother ",,,"universitas1986irian",
"mFeZ","aua",,"male ego's father's older sister ",,,"universitas1986irian",
"mFyZ","aua",,"male ego's father's younger sister ",,,"universitas1986irian",
"mMeB","soi",,"male ego's mother's older brother ",,,"universitas1986irian",
"mMyB","soi",,"male ego's mother's younger brother ",,,"universitas1986irian",
"mMeZ","ja",,"male ego's mother's older sister ",,,"universitas1986irian",
"mMyZ","ja",,"male ego's mother's younger sister ",,,"universitas1986irian",
"fFeB","aua",,"female ego's father's older brother ",,,"universitas1986irian",
"fFyB","aua",,"female ego's father's younger brother ",,,"universitas1986irian",
"fFeZ","aua",,"female ego's father's older sister ",,,"universitas1986irian",
"fFyZ","aua",,"female ego's father's younger sister ",,,"universitas1986irian",
"fMeB","soi",,"female ego's mother's older brother ",,,"universitas1986irian",
"fMyB","soi",,"female ego's mother's younger brother ",,,"universitas1986irian",
"fMeZ","ja",,"female ego's mother's older sister ",,,"universitas1986irian",
"fMyZ","ja",,"female ego's mother's younger sister ",,,"universitas1986irian",
"mW","si",,"male ego's wife",,,"universitas1986irian",
"fH","te",,"female ego‘s husband",,,"universitas1986irian",
"mDH","sa",,"male ego's daughter's husband",,,"universitas1986irian",
"fDH","sa",,"female ego's daughter's husband",,,"universitas1986irian",
"mSW","sa",,"male ego's son's wife",,,"universitas1986irian",
"fSW","sa",,"female ego's son's wife",,,"universitas1986irian",
