parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
myB,sechile,,,,AET10(13),campbell_sahtuotine_nodate,
meZ,sedare,,,,AET10(13),campbell_sahtuotine_nodate,
myZ,sedə,,,,AET10(13),campbell_sahtuotine_nodate,
mF,abá,,,setá,AET10(13),campbell_sahtuotine_nodate,
mF,įt'á,,,,AET10(13),campbell_sahtuotine_nodate,
mM,amá,,,senǫ,AET10(13),campbell_sahtuotine_nodate,
mM,énę,,,,AET10(13),campbell_sahtuotine_nodate,
mC,tsǫdane,,,,AET10(13),campbell_sahtuotine_nodate,
mS,seyaa,,,,AET10(13),campbell_sahtuotine_nodate,
mD,setúé,,,,AET10(13),campbell_sahtuotine_nodate,
mA,nakəcho kə,,,,AET10(13),campbell_sahtuotine_nodate,
mFF,setsée,,,,AET10(13),campbell_sahtuotine_nodate,
mFM,setsį,,,,AET10(13),campbell_sahtuotine_nodate,
mMF,setsée,,,,AET10(13),campbell_sahtuotine_nodate,
mMM,setsį,,,,AET10(13),campbell_sahtuotine_nodate,
mSS,seʔehtsée,,,,AET10(13),campbell_sahtuotine_nodate,
mSD,secháa,,,,AET10(13),campbell_sahtuotine_nodate,
mDS,seʔehtsée,,,,AET10(13),campbell_sahtuotine_nodate,
mDD,secháa,,,,AET10(13),campbell_sahtuotine_nodate,
mFB,setąa,,,,AET10(13),campbell_sahtuotine_nodate,
mFZ,senǫǫ,,,,AET10(13),campbell_sahtuotine_nodate,
mMB,seʔe,,,,AET10(13),campbell_sahtuotine_nodate,
mMZ,sebée,,,,AET10(13),campbell_sahtuotine_nodate,
mBS,sebáa,,,,AET10(13),campbell_sahtuotine_nodate,
mBD,sehsa,,,,AET10(13),campbell_sahtuotine_nodate,
mZS,sebáa,,,,AET10(13),campbell_sahtuotine_nodate,
mZD,sehsa,,,,AET10(13),campbell_sahtuotine_nodate,
mFZD,ełedә́ke,,,,AET10(13),campbell_sahtuotine_nodate,
mFBD,ełedә́ke,,,,AET10(13),campbell_sahtuotine_nodate,
mMBD,ełedә́ke,,,,AET10(13),campbell_sahtuotine_nodate,
mMZD,ełedә́ke,,,,AET10(13),campbell_sahtuotine_nodate,
mFBS,ełechileke,,,,AET10(13),campbell_sahtuotine_nodate,
mFZS,ełechileke,,,,AET10(13),campbell_sahtuotine_nodate,
mMBS,ełechileke,,,,AET10(13),campbell_sahtuotine_nodate,
mMZS,ełechileke,,,,AET10(13),campbell_sahtuotine_nodate,
mH,sedenelí,,,,AET10(13),campbell_sahtuotine_nodate,
mW,sets'ékú,,,,AET10(13),campbell_sahtuotine_nodate,
mBW,seghə,,,,AET10(13),campbell_sahtuotine_nodate,
mZH,sela,,,,AET10(13),campbell_sahtuotine_nodate,
mWB,sela,,,,AET10(13),campbell_sahtuotine_nodate,
mWZ,seghə,,,,AET10(13),campbell_sahtuotine_nodate,
mHB,sela,,,,AET10(13),campbell_sahtuotine_nodate,
mHZ,seghə,,,,AET10(13),campbell_sahtuotine_nodate,
mSW,secháa,,,,AET10(13),campbell_sahtuotine_nodate,
mSW,sekwə,,,,AET10(13),campbell_sahtuotine_nodate,
mDH,sedǫ,,,,AET10(13),campbell_sahtuotine_nodate,
fyB,sechile,,,,AET10(13),campbell_sahtuotine_nodate,
feZ,sedare,,,,AET10(13),campbell_sahtuotine_nodate,
fyZ,sedə,,,,AET10(13),campbell_sahtuotine_nodate,
fF,abá,,,setá,AET10(13),campbell_sahtuotine_nodate,
fF,įt'á,,,,AET10(13),campbell_sahtuotine_nodate,
fM,amá,,,senǫ,AET10(13),campbell_sahtuotine_nodate,
fM,énę,,,,AET10(13),campbell_sahtuotine_nodate,
fC,tsǫdane,,,,AET10(13),campbell_sahtuotine_nodate,
fS,seyaa,,,,AET10(13),campbell_sahtuotine_nodate,
fD,setúé,,,,AET10(13),campbell_sahtuotine_nodate,
fA,nakəcho kə,,,,AET10(13),campbell_sahtuotine_nodate,
fFF,setsée,,,,AET10(13),campbell_sahtuotine_nodate,
fFM,setsį,,,,AET10(13),campbell_sahtuotine_nodate,
fMF,setsée,,,,AET10(13),campbell_sahtuotine_nodate,
fMM,setsį,,,,AET10(13),campbell_sahtuotine_nodate,
fSS,seʔehtsée,,,,AET10(13),campbell_sahtuotine_nodate,
fSD,secháa,,,,AET10(13),campbell_sahtuotine_nodate,
fDS,seʔehtsée,,,,AET10(13),campbell_sahtuotine_nodate,
fDD,secháa,,,,AET10(13),campbell_sahtuotine_nodate,
