parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mB,ɨ̃'pema,,,,CHO01,dura_epena_2015,
mZ,ɨ̃pe'wẽra,,,,CHO01,dura_epena_2015,
myB,ɨ̃'pema tʰẽe-'pema,,,,CHO01,dura_epena_2015,
myZ,ɨ̃pe'wẽra tʰẽe-'pema,,,,CHO01,dura_epena_2015,
mF,a'kʰõre,,,,CHO01,dura_epena_2015,
mM,nawe,,,,CHO01,dura_epena_2015,
mC,war̃a,,,,CHO01,dura_epena_2015,
mS,war̃a,,,,CHO01,dura_epena_2015,
mD,kʰau,,,,CHO01,dura_epena_2015,
mD,wẽra 'kʰau,,,,CHO01,dura_epena_2015,
mFF,akʰõ-'čona,,,,CHO01,dura_epena_2015,
mMF,akʰõ-'čona,,,,CHO01,dura_epena_2015,
mSS,ãi 'čakʰe,,,,CHO01,dura_epena_2015,
mSS,ãi 'čai,,,,CHO01,dura_epena_2015,
mSD,ãi 'čakʰe,,,,CHO01,dura_epena_2015,
mSD,ãi 'čai,,,,CHO01,dura_epena_2015,
mDS,ãi 'čakʰe,,,,CHO01,dura_epena_2015,
mDS,ãi 'čai,,,,CHO01,dura_epena_2015,
mDD,ãi 'čakʰe,,,,CHO01,dura_epena_2015,
mDD,ãi 'čai,,,,CHO01,dura_epena_2015,
mH,či ɨmɨ'kʰĩra,,,,CHO01,dura_epena_2015,
mW,či 'wẽra,,,,CHO01,dura_epena_2015,
mHF,čãure,,,,CHO01,dura_epena_2015,
mHM,pʰã'kʰõre,,,,CHO01,dura_epena_2015,
mWF,čãure,,,,CHO01,dura_epena_2015,
mWM,pʰã'kʰõre,,,,CHO01,dura_epena_2015,
mSW,ãigu,,,,CHO01,dura_epena_2015,
mSW,ãigu,,,,CHO01,dura_epena_2015,
mDH,wiu,,,,CHO01,dura_epena_2015,
mDH,wiu,,,,CHO01,dura_epena_2015,
fB,ɨ̃'pema,,,,CHO01,dura_epena_2015,
fZ,ɨ̃pe'wẽra,,,,CHO01,dura_epena_2015,
fyB,ɨ̃'pema tʰẽe-'pema,,,,CHO01,dura_epena_2015,
fyZ,ɨ̃pe'wẽra tʰẽe-'pema,,,,CHO01,dura_epena_2015,
fF,a'kʰõre,,,,CHO01,dura_epena_2015,
fM,nawe,,,,CHO01,dura_epena_2015,
fC,war̃a,,,,CHO01,dura_epena_2015,
fS,war̃a,,,,CHO01,dura_epena_2015,
fD,kʰau,,,,CHO01,dura_epena_2015,
fD,wẽra 'kʰau,,,,CHO01,dura_epena_2015,
fFF,akʰõ-'čona,,,,CHO01,dura_epena_2015,
fMF,akʰõ-'čona,,,,CHO01,dura_epena_2015,
fSS,ãi 'čakʰe,,,,CHO01,dura_epena_2015,
fSS,ãi 'čai,,,,CHO01,dura_epena_2015,
fSD,ãi 'čakʰe,,,,CHO01,dura_epena_2015,
fSD,ãi 'čai,,,,CHO01,dura_epena_2015,
fDS,ãi 'čakʰe,,,,CHO01,dura_epena_2015,
fDS,ãi 'čai,,,,CHO01,dura_epena_2015,
fDD,ãi 'čakʰe,,,,CHO01,dura_epena_2015,
fDD,ãi 'čai,,,,CHO01,dura_epena_2015,
fH,či ɨmɨ'kʰĩra,,,,CHO01,dura_epena_2015,
fW,či 'wẽra,,,,CHO01,dura_epena_2015,
fHF,čãure,,,,CHO01,dura_epena_2015,
fHM,pʰã'kʰõre,,,,CHO01,dura_epena_2015,
fWF,čãure,,,,CHO01,dura_epena_2015,
fWM,pʰã'kʰõre,,,,CHO01,dura_epena_2015,
fSW,ãigu,,,,CHO01,dura_epena_2015,
fSW,ãigu,,,,CHO01,dura_epena_2015,
fDH,wiu,,,,CHO01,dura_epena_2015,
fDH,wiu,,,,CHO01,dura_epena_2015,
