parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
meB,XAwAX,,,,AET2(161),krauss_eyak_1970,(my-)
myB,dAGee’,,,,AET2(161),krauss_eyak_1970,(my-)
mF,taa’,,,,AET2(279),krauss_eyak_1970,
mFF,’uhshiyah,,,,AET2(279),krauss_eyak_1970,
mHF,yAtaa’,,,,AET2(279),krauss_eyak_1970,
mWF,yAtaa’,,,,AET2(279),krauss_eyak_1970,
mWM,siyadah,,,,AET2(96),krauss_eyak_1970,
fB,ndzkih,,,,AET2(161),krauss_eyak_1970,(my-)
feB,XAwAX,,,,AET2(161),krauss_eyak_1970,(my-)
fyB,dAGee’,,,,AET2(161),krauss_eyak_1970,(my-)
fF,taa’,,,,AET2(279),krauss_eyak_1970,
fFF,’uhshiyah,,,,AET2(279),krauss_eyak_1970,
fHF,yAtaa’,,,,AET2(279),krauss_eyak_1970,
fHM,siyadan,,,,AET2(96),krauss_eyak_1970,
fWF,yAtaa’,,,,AET2(279),krauss_eyak_1970,
myZ,dAGee’,,,,AET3,noauthor_dictionary_nodate,
mM,aan,,,,AET3,noauthor_dictionary_nodate,(siy)aan' meaning 'my mother'. 'umaa' when not referring to own mother.
mS,sAqeeG,,,,AET3,noauthor_dictionary_nodate,
mD,tsii,,,,AET3,noauthor_dictionary_nodate,
mFM,k’inhshiyah,,,,AET3,noauthor_dictionary_nodate,
mMF,’weeshGAshiyah,,,,AET3,noauthor_dictionary_nodate,
mMM,chuushiyah,,,,AET3,noauthor_dictionary_nodate,
mSS,’uhkih,,,,AET3,noauthor_dictionary_nodate,
mSD,’uhkih,,,,AET3,noauthor_dictionary_nodate,
mDS,’weeshGAkih,,,,AET3,noauthor_dictionary_nodate,
mDD,’weeshGAkih,,,,AET3,noauthor_dictionary_nodate,
mFB,tinh,,,,AET3,noauthor_dictionary_nodate,
mFZ,’ahd,,,,AET3,noauthor_dictionary_nodate,
mMB,gaag,,,,AET3,noauthor_dictionary_nodate,
mMZ,yaaq’e’,,,,AET3,noauthor_dictionary_nodate,
mBS,Ginh,,,,AET3,noauthor_dictionary_nodate,
mBD,Ginh,,,,AET3,noauthor_dictionary_nodate,
mZS,Ginh,,,,AET3,noauthor_dictionary_nodate,
mZD,Ginh,,,,AET3,noauthor_dictionary_nodate,
mH,Xa’ wAX iit’inhinh,,,,AET3,noauthor_dictionary_nodate,
mW,’ehd,,,,AET3,noauthor_dictionary_nodate,
mHZ,qa’lA’ehdG,,,,AET3,noauthor_dictionary_nodate,
mSW,yA’ehd,,,,AET3,noauthor_dictionary_nodate,
feZ,tsa’kih,,,,AET3,noauthor_dictionary_nodate,
fyZ,dAGee’,,,,AET3,noauthor_dictionary_nodate,
fM,aan,,,,AET3,noauthor_dictionary_nodate,(siy)aan' meaning 'my mother'. 'umaa' when not referring to own mother.
fFM,k’inhshiyah,,,,AET3,noauthor_dictionary_nodate,
fMF,’weeshGAshiyah,,,,AET3,noauthor_dictionary_nodate,
fMM,chuushiyah,,,,AET3,noauthor_dictionary_nodate,
fSS,k’inhkih,,,,AET3,noauthor_dictionary_nodate,
fSD,k’inhkih,,,,AET3,noauthor_dictionary_nodate,
fDS,chuukih,,,,AET3,noauthor_dictionary_nodate,
fDD,chuukih,,,,AET3,noauthor_dictionary_nodate,
fFB,tinh,,,,AET3,noauthor_dictionary_nodate,
fFZ,’ahd,,,,AET3,noauthor_dictionary_nodate,
fMB,gaag,,,,AET3,noauthor_dictionary_nodate,
fMZ,yaaq’e’,,,,AET3,noauthor_dictionary_nodate,
fBS,Ginh,,,,AET3,noauthor_dictionary_nodate,
fBD,Ginh,,,,AET3,noauthor_dictionary_nodate,
fZS,Ginh,,,,AET3,noauthor_dictionary_nodate,
fZD,Ginh,,,,AET3,noauthor_dictionary_nodate,
fH,Xa’ wAX iit’inhinh,,,,AET3,noauthor_dictionary_nodate,
fW,’ehd,,,,AET3,noauthor_dictionary_nodate,
fHZ,qa’lA’ehdG,,,,AET3,noauthor_dictionary_nodate,
