"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"meB","oe, akatak",,"male ego's older brother",,,"bloodSemen",
"myB","akot, akatak",,"male ego's younger brother",,,"bloodSemen",
"feB","etu, aikhe",,"female ego's older brother",,,"bloodSemen",
"fyB","etu, aikhe",,"female ego's younger brother",,,"bloodSemen",
"meZ","etu, aikhe",,"male ego's older sister",,,"bloodSemen",
"myZ","etu, aikhe",,"male ego's younger sister",,,"bloodSemen",
"feZ","oe",,"female ego's older sister",,,"bloodSemen",
"fyZ","akot",,"female ego's younger sister",,,"bloodSemen",
"mF","opase",,"male ego's father",,,"bloodSemen",
"mM","akoja",,"male ego's mother",,,"bloodSemen",
"fF","opase",,"female ego's father",,,"bloodSemen",
"fM","akoja",,"female ego's mother",,,"bloodSemen",
"mS","abut",,"male ego's son",,,"bloodSemen",
"fS","ejak",,"female ego's son",,,"bloodSemen",
"mD","abut",,"male ego's daughter",,,"bloodSemen",
"fD","ejak",,"female ego's daughter",,,"bloodSemen",
"mSS","apa",,"male ego's son's son",,,"bloodSemen",
"mSD","apa",,"male ego's son's daughter",,,"bloodSemen",
"mDS","apa",,"male ego's daughter's son",,,"bloodSemen",
"mDD","apa",,"male ego's daughter's daughter",,,"bloodSemen",
"fSS","akona",,"female ego's son's son ",,,"bloodSemen",
"fSD","akona",,"female ego's son's daughter ",,,"bloodSemen",
"fDS","akona",,"female ego's daughter's son ",,,"bloodSemen",
"fDD","akona",,"female ego's daugher's daughter ",,,"bloodSemen",
"mFF","opa",,"male ego's father‘s father",,,"bloodSemen",
"mFM","akona",,"male ego's father's mother",,,"bloodSemen",
"mMF","opa",,"male ego's mother's father",,,"bloodSemen",
"mMM","akona",,"male ego's mother's mother",,,"bloodSemen",
"fFF","opa",,"female ego's father's father ",,,"bloodSemen",
"fFM","akona",,"female ego's father's mother ",,,"bloodSemen",
"fMF","opa",,"female ego's mother's father ",,,"bloodSemen",
"fMM","akona",,"female ego's mother's mother ",,,"bloodSemen",
"meBS","abut",,"male ego's older brother's son ",,,"bloodSemen",
"myBS","abut",,"male ego's younger brother's son ",,,"bloodSemen",
"meZS","ejak",,"male ego's older sister's son ",,,"bloodSemen",
"myZS","ejak",,"male ego's younger sister's son ",,,"bloodSemen",
"meBD","abut",,"male ego's older brother's daughter ",,,"bloodSemen",
"myBD","abut",,"male ego's younger brother's daughter ",,,"bloodSemen",
"meZD","ejak",,"male ego's older sister's daughter ",,,"bloodSemen",
"myZD","ejak",,"male ego's younger sister's daughter ",,,"bloodSemen",
"feBS","abut",,"female ego's older brother's son ",,,"bloodSemen",
"fyBS","abut",,"female ego's younger brother's son ",,,"bloodSemen",
"feZS","ejak",,"female ego's older sister's son ",,,"bloodSemen",
"fyZS","ejak",,"female ego's younger sister's son ",,,"bloodSemen",
"feBD","aksu",,"female ego's older brother's daughter ",,,"bloodSemen",
"fyBD","aksu",,"female ego's younger brother's daughter ",,,"bloodSemen",
"feZD","ejak",,"female ego's older sister's daughter ",,,"bloodSemen",
"fyZD","ejak",,"female ego's younger sister's daughter ",,,"bloodSemen",
"mFeB","opase",,"male ego's father's older brother ",,,"bloodSemen",
"mFyB","opase",,"male ego's father's younger brother ",,,"bloodSemen",
"mFeZ","opase",,"male ego's father's older sister ",,,"bloodSemen",
"mFyZ","opase",,"male ego's father's younger sister ",,,"bloodSemen",
"mMeB","ami",,"male ego's mother's older brother ",,,"bloodSemen",
"mMyB","ami",,"male ego's mother's younger brother ",,,"bloodSemen",
"mMeZ","akoja",,"male ego's mother's older sister ",,,"bloodSemen",
"mMyZ","akoja",,"male ego's mother's younger sister ",,,"bloodSemen",
"fFeB","opase",,"female ego's father's older brother ",,,"bloodSemen",
"fFyB","opase",,"female ego's father's younger brother ",,,"bloodSemen",
"fFeZ","opase",,"female ego's father's older sister ",,,"bloodSemen",
"fFyZ","opase",,"female ego's father's younger sister ",,,"bloodSemen",
"fMeB","ami",,"female ego's mother's older brother ",,,"bloodSemen",
"fMyB","ami",,"female ego's mother's younger brother ",,,"bloodSemen",
"fMeZ","akoja",,"female ego's mother's older sister ",,,"bloodSemen",
"fMyZ","akoja",,"female ego's mother's younger sister ",,,"bloodSemen",
"mW","ake",,"male ego's wife",,,"bloodSemen",
"fH","akun",,"female ego‘s husband",,,"bloodSemen",
"mDH","akobak",,"male ego's daughter's husband",,,"bloodSemen",
"fDH","akobak",,"female ego's daughter's husband",,,"bloodSemen",
"mSW","akalkho",,"male ego's son's wife",,,"bloodSemen",
"fSW","aput",,"female ego's son's wife",,,"bloodSemen",
"mWF","akobak",,"male ego's wife's father",,,"bloodSemen",
"mWM","akhoan",,"male ego's wife's mother",,,"bloodSemen",
"mWB","akobak",,"male ego's wife's brother",,,"bloodSemen",
"mWZ","ake",,"male ego's wife's sister",,,"bloodSemen",
"fHF","akhami",,"female ego's husband's father",,,"bloodSemen",
"fHM","akhoan",,"female ego's husband's mother",,,"bloodSemen",
"fHB","",,"female ego's husband's brother",,,"bloodSemen",
"fHZ","aksu",,"female ego's husband's sister",,,"bloodSemen",
"mBW","",,"male ego's brother's wife",,,"bloodSemen",
"fBW","",,"female ego's brother's wife",,,"bloodSemen",
"mZH","akobak",,"male ego's sister's husband",,,"bloodSemen",
"fZH","",,"female ego's sister's husband",,,"bloodSemen",
"mFBeS","oe, akatak",,"male ego‘s father‘s brother‘s older son",,,"bloodSemen",
"mFByS","akot, akatak",,"male ego‘s father‘s brother‘s younger son",,,"bloodSemen",
"mFBeD","etu, aikhe",,"male ego‘s father‘s brother‘s older daughter",,,"bloodSemen",
"mFByD","etu, aikhe",,"male ego‘s father‘s brother‘s younger daughter",,,"bloodSemen",
"mFZeS","ejak",,"male ego‘s father‘s sisters‘s older son",,,"bloodSemen",
"mFZyS","ejak",,"male ego‘s father‘s sisters‘s younger son",,,"bloodSemen",
"mFZeD","ejak",,"male ego‘s father‘s sisters‘s older daughter",,,"bloodSemen",
"mFZyD","ejak",,"male ego‘s father‘s sisters‘s younger daughter",,,"bloodSemen",
"mMBeS","ami",,"male ego‘s mother‘s brother‘s older son",,,"bloodSemen",
"mMByS","ami",,"male ego‘s mother‘s brother‘s younger son",,,"bloodSemen",
"mMBeD","akoja",,"male ego‘s mother‘s brother‘s older daughter",,,"bloodSemen",
"mMByD","akoja",,"male ego‘s mother‘s brother‘s younger daughter",,,"bloodSemen",
"mMZeS","oe, akatak",,"male ego‘s mother‘s sisters‘s older son",,,"bloodSemen",
"mMZyS","akot, akatak",,"male ego‘s mother‘s sisters‘s younger son",,,"bloodSemen",
"mMZeD","etu, aikhe",,"male ego‘s mother‘s sisters‘s older daughter",,,"bloodSemen",
"mMZyD","etu, aikhe",,"male ego‘s mother‘s sisters‘s younger daughter",,,"bloodSemen",
"fFBeS","etu",,"female ego‘s father‘s brother‘s older son",,,"bloodSemen",
"fFByS","etu",,"female ego‘s father‘s brother‘s younger son",,,"bloodSemen",
"fFBeD","oe",,"female ego‘s father‘s brother‘s older daughter",,,"bloodSemen",
"fFByD","akot",,"female ego‘s father‘s brother‘s younger daughter",,,"bloodSemen",
"fFZeS","ejak",,"female ego‘s father‘s sisters‘s older son",,,"bloodSemen",
"fFZyS","ejak",,"female ego‘s father‘s sisters‘s younger son",,,"bloodSemen",
"fFZeD","ejak",,"female ego‘s father‘s sisters‘s older daughter",,,"bloodSemen",
"fFZyD","ejak",,"female ego‘s father‘s sisters‘s younger daughter",,,"bloodSemen",
"fMBeS","ami",,"female ego‘s mother‘s brother‘s older son",,,"bloodSemen",
"fMByS","ami",,"female ego‘s mother‘s brother‘s younger son",,,"bloodSemen",
"fMBeD","akoja",,"female ego‘s mother‘s brother‘s older daughter",,,"bloodSemen",
"fMByD","akoja",,"female ego‘s mother‘s brother‘s younger daughter",,,"bloodSemen",
"fMZeS","etu, aikhe",,"female ego‘s mother‘s sisters‘s older son",,,"bloodSemen",
"fMZyS","etu, aikhe",,"female ego‘s mother‘s sisters‘s younger son",,,"bloodSemen",
"fMZeD","oe",,"female ego‘s mother‘s sisters‘s older daughter",,,"bloodSemen",
"fMZyD","akot",,"female ego‘s mother‘s sisters‘s younger daughter",,,"bloodSemen",
