"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"meB","ba', mini",,"male ego's older brother",,,,
"myB","pai, pung, mini",,"male ego's younger brother",,,,
"feB","ba', mini",,"female ego's older brother",,,,
"fyB","pai, pung, mini",,"female ego's younger brother",,,,
"meZ","ba', bupu",,"male ego's older sister",,,,
"myZ","pung, bupu",,"male ego's younger sister",,,,
"feZ","ba', bupu",,"female ego's older sister",,,,
"fyZ","pung, bupu",,"female ego's younger sister",,,,
"mF","tani'",,"male ego's father",,,,
"mM","moni'",,"male ego's mother",,,,
"fF","tani'",,"female ego's father",,,,
"fM","moni'",,"female ego's mother",,,,
"mS","nài",,"male ego's son",,,,
"fS","nài",,"female ego's son",,,,
"mD","nù",,"male ego's daughter",,,,
"fD","nù",,"female ego's daughter",,,,
"mSS","yani'",,"male ego's son's son",,,,
"mSD","yani'",,"male ego's son's daughter",,,,
"mDS","yani'",,"male ego's daughter's son",,,,
"mDD","yani'",,"male ego's daughter's daughter",,,,
"fSS","yani'",,"female ego's son's son",,,,
"fSD","yani'",,"female ego's son's daughter",,,,
"fDS","yani'",,"female ego's daughter's son",,,,
"fDD","yani'",,"female ego's daugher's daughter",,,,
"mFF","yani'",,"male ego's father‘s father",,,,
"mFM","yani'",,"male ego's father's mother",,,,
"mMF","yani'",,"male ego's mother's father",,,,
"mMM","yani'",,"male ego's mother's mother",,,,
"fFF","yani'",,"female ego's father's father",,,,
"fFM","yani'",,"female ego's father's mother",,,,
"fMF","yani'",,"female ego's mother's father",,,,
"fMM","yani'",,"female ego's mother's mother",,,,
"mFeB","tani ba'",,"male ego's father's older brother",,,,
"mFyB","tani pung",,"male ego's father's younger brother",,,,
"mFeZ","wini",,"male ego's father's older sister",,,,
"mFyZ","wini",,"male ego's father's younger sister",,,,
"mMeB","wini",,"male ego's mother's older brother",,,,
"mMyB","wini",,"male ego's mother's younger brother",,,,
"mMeZ","moni ba'",,"male ego's mother's older sister",,,,
"mMyZ","moni pung",,"male ego's mother's younger sister",,,,
"fFeB","tani ba'",,"female ego's father's older brother",,,,
"fFyB","tani pung",,"female ego's father's younger brother",,,,
"fFeZ","wini",,"female ego's father's older sister",,,,
"fFyZ","wini",,"female ego's father's younger sister",,,,
"fMeB","wini",,"female ego's mother's older brother",,,,
"fMyB","wini",,"female ego's mother's younger brother",,,,
"fMeZ","moni ba'",,"female ego's mother's older sister",,,,
"fMyZ","moni pung",,"female ego's mother's younger sister",,,,
"mW","bua",,"male ego's wife",,,,
"fH","ini",,"female ego‘s husband",,,,
"mDH","duwoko",,"male ego's daughter's husband",,,,
"fDH","duwoko",,"female ego's daughter's husband",,,,
"mSW","duwoko",,"male ego's son's wife",,,,
"fSW","duwoko",,"female ego's son's wife",,,,
"mWF","sami",,"male ego's wife's father",,,,
"mWM","kawi",,"male ego's wife's mother",,,,
"fHF","kawi",,"female ego's husband's father",,,,
"fHM","sami",,"female ego's husband's mother",,,,
"mBW","kawi",,"male ego's brother's wife",,,,
"fBW","kawi",,"female ego's brother's wife",,,,
"mZH","kawi",,"male ego's sister's husband",,,,
"fZH","kawi",,"female ego's sister's husband",,,,
