"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"meB","aka",,"male ego's older brother",,,"erickson1976isirawa","missing?"
"myB","etopeya (terama)",,"male ego's younger brother",,,"erickson1976isirawa",""
"feB","aka",,"female ego's older brother",,,"erickson1976isirawa",""
"fyB","etopeya (terama)",,"female ego's younger brother",,,"erickson1976isirawa",""
"meZ","aka",,"male ego's older sister",,,"erickson1976isirawa",""
"myZ","etopeya (terama)",,"male ego's younger sister",,,"erickson1976isirawa",""
"feZ","aka",,"female ego's older sister",,,"erickson1976isirawa",""
"fyZ","etopeya (terama)",,"female ego's younger sister",,,"erickson1976isirawa",""
"mF","take (tate)",,"male ego's father",,,"erickson1976isirawa",""
"mM","aike (ave)",,"male ego's mother",,,"erickson1976isirawa",""
"fF","take (tate)",,"female ego's father",,,"erickson1976isirawa",""
"fM","aike (ave)",,"female ego's mother",,,"erickson1976isirawa",""
"mS","orowa",,"male ego's son",,,"erickson1976isirawa",""
"fS","orowa",,"female ego's son",,,"erickson1976isirawa",""
"mD","maseta",,"male ego's daughter",,,"erickson1976isirawa",""
"fD","maseta",,"female ego's daughter",,,"erickson1976isirawa",""
"mSS","trifa",,"male ego's son's son",,,"erickson1976isirawa",""
"mSD","trifa",,"male ego's son's daughter",,,"erickson1976isirawa",""
"mDS","trifa",,"male ego's daughter's son",,,"erickson1976isirawa",""
"mDD","trifa",,"male ego's daughter's daughter",,,"erickson1976isirawa",""
"fSS","trifa",,"female ego's son's son ",,,"erickson1976isirawa",""
"fSD","trifa",,"female ego's son's daughter ",,,"erickson1976isirawa",""
"fDS","trifa",,"female ego's daughter's son ",,,"erickson1976isirawa",""
"fDD","trifa",,"female ego's daugher's daughter ",,,"erickson1976isirawa",""
"mFF","esrara",,"male ego's father‘s father",,,"erickson1976isirawa",""
"mFM","avisraro",,"male ego's father's mother",,,"erickson1976isirawa",""
"mMF","masrara",,"male ego's mother's father",,,"erickson1976isirawa",""
"mMM","usraro",,"male ego's mother's mother",,,"erickson1976isirawa",""
"fFF","esrara",,"female ego's father's father ",,,"erickson1976isirawa",""
"fFM","avisraro",,"female ego's father's mother ",,,"erickson1976isirawa",""
"fMF","masrara",,"female ego's mother's father ",,,"erickson1976isirawa",""
"fMM","usraro",,"female ego's mother's mother ",,,"erickson1976isirawa",""
"meBS","orowa",,"male ego's older brother's son ",,,"erickson1976isirawa",""
"myBS","werara",,"male ego's younger brother's son ",,,"erickson1976isirawa",""
"meZS","terama",,"male ego's older sister's son ",,,"erickson1976isirawa",""
"myZS","werara",,"male ego's younger sister's son ",,,"erickson1976isirawa",""
"meBD","maseta",,"male ego's older brother's daughter ",,,"erickson1976isirawa",""
"myBD","werara",,"male ego's younger brother's daughter ",,,"erickson1976isirawa",""
"meZD","terame",,"male ego's older sister's daughter ",,,"erickson1976isirawa",""
"myZD","werara",,"male ego's younger sister's daughter ",,,"erickson1976isirawa",""
"feBS","orowa",,"female ego's older brother's son ",,,"erickson1976isirawa",""
"fyBS","nainana",,"female ego's younger brother's son ",,,"erickson1976isirawa",""
"feZS","anata",,"female ego's older sister's son ",,,"erickson1976isirawa",""
"fyZS","nainana",,"female ego's younger sister's son ",,,"erickson1976isirawa",""
"feBD","maseta",,"female ego's older brother's daughter ",,,"erickson1976isirawa",""
"fyBD","nainana",,"female ego's younger brother's daughter ",,,"erickson1976isirawa",""
"feZD","anata",,"female ego's older sister's daughter ",,,"erickson1976isirawa",""
"fyZD","nainana",,"female ego's younger sister's daughter ",,,"erickson1976isirawa",""
"mFeB","esrara",,"male ego's father's older brother ",,,"erickson1976isirawa",""
"mFyB","take (tate), wenu (wenava)",,"male ego's father's younger brother ",,,"erickson1976isirawa",""
"mFeZ","waneno",,"male ego's father's older sister ",,,"erickson1976isirawa",""
"mFyZ","wenu (wenava)",,"male ego's father's younger sister ",,,"erickson1976isirawa",""
"mMeB","papu (neva)",,"male ego's mother's older brother ",,,"erickson1976isirawa",""
"mMyB","papu (neva)",,"male ego's mother's younger brother ",,,"erickson1976isirawa",""
"mMeZ","wanenavi",,"male ego's mother's older sister ",,,"erickson1976isirawa",""
"mMyZ","anono (nona)",,"male ego's mother's younger sister ",,,"erickson1976isirawa",""
"fFeB","esrara",,"female ego's father's older brother ",,,"erickson1976isirawa",""
"fFyB","take (tate), wenu (wenava)",,"female ego's father's younger brother ",,,"erickson1976isirawa",""
"fFeZ","waneno",,"female ego's father's older sister ",,,"erickson1976isirawa",""
"fFyZ","wenu (wenava)",,"female ego's father's younger sister ",,,"erickson1976isirawa",""
