parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mB,сínà'áˑ',,,,AET8(624),opler_kinship_1936,
mB,cìcdájà',,,,AET8(624),opler_kinship_1936,
mB,sìkìsé',,,,AET8(624),opler_kinship_1936,
mZ,сílá',,,,AET8(624),opler_kinship_1936,
mZ,cìcdájà',,,,AET8(624),opler_kinship_1936,
mZ,cìndádéˑ',,,,AET8(624),opler_kinship_1936,
mF,cìkà'éˑ',,,,AET8(624),opler_kinship_1936,
mM,cì'níˑ',,,,AET8(624),opler_kinship_1936,
mS,cíɣè'^e,,,,AET8(624),opler_kinship_1936,
mD,cìjátcè'^e,,,,AET8(624),opler_kinship_1936,
mFF,sìtsóyéˑ',,,,AET8(624),opler_kinship_1936,
mFM,cìtcóˑ',,,,AET8(624),opler_kinship_1936,
mMF,sìtsóyéˑ',,,,AET8(624),opler_kinship_1936,
mMM,cìtcóˑ',,,,AET8(624),opler_kinship_1936,
mCC,sìtsóyíˑ',,,,AET8(624),opler_kinship_1936,generic term for grandchild.
mSS,sìtsóyíˑ',,,,AET8(624),opler_kinship_1936,
mSD,sìtsóyíˑ',,,,AET8(624),opler_kinship_1936,
mDS,sìtsóyíˑ',,,,AET8(624),opler_kinship_1936,
mDD,sìtsóyíˑ',,,,AET8(624),opler_kinship_1936,
mFB,cìdédjé,,,,AET8(624),opler_kinship_1936,
mFB,cìkà'éˑ',,,,AET8(624),opler_kinship_1936,
mFZ,cìdédjé,,,,AET8(624),opler_kinship_1936,
mMB,сìdà'áˑ',,,,AET8(624),opler_kinship_1936,
mMZ,cì'níˑ',,,,AET8(624),opler_kinship_1936,
mMZ,cíkáˑ',,,,AET8(624),opler_kinship_1936,
mBS,cíɣè'^e,,,,AET8(624),opler_kinship_1936,
mBD,cìjátcè'^e,,,,AET8(624),opler_kinship_1936,
mZS,сìdà'áˑ',,,,AET8(624),opler_kinship_1936,
mZD,сìdà'^a,,,,AET8(624),opler_kinship_1936,
mFZD,сílá',,,,AET8(624),opler_kinship_1936,
mFZD,cízèˑdń,,,,AET8(624),opler_kinship_1936,
mFBD,сílá',,,,AET8(624),opler_kinship_1936,
mMBD,сílá',,,,AET8(624),opler_kinship_1936,
mMBD,cízèˑdń,,,,AET8(624),opler_kinship_1936,
mMZD,сílá',,,,AET8(624),opler_kinship_1936,
mFBS,sìkìsé',,,,AET8(624),opler_kinship_1936,
mFZS,sìkìsé',,,,AET8(624),opler_kinship_1936,
mFZS,cízèˑdń,,,,AET8(624),opler_kinship_1936,
mFZS,cìłnàˑ'àˑc,,,,AET8(624),opler_kinship_1936,
mMBS,sìkìsé',,,,AET8(624),opler_kinship_1936,
mMBS,cízèˑdń,,,,AET8(624),opler_kinship_1936,
mMBS,cìłnàˑ'àˑc,,,,AET8(624),opler_kinship_1936,
mMZS,sìkìsé',,,,AET8(624),opler_kinship_1936,
meB,сínà'áˑ',,,,AET8(624),opler_kinship_1936,Inferred; NA
meB,cìcdájà',,,,AET8(624),opler_kinship_1936,Inferred; NA
meB,sìkìsé',,,,AET8(624),opler_kinship_1936,Inferred; NA
myB,сínà'áˑ',,,,AET8(624),opler_kinship_1936,Inferred; NA
myB,cìcdájà',,,,AET8(624),opler_kinship_1936,Inferred; NA
myB,sìkìsé',,,,AET8(624),opler_kinship_1936,Inferred; NA
meZ,сílá',,,,AET8(624),opler_kinship_1936,Inferred; NA
meZ,cìcdájà',,,,AET8(624),opler_kinship_1936,Inferred; NA
meZ,cìndádéˑ',,,,AET8(624),opler_kinship_1936,Inferred; NA
myZ,сílá',,,,AET8(624),opler_kinship_1936,Inferred; NA
myZ,cìcdájà',,,,AET8(624),opler_kinship_1936,Inferred; NA
myZ,cìndádéˑ',,,,AET8(624),opler_kinship_1936,Inferred; NA
mFeB,cìdédjé,,,,AET8(624),opler_kinship_1936,Inferred; NA
mFeB,cìkà'éˑ',,,,AET8(624),opler_kinship_1936,Inferred; NA
mFyB,cìdédjé,,,,AET8(624),opler_kinship_1936,Inferred; NA
mFyB,cìkà'éˑ',,,,AET8(624),opler_kinship_1936,Inferred; NA
mFeZ,cìdédjé,,,,AET8(624),opler_kinship_1936,Inferred; NA
mFyZ,cìdédjé,,,,AET8(624),opler_kinship_1936,Inferred; NA
mMeZ,cì'níˑ',,,,AET8(624),opler_kinship_1936,Inferred; NA
mMeZ,cíkáˑ',,,,AET8(624),opler_kinship_1936,Inferred; NA
mMyZ,cì'níˑ',,,,AET8(624),opler_kinship_1936,Inferred; NA
mMyZ,cíkáˑ',,,,AET8(624),opler_kinship_1936,Inferred; NA
mMeB,сìdà'áˑ',,,,AET8(624),opler_kinship_1936,Inferred; NA
mMyB,сìdà'áˑ',,,,AET8(624),opler_kinship_1936,Inferred; NA
meBS,cíɣè'^e,,,,AET8(624),opler_kinship_1936,Inferred; NA
myBS,cíɣè'^e,,,,AET8(624),opler_kinship_1936,Inferred; NA
meBD,cìjátcè'^e,,,,AET8(624),opler_kinship_1936,Inferred; NA
myBD,cìjátcè'^e,,,,AET8(624),opler_kinship_1936,Inferred; NA
meZS,сìdà'áˑ',,,,AET8(624),opler_kinship_1936,Inferred; NA
myZS,сìdà'áˑ',,,,AET8(624),opler_kinship_1936,Inferred; NA
meZD,сìdà'^a,,,,AET8(624),opler_kinship_1936,Inferred; NA
myZD,сìdà'^a,,,,AET8(624),opler_kinship_1936,Inferred; NA
mFeBS,sìkìsé',,,,AET8(624),opler_kinship_1936,Inferred; NA
mFyBS,sìkìsé',,,,AET8(624),opler_kinship_1936,Inferred; NA
mFeZS,sìkìsé',,,,AET8(624),opler_kinship_1936,Inferred; NA
mFeZS,cízèˑdń,,,,AET8(624),opler_kinship_1936,Inferred; NA
mFeZS,cìłnàˑ'àˑc,,,,AET8(624),opler_kinship_1936,Inferred; NA
mFyZS,sìkìsé',,,,AET8(624),opler_kinship_1936,Inferred; NA
mFyZS,cízèˑdń,,,,AET8(624),opler_kinship_1936,Inferred; NA
mFyZS,cìłnàˑ'àˑc,,,,AET8(624),opler_kinship_1936,Inferred; NA
mFeBD,сílá',,,,AET8(624),opler_kinship_1936,Inferred; NA
mFyBD,сílá',,,,AET8(624),opler_kinship_1936,Inferred; NA
mFeZD,сílá',,,,AET8(624),opler_kinship_1936,Inferred; NA
mFeZD,cízèˑdń,,,,AET8(624),opler_kinship_1936,Inferred; NA
mFyZD,сílá',,,,AET8(624),opler_kinship_1936,Inferred; NA
mFyZD,cízèˑdń,,,,AET8(624),opler_kinship_1936,Inferred; NA
mMeBS,sìkìsé',,,,AET8(624),opler_kinship_1936,Inferred; NA
mMeBS,cízèˑdń,,,,AET8(624),opler_kinship_1936,Inferred; NA
mMeBS,cìłnàˑ'àˑc,,,,AET8(624),opler_kinship_1936,Inferred; NA
mMyBS,sìkìsé',,,,AET8(624),opler_kinship_1936,Inferred; NA
mMyBS,cízèˑdń,,,,AET8(624),opler_kinship_1936,Inferred; NA
mMyBS,cìłnàˑ'àˑc,,,,AET8(624),opler_kinship_1936,Inferred; NA
mMeZS,sìkìsé',,,,AET8(624),opler_kinship_1936,Inferred; NA
mMyZS,sìkìsé',,,,AET8(624),opler_kinship_1936,Inferred; NA
mMeBD,сílá',,,,AET8(624),opler_kinship_1936,Inferred; NA
mMeBD,cízèˑdń,,,,AET8(624),opler_kinship_1936,Inferred; NA
mMyBD,сílá',,,,AET8(624),opler_kinship_1936,Inferred; NA
mMyBD,cízèˑdń,,,,AET8(624),opler_kinship_1936,Inferred; NA
mMeZD,сílá',,,,AET8(624),opler_kinship_1936,Inferred; NA
mMyZD,сílá',,,,AET8(624),opler_kinship_1936,Inferred; NA
mFBeS,sìkìsé',,,,AET8(624),opler_kinship_1936,Inferred; NA
mFByS,sìkìsé',,,,AET8(624),opler_kinship_1936,Inferred; NA
mFZeS,sìkìsé',,,,AET8(624),opler_kinship_1936,Inferred; NA
mFZeS,cízèˑdń,,,,AET8(624),opler_kinship_1936,Inferred; NA
mFZeS,cìłnàˑ'àˑc,,,,AET8(624),opler_kinship_1936,Inferred; NA
mFZyS,sìkìsé',,,,AET8(624),opler_kinship_1936,Inferred; NA
mFZyS,cízèˑdń,,,,AET8(624),opler_kinship_1936,Inferred; NA
mFZyS,cìłnàˑ'àˑc,,,,AET8(624),opler_kinship_1936,Inferred; NA
mFBeD,сílá',,,,AET8(624),opler_kinship_1936,Inferred; NA
mFByD,сílá',,,,AET8(624),opler_kinship_1936,Inferred; NA
mFZeD,сílá',,,,AET8(624),opler_kinship_1936,Inferred; NA
mFZeD,cízèˑdń,,,,AET8(624),opler_kinship_1936,Inferred; NA
mFZyD,сílá',,,,AET8(624),opler_kinship_1936,Inferred; NA
mFZyD,cízèˑdń,,,,AET8(624),opler_kinship_1936,Inferred; NA
mMBeS,sìkìsé',,,,AET8(624),opler_kinship_1936,Inferred; NA
mMBeS,cízèˑdń,,,,AET8(624),opler_kinship_1936,Inferred; NA
mMBeS,cìłnàˑ'àˑc,,,,AET8(624),opler_kinship_1936,Inferred; NA
mMByS,sìkìsé',,,,AET8(624),opler_kinship_1936,Inferred; NA
mMByS,cízèˑdń,,,,AET8(624),opler_kinship_1936,Inferred; NA
mMByS,cìłnàˑ'àˑc,,,,AET8(624),opler_kinship_1936,Inferred; NA
mMZeS,sìkìsé',,,,AET8(624),opler_kinship_1936,Inferred; NA
mMZyS,sìkìsé',,,,AET8(624),opler_kinship_1936,Inferred; NA
mMBeD,сílá',,,,AET8(624),opler_kinship_1936,Inferred; NA
mMBeD,cízèˑdń,,,,AET8(624),opler_kinship_1936,Inferred; NA
mMByD,сílá',,,,AET8(624),opler_kinship_1936,Inferred; NA
mMByD,cízèˑdń,,,,AET8(624),opler_kinship_1936,Inferred; NA
mMZeD,сílá',,,,AET8(624),opler_kinship_1936,Inferred; NA
mMZyD,сílá',,,,AET8(624),opler_kinship_1936,Inferred; NA
fB,сínà'áˑ',,,,AET8(624),opler_kinship_1936,
fB,cìcdájà',,,,AET8(624),opler_kinship_1936,
fB,sìkìsé',,,,AET8(624),opler_kinship_1936,
fZ,сílá',,,,AET8(624),opler_kinship_1936,
fZ,cìcdájà',,,,AET8(624),opler_kinship_1936,
fZ,cìndádéˑ',,,,AET8(624),opler_kinship_1936,
fF,cìkà'éˑ',,,,AET8(624),opler_kinship_1936,
fM,cì'níˑ',,,,AET8(624),opler_kinship_1936,
fS,cíɣè'^e,,,,AET8(624),opler_kinship_1936,
fD,cìjátcè'^e,,,,AET8(624),opler_kinship_1936,
fFF,sìtsóyéˑ',,,,AET8(624),opler_kinship_1936,
fFM,cìtcóˑ',,,,AET8(624),opler_kinship_1936,
fMF,sìtsóyéˑ',,,,AET8(624),opler_kinship_1936,
fMM,cìtcóˑ',,,,AET8(624),opler_kinship_1936,
fCC,sìtsóyíˑ',,,,AET8(624),opler_kinship_1936,generic term for grandchild.
fSS,sìtsóyíˑ',,,,AET8(624),opler_kinship_1936,
fSD,sìtsóyíˑ',,,,AET8(624),opler_kinship_1936,
fDS,sìtsóyíˑ',,,,AET8(624),opler_kinship_1936,
fDD,sìtsóyíˑ',,,,AET8(624),opler_kinship_1936,
fFB,cìdédjé,,,,AET8(624),opler_kinship_1936,
fFB,cìkà'éˑ',,,,AET8(624),opler_kinship_1936,
fFZ,cìdédjé,,,,AET8(624),opler_kinship_1936,
fMB,сìdà'áˑ',,,,AET8(624),opler_kinship_1936,
fMZ,cì'níˑ',,,,AET8(624),opler_kinship_1936,
fMZ,cíkáˑ',,,,AET8(624),opler_kinship_1936,
fBS,cìtsìłkè'^e,,,,AET8(624),opler_kinship_1936,
fBD,cìtsìłkè'^e,,,,AET8(624),opler_kinship_1936,
fZS,сìdà'áˑ',,,,AET8(624),opler_kinship_1936,
fZD,сìdà'^a,,,,AET8(624),opler_kinship_1936,
fFZD,сílá',,,,AET8(624),opler_kinship_1936,
fFZD,cízèˑdń,,,,AET8(624),opler_kinship_1936,
fFBD,сílá',,,,AET8(624),opler_kinship_1936,
fMBD,сílá',,,,AET8(624),opler_kinship_1936,
fMBD,cízèˑdń,,,,AET8(624),opler_kinship_1936,
fMZD,сílá',,,,AET8(624),opler_kinship_1936,
fFBS,sìkìsé',,,,AET8(624),opler_kinship_1936,
fFZS,sìkìsé',,,,AET8(624),opler_kinship_1936,
fFZS,cízèˑdń,,,,AET8(624),opler_kinship_1936,
fFZS,cìłnàˑ'àˑc,,,,AET8(624),opler_kinship_1936,
fMBS,sìkìsé',,,,AET8(624),opler_kinship_1936,
fMBS,cízèˑdń,,,,AET8(624),opler_kinship_1936,
fMBS,cìłnàˑ'àˑc,,,,AET8(624),opler_kinship_1936,
fMZS,sìkìsé',,,,AET8(624),opler_kinship_1936,
