parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mB,típah,,,,ISO6,bright_karok_2015,
mZ,kústān,,,,ISO6,bright_karok_2015,
myB,čá̄s,,,,ISO6,bright_karok_2015,
myZ,čī́š,,,,ISO6,bright_karok_2015,
mF,ʔáka,,,,ISO6,bright_karok_2015,
mM,tá̄t,,,,ISO6,bright_karok_2015,
mS,kač,,,,ISO6,bright_karok_2015,
mD,yāčkan,,,,ISO6,bright_karok_2015,
mFF,kú̄t,,,,ISO6,bright_karok_2015,
mFF,átiš,,,,ISO6,bright_karok_2015,
mFM,kī́t,,,,ISO6,bright_karok_2015,
mFM,átiš,,,,ISO6,bright_karok_2015,
mMF,kú̄t,,,,ISO6,bright_karok_2015,
mMF,átiš,,,,ISO6,bright_karok_2015,
mMM,kī́t,,,,ISO6,bright_karok_2015,
mMM,átiš,,,,ISO6,bright_karok_2015,
mSS,kú̄t,,,,ISO6,bright_karok_2015,
mSS,átiš,,,,ISO6,bright_karok_2015,
mSD,kī́t,,,,ISO6,bright_karok_2015,
mSD,átiš,,,,ISO6,bright_karok_2015,
mDS,kú̄t,,,,ISO6,bright_karok_2015,
mDS,átiš,,,,ISO6,bright_karok_2015,
mDD,kī́t,,,,ISO6,bright_karok_2015,
mDD,átiš,,,,ISO6,bright_karok_2015,
mFB,párah,,,,ISO6,bright_karok_2015,
mFZ,mī́θ,,,,ISO6,bright_karok_2015,
mMB,xúkam,,,,ISO6,bright_karok_2015,
mMZ,θúxaθ,,,,ISO6,bright_karok_2015,
mBS,axiič,,,,ISO6,bright_karok_2015,
mBS,ʔúfiθ,,,,ISO6,bright_karok_2015,
mBD,axiič,,,,ISO6,bright_karok_2015,
mBD,fúriθ,,,,ISO6,bright_karok_2015,
mZS,axiič,,,,ISO6,bright_karok_2015,
mZS,ʔúfiθ,,,,ISO6,bright_karok_2015,
mZD,axiič,,,,ISO6,bright_karok_2015,
mZD,fúriθ,,,,ISO6,bright_karok_2015,
mH,ʔáβan,,,,ISO6,bright_karok_2015,
mW,ʔihrô̄ha,,,,ISO6,bright_karok_2015,
mHF,fíkβān,,,,ISO6,bright_karok_2015,
mHM,faratípiš,,,,ISO6,bright_karok_2015,
mWF,fíkβān,,,,ISO6,bright_karok_2015,
mWM,faratípiš,,,,ISO6,bright_karok_2015,
mSW,ʔíram,,,,ISO6,bright_karok_2015,
mSW,ʔíram,,,,ISO6,bright_karok_2015,
mDH,ʔíkam,,,,ISO6,bright_karok_2015,
mDH,ʔíkam,,,,ISO6,bright_karok_2015,
fB,típah,,,,ISO6,bright_karok_2015,
fZ,kústān,,,,ISO6,bright_karok_2015,
fyB,čá̄s,,,,ISO6,bright_karok_2015,
fyZ,čī́š,,,,ISO6,bright_karok_2015,
fF,ʔáka,,,,ISO6,bright_karok_2015,
fM,tá̄t,,,,ISO6,bright_karok_2015,
fS,kač,,,,ISO6,bright_karok_2015,
fD,yāčkan,,,,ISO6,bright_karok_2015,
fFF,kú̄t,,,,ISO6,bright_karok_2015,
fFF,átiš,,,,ISO6,bright_karok_2015,
fFM,kī́t,,,,ISO6,bright_karok_2015,
fFM,átiš,,,,ISO6,bright_karok_2015,
fMF,kú̄t,,,,ISO6,bright_karok_2015,
fMF,átiš,,,,ISO6,bright_karok_2015,
fMM,kī́t,,,,ISO6,bright_karok_2015,
fMM,átiš,,,,ISO6,bright_karok_2015,
fSS,kú̄t,,,,ISO6,bright_karok_2015,
fSS,átiš,,,,ISO6,bright_karok_2015,
fSD,kī́t,,,,ISO6,bright_karok_2015,
fSD,átiš,,,,ISO6,bright_karok_2015,
fDS,kú̄t,,,,ISO6,bright_karok_2015,
fDS,átiš,,,,ISO6,bright_karok_2015,
fDD,kī́t,,,,ISO6,bright_karok_2015,
fDD,átiš,,,,ISO6,bright_karok_2015,
fFB,párah,,,,ISO6,bright_karok_2015,
fFZ,mī́θ,,,,ISO6,bright_karok_2015,
fMB,xúkam,,,,ISO6,bright_karok_2015,
fMZ,θúxaθ,,,,ISO6,bright_karok_2015,
fBS,axiič,,,,ISO6,bright_karok_2015,
fBS,ʔúfiθ,,,,ISO6,bright_karok_2015,
fBD,axiič,,,,ISO6,bright_karok_2015,
fBD,fúriθ,,,,ISO6,bright_karok_2015,
fZS,axiič,,,,ISO6,bright_karok_2015,
fZS,ʔúfiθ,,,,ISO6,bright_karok_2015,
fZD,axiič,,,,ISO6,bright_karok_2015,
fZD,fúriθ,,,,ISO6,bright_karok_2015,
fH,ʔáβan,,,,ISO6,bright_karok_2015,
fW,ʔihrô̄ha,,,,ISO6,bright_karok_2015,
fHF,fíkβān,,,,ISO6,bright_karok_2015,
fHM,faratípiš,,,,ISO6,bright_karok_2015,
fWF,fíkβān,,,,ISO6,bright_karok_2015,
fWM,faratípiš,,,,ISO6,bright_karok_2015,
fSW,ʔíram,,,,ISO6,bright_karok_2015,
fSW,ʔíram,,,,ISO6,bright_karok_2015,
fDH,ʔíkam,,,,ISO6,bright_karok_2015,
fDH,ʔíkam,,,,ISO6,bright_karok_2015,
