parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
meB,thabuju,ṱapucu,male speaker's older brother,,,,
myB,duujind,tu:cint,male speaker's younger brother,,,,
feB,kularrind,kularint,female speaker's older brother,,,,
fyB,kularrind,kularint,female speaker's younger brother,,,,
meZ,"kularrind, wakath","kularint, wakaṱ",male speaker's older sister,,,,
myZ,"kularrind, wakath","kularint, wakaṱ",male speaker's younger sister,,,,
feZ,yakukathu,jakukaṱu,female speaker's older sister,,,,
fyZ,duujind,tu:cint,female speaker's younger sister,,,,
mF,kanthathu,kaṋṱaṱu,male speaker's father,,,,
mM,ngamathu,ŋamaṱu,male speaker's mother,,,,
fF,kanthathu,kaṋṱaṱu,female speaker's father,,,,
fM,ngamathu,ŋamaṱu,female speaker's mother,,,,
mS,kambind,kampint,male speaker's son,,,,
fS,kardu,kaʈu,female speaker's son,,,,
mD,kambind,kampint,male speaker's daughter,,,,
fD,budurdu,putuʈu,female speaker's daughter,,,,
mSS,"kangku, duujind","kaŋku, tu:cint",male speaker's son's son,,,,
mSD,"kangku, kularrind, wakath","kaŋku, kularint, wakaṱ",male speaker's son's daughter,,,,
mDS,jambathu,campaṱu,male speaker's daughter's son,,,,
mDD,jambathu,campaṱu,male speaker's daughter's daughter,,,,
fSS,ngarrmandathu,ŋarmantaṱu,female speaker's son's son,,,,
fSD,ngarrmandathu,ŋarmantaṱu,female speaker's son's daughter,,,,
fDS,malungind,maluŋint,female speaker's daughter's son,,,,
fDD,kirrkunku,kirkunku,female speaker's daugher's daughter,,,,
mFF,"kangku, thabuju","kaŋku, ṱapucu",male speaker's father‘s father,,,,
mFM,babiju,papicu,male speaker's father's mother,,,,
mMF,jambathu,campaṱu,male speaker's mother's father,,,,
mMM,ngarriju,ŋaricu,male speaker's mother's mother,,,,
fFF,"kangku, kularrind","kaŋku, kularint",female speaker's father's father,,,,
fFM,babiju,papicu,female speaker's father's mother,,,,
fMF,jambathu,campaṱu,female speaker's mother's father,,,,
fMM,ngarriju,ŋaricu,female speaker's mother's mother,,,,
meBS,kambind,kampint,male speaker's older brother's son,,,,
myBS,kambind,kampint,male speaker's younger brother's son,,,,
meZS,kardu,kaʈu,male speaker's older sister's son,,,,
myZS,kardu,kaʈu,male speaker's younger sister's son,,,,
meBD,kambind,kampint,male speaker's older brother's daughter,,,,
myBD,kambind,kampint,male speaker's younger brother's daughter,,,,
meZD,budurdu,putuʈu,male speaker's older sister's daughter,,,,
myZD,budurdu,putuʈu,male speaker's younger sister's daughter,,,,
feBS,kambind,kampint,female speaker's older brother's son,,,,
fyBS,kambind,kampint,female speaker's younger brother's son,,,,
feZS,kardu,kaʈu,female speaker's older sister's son,,,,
fyZS,kardu,kaʈu,female speaker's younger sister's son,,,,
feBD,kambind,kampint,female speaker's older brother's daughter,,,,
fyBD,kambind,kampint,female speaker's younger brother's daughter,,,,
feZD,budurdu,putuʈu,female speaker's older sister's daughter,,,,
fyZD,budurdu,putuʈu,female speaker's younger sister's daughter,,,,
mFeB,kanthathu,kaṋṱaṱu,male speaker's father's older brother,,,,"Normally, the basic 'father' term kanthathu is used for FeB and FyB. However, if more precision is required, the term warrawarrayarrba can be used for the father's oldest brother"
mFyB,kanthathu,kaṋṱaṱu,male speaker's father's younger brother,,,,"Normally, the basic 'father' term kanthathu is used for FeB and FyB. However, if more precision is required, the term kunyaa kanthathu can be used for FyB"
mFeZ,marrkathu,markaṱu,male speaker's father's older sister,,,,
mFyZ,marrkathu,markaṱu,male speaker's father's younger sister,,,,
mMeB,kakuju,kakucu,male speaker's mother's older brother,,,,
mMyB,kakuju,kakucu,male speaker's mother's younger brother,,,,
mMeZ,ngamathu,ŋamaṱu,male speaker's mother's older sister,,,,
mMyZ,ngamathu,ŋamaṱu,male speaker's mother's younger sister,,,,"Normally, the basic 'mother' term ngamathu is used for M and MyZ. However, if more precision is required, the term kabiriju can be used for the 'last mother', who is in fact the mother's youngest co-wife (and not necessarily the mother's biological sister"
fFeB,kanthathu,kaṋṱaṱu,female speaker's father's older brother,,,,
fFyB,kanthathu,kaṋṱaṱu,female speaker's father's younger brother,,,,
fFeZ,marrkathu,markaṱu,female speaker's father's older sister,,,,
fFyZ,marrkathu,markaṱu,female speaker's father's younger sister,,,,
fMeB,kakuju,kakucu,female speaker's mother's older brother,,,,
fMyB,kakuju,kakucu,female speaker's mother's younger brother,,,,
