parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mF,àma,,male ego's father,,,Holle1980v2,
mM,ina-ngina,,male ego's mother,,,Holle1980v2,
fF,àma,,female ego's father,,,Holle1980v2,
fM,ina-ngina,,female ego's mother,,,Holle1980v2,
mS,ngòwaka nāuru,,male ego's son,,,Holle1980v2,
mD,ngòwaka ngòwědjèka,,male ego's daughter,,,Holle1980v2,
fS,ngòwaka nāuru,,female ego's son,,,Holle1980v2,
fD,ngòwaka ngòwědjèka,,female ego's daughter,,,Holle1980v2,
mFF,ēté,,male ego's father's father,,,Holle1980v2,
mFM,èdjé-ngèdjé,,male ego's father's mother,,,Holle1980v2,
mMF,ēté,,male ego's mother's father,,,Holle1980v2,
mMM,èdjé-ngèdjé,,male ego's mother's mother,,,Holle1980v2,
fFF,ēté,,female ego's father's father,,,Holle1980v2,
fFM,èdjé-ngèdjé,,female ego's father's mother,,,Holle1980v2,
fMF,ēté,,female ego's mother's father,,,Holle1980v2,
fMM,èdjé-ngèdjé,,female ego's mother's mother,,,Holle1980v2,
meB,riaka,,male ego's older brother,,,Holle1980v2,
myB,nongoru,,male ego's younger brother,,,Holle1980v2,
feB,irànga,,female ego's older brother,,,Holle1980v2,
fyB,irànga,,female ego's younger brother,,,Holle1980v2,
meZ,birànga,,male ego's older sister,,,Holle1980v2,
myZ,birànga,,male ego's younger sister,,,Holle1980v2,
feZ,riaka,,female ego's older sister,,,Holle1980v2,
fyZ,nongoru,,female ego's younger sister,,,Holle1980v2,
mSS,dānongo,,male ego's son's son,,,Holle1980v2,
mSD,dānongo,,male ego's son's daughter,,,Holle1980v2,
mDS,dānongo,,male ego's daughter's son,,,Holle1980v2,
mDD,dānongo,,male ego's daughter's daughter,,,Holle1980v2,
fSS,dānongo,,female ego's son's son,,,Holle1980v2,
fSD,dānongo,,female ego's son's daughter,,,Holle1980v2,
fDS,dānongo,,female ego's daughter's son,,,Holle1980v2,
fDD,dānongo,,female ego's daugher's daughter,,,Holle1980v2,
mFeB,àma riáka,,male ego's father's older brother,,,Holle1980v2,
mFyB,djòdjo,,male ego's father's younger brother,,,Holle1980v2,
mFeZ,ngina riaka,,male ego's father's older sister,,,Holle1980v2,
mFyZ,djòdjo,,male ego's father's younger sister,,,Holle1980v2,
mMeB,èpé,,male ego's mother's older brother,,,Holle1980v2,
mMyB,èpé,,male ego's mother's younger brother,,,Holle1980v2,
mMeZ,ōa,,male ego's mother's older sister,,,Holle1980v2,
mMyZ,ōa,,male ego's mother's younger sister,,,Holle1980v2,
fFeB,àma riáka,,female ego's father's older brother,,,Holle1980v2,
fFyB,djòdjo,,female ego's father's younger brother,,,Holle1980v2,
fFeZ,ngina riaka,,female ego's father's older sister,,,Holle1980v2,
fFyZ,djòdjo,,female ego's father's younger sister,,,Holle1980v2,
fMeB,èpé,,female ego's mother's older brother,,,Holle1980v2,
fMyB,èpé,,female ego's mother's younger brother,,,Holle1980v2,
fMeZ,ōa,,female ego's mother's older sister,,,Holle1980v2,
fMyZ,ōa,,female ego's mother's younger sister,,,Holle1980v2,
meBS,riaka,,male ego's older brother's son,,,Holle1980v2,
myBS,nongoru,,male ego's younger brother's son,,,Holle1980v2,
meZS,riaka,,male ego's older sister's son,,,Holle1980v2,
myZS,nongoru,,male ego's younger sister's son,,,Holle1980v2,
meBD,riaka,,male ego's older brother's daughter,,,Holle1980v2,
myBD,nongoru,,male ego's younger brother's daughter,,,Holle1980v2,
meZD,riaka,,male ego's older sister's daughter,,,Holle1980v2,
myZD,nongoru,,male ego's younger sister's daughter,,,Holle1980v2,
feBS,riaka,,female ego's older brother's son,,,Holle1980v2,
fyBS,nongoru,,female ego's younger brother's son,,,Holle1980v2,
feZS,riaka,,female ego's older sister's son,,,Holle1980v2,
fyZS,nongoru,,female ego's younger sister's son,,,Holle1980v2,
feBD,riaka,,female ego's older brother's daughter,,,Holle1980v2,
fyBD,nongoru,,female ego's younger brother's daughter,,,Holle1980v2,
feZD,riaka,,female ego's older sister's daughter,,,Holle1980v2,
fyZD,nongoru,,female ego's younger sister's daughter,,,Holle1980v2,
mWF,dūnungu,,male ego's wife's father,,,Holle1980v2,
fHF,dorōata,,female ego's husband's father,,,Holle1980v2,
mWM,dūnungu,,male ego's wife's mother,,,Holle1980v2,
fHM,dorōata,,female ego's husband's mother,,,Holle1980v2,
mDH,dorōata,,male ego's daughter's husband,,,Holle1980v2,
mSW,"duunungu, ngoōa",,male ego's son's wife,,,Holle1980v2,
fDH,dorōata,,female ego's daughter's husband,,,Holle1980v2,
fSW,"duunungu, ngoōa",,female ego's son's wife,,,Holle1980v2,
mWB,gèri,,male ego's wife's brother,,,Holle1980v2,
fHB,"dāuru, moli, dauru",,female ego's husband's brother,,,Holle1980v2,
mWZ,"moli, dauru",,male ego's wife'S sister,,,Holle1980v2,
fH,ròkata,,female ego's husband,,,Holle1980v2,
mW,wědjéka,,male ego's wife,,,Holle1980v2,
