"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"meB","maɣay-anem",,"male ego's older brother",,,"olssonMarind",""
"myB","es-anem",,"male ego's younger brother",,,"olssonMarind",""
"feB","maɣay-anem",,"female ego's older brother",,,"olssonMarind",""
"fyB","es-anem",,"female ego's younger brother",,,"olssonMarind",""
"meZ","maɣay-anum",,"male ego's older sister",,,"olssonMarind",""
"myZ","es-anum",,"male ego's younger sister",,,"olssonMarind",""
"feZ","maɣay-anum",,"female ego's older sister",,,"olssonMarind",""
"fyZ","es-anum",,"female ego's younger sister",,,"olssonMarind",""
"mF","ehway",,"male ego's father",,,"olssonMarind",""
"mM","wah",,"male ego's mother",,,"olssonMarind",""
"fF","ehway",,"female ego's father",,,"olssonMarind",""
"fM","wah",,"female ego's mother",,,"olssonMarind",""
"mS","wananggib",,"male ego's son",,,"olssonMarind",""
"fS","wananggib",,"female ego's son",,,"olssonMarind",""
"mD","wananggub",,"male ego's daughter",,,"olssonMarind",""
"fD","wananggub",,"female ego's daughter",,,"olssonMarind",""
"mSS","iheb",,"male ego's son's son",,,"olssonMarind",""
"mSD","iheb",,"male ego's son's daughter",,,"olssonMarind",""
"mDS","iheb",,"male ego's daughter's son",,,"olssonMarind",""
"mDD","iheb",,"male ego's daughter's daughter",,,"olssonMarind",""
"fSS","iheb",,"female ego's son's son",,,"olssonMarind",""
"fSD","iheb",,"female ego's son's daughter",,,"olssonMarind",""
"fDS","iheb",,"female ego's daughter's son",,,"olssonMarind",""
"fDD","iheb",,"female ego's daugher's daughter",,,"olssonMarind",""
"mFF","iham",,"male ego's father‘s father",,,"olssonMarind",""
"mFM","iham",,"male ego's father's mother",,,"olssonMarind",""
"mMF","iham",,"male ego's mother's father",,,"olssonMarind",""
"mMM","iham",,"male ego's mother's mother",,,"olssonMarind",""
"fFF","iham",,"female ego's father's father",,,"olssonMarind",""
"fFM","iham",,"female ego's father's mother",,,"olssonMarind",""
"fMF","iham",,"female ego's mother's father",,,"olssonMarind",""
"fMM","iham",,"female ego's mother's mother",,,"olssonMarind",""
"meBS","wananggib",,"male ego's older brother's son",,,"olssonMarind",""
