"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"meB","edokora",,"male ego's older brother",,,"gravelleMeah",
"myB","edokosa",,"male ego's younger brother",,,"gravelleMeah",
"feB","ediera",,"female ego's older brother",,,"gravelleMeah",
"fyB","ediesa",,"female ego's younger brother",,,"gravelleMeah",
"meZ","ediera",,"male ego's older sister",,,"gravelleMeah",
"myZ","ediesa",,"male ego's younger sister",,,"gravelleMeah",
"feZ","edokora",,"female ego's older sister",,,"gravelleMeah",
"fyZ","edokosa",,"female ego's younger sister",,,"gravelleMeah",
"mF","akeina",,"male ego's father",,,"gravelleMeah",
"mM","amaina",,"male ego's mother",,,"gravelleMeah",
"fF","akeina",,"female ego's father",,,"gravelleMeah",
"fM","amaina",,"female ego's mother",,,"gravelleMeah",
"mS","edesa",,"male ego's son",,,"gravelleMeah",
"fS","edesa",,"female ego's son",,,"gravelleMeah",
"mD","edesa",,"male ego's daughter",,,"gravelleMeah",
"fD","edesa",,"female ego's daughter",,,"gravelleMeah",
"mSS","eddebesa",,"male ego's son's son",,,"gravelleMeah",
"mSD","eddebesa",,"male ego's son's daughter",,,"gravelleMeah",
"mDS","eddebesa",,"male ego's daughter's son",,,"gravelleMeah",
"mDD","eddebesa",,"male ego's daughter's daughter",,,"gravelleMeah",
"fSS","eddebesa",,"female ego's son's son",,,"gravelleMeah",
"fSD","eddebesa",,"female ego's son's daughter",,,"gravelleMeah",
"fDS","eddebesa",,"female ego's daughter's son",,,"gravelleMeah",
"fDD","eddebesa",,"female ego's daugher's daughter",,,"gravelleMeah",
"mFF","indimowa",,"male ego's father‘s father",,,"gravelleMeah",
"mFM","indawa",,"male ego's father's mother",,,"gravelleMeah",
"mMF","indimowa",,"male ego's mother's father",,,"gravelleMeah",
"mMM","indawa",,"male ego's mother's mother",,,"gravelleMeah",
"fFF","indimowa",,"female ego's father's father",,,"gravelleMeah",
"fFM","indawa",,"female ego's father's mother",,,"gravelleMeah",
"fMF","indimowa",,"female ego's mother's father",,,"gravelleMeah",
"fMM","indawa",,"female ego's mother's mother",,,"gravelleMeah",
"meBS","edesa",,"male ego's older brother's son",,,"gravelleMeah",
"myBS","edesa",,"male ego's younger brother's son",,,"gravelleMeah",
"meZS","edesa",,"male ego's older sister's son",,,"gravelleMeah",
"myZS","edesa",,"male ego's younger sister's son",,,"gravelleMeah",
"meBD","edesa",,"male ego's older brother's daughter",,,"gravelleMeah",
"myBD","edesa",,"male ego's younger brother's daughter",,,"gravelleMeah",
"meZD","edesa",,"male ego's older sister's daughter",,,"gravelleMeah",
"myZD","edesa",,"male ego's younger sister's daughter",,,"gravelleMeah",
"feBS","edesa",,"female ego's older brother's son",,,"gravelleMeah",
"fyBS","edesa",,"female ego's younger brother's son",,,"gravelleMeah",
"feZS","edesa",,"female ego's older sister's son",,,"gravelleMeah",
"fyZS","edesa",,"female ego's younger sister's son",,,"gravelleMeah",
"feBD","edesa",,"female ego's older brother's daughter",,,"gravelleMeah",
"fyBD","edesa",,"female ego's younger brother's daughter",,,"gravelleMeah",
"feZD","edesa",,"female ego's older sister's daughter",,,"gravelleMeah",
"fyZD","edesa",,"female ego's younger sister's daughter",,,"gravelleMeah",
"mFeB","akeina",,"male ego's father's older brother",,,"gravelleMeah",
"mFyB","akeina",,"male ego's father's younger brother",,,"gravelleMeah",
"mFeZ","amaina",,"male ego's father's older sister",,,"gravelleMeah",
"mFyZ","amaina",,"male ego's father's younger sister",,,"gravelleMeah",
"mMeB","adeina",,"male ego's mother's older brother",,,"gravelleMeah",
"mMyB","adeina",,"male ego's mother's younger brother",,,"gravelleMeah",
"mMeZ","amaina",,"male ego's mother's older sister",,,"gravelleMeah",
"mMyZ","amaina",,"male ego's mother's younger sister",,,"gravelleMeah",
"fFeB","akeina",,"female ego's father's older brother",,,"gravelleMeah",
"fFyB","akeina",,"female ego's father's younger brother",,,"gravelleMeah",
"fFeZ","amaina",,"female ego's father's older sister",,,"gravelleMeah",
"fFyZ","amaina",,"female ego's father's younger sister",,,"gravelleMeah",
"fMeB","adeina",,"female ego's mother's older brother",,,"gravelleMeah",
"fMyB","adeina",,"female ego's mother's younger brother",,,"gravelleMeah",
"fMeZ","amaina",,"female ego's mother's older sister",,,"gravelleMeah",
"fMyZ","amaina",,"female ego's mother's younger sister",,,"gravelleMeah",
"mW","edohona",,"male ego's wife",,,"gravelleMeah",
"fH","edahina",,"female ego‘s husband",,,"gravelleMeah",
"mWB","edocora, edokosa",,"male ego's wife's brother",,,"gravelleMeah",
"mWZ","eduisa, eduira",,"male ego's wife's sister",,,"gravelleMeah",
"fHB","eduisa, eduira",,"female ego's husband's brother",,,"gravelleMeah",
"fHZ","edocora, edokosa",,"female ego's husband's sister",,,"gravelleMeah",
"mBW","eduisa, eduira",,"male ego's brother's wife",,,"gravelleMeah",
"fBW","edocora, edokosa",,"female ego's brother's wife",,,"gravelleMeah",
"mZH","edocora, edokosa",,"male ego's sister's husband",,,"gravelleMeah",
"fZH","eduisa, eduira",,"female ego's sister's husband",,,"gravelleMeah",
"mFBeS","edokora",,"male ego‘s father‘s brother‘s older son",,,"gravelleMeah",
"mFByS","edokosa",,"male ego‘s father‘s brother‘s younger son",,,"gravelleMeah",
"mFBeD","ediera",,"male ego‘s father‘s brother‘s older daughter",,,"gravelleMeah",
"mFByD","ediesa",,"male ego‘s father‘s brother‘s younger daughter",,,"gravelleMeah",
"mFZeS","edokora",,"male ego‘s father‘s sisters‘s older son",,,"gravelleMeah",
"mFZyS","edokosa",,"male ego‘s father‘s sisters‘s younger son",,,"gravelleMeah",
"mFZeD","ediera",,"male ego‘s father‘s sisters‘s older daughter",,,"gravelleMeah",
"mFZyD","ediesa",,"male ego‘s father‘s sisters‘s younger daughter",,,"gravelleMeah",
"mMBeS","edokora",,"male ego‘s mother‘s brother‘s older son",,,"gravelleMeah",
"mMByS","edokosa",,"male ego‘s mother‘s brother‘s younger son",,,"gravelleMeah",
"mMBeD","ediera",,"male ego‘s mother‘s brother‘s older daughter",,,"gravelleMeah",
"mMByD","ediesa",,"male ego‘s mother‘s brother‘s younger daughter",,,"gravelleMeah",
"mMZeS","edokora",,"male ego‘s mother‘s sisters‘s older son",,,"gravelleMeah",
"mMZyS","edokosa",,"male ego‘s mother‘s sisters‘s younger son",,,"gravelleMeah",
"mMZeD","ediera",,"male ego‘s mother‘s sisters‘s older daughter",,,"gravelleMeah",
"mMZyD","ediesa",,"male ego‘s mother‘s sisters‘s younger daughter",,,"gravelleMeah",
"fFBeS","ediera",,"female ego‘s father‘s brother‘s older son",,,"gravelleMeah",
"fFByS","ediesa",,"female ego‘s father‘s brother‘s younger son",,,"gravelleMeah",
"fFBeD","edokora",,"female ego‘s father‘s brother‘s older daughter",,,"gravelleMeah",
"fFByD","edokosa",,"female ego‘s father‘s brother‘s younger daughter",,,"gravelleMeah",
"fFZeS","ediera",,"female ego‘s father‘s sisters‘s older son",,,"gravelleMeah",
"fFZyS","ediesa",,"female ego‘s father‘s sisters‘s younger son",,,"gravelleMeah",
"fFZeD","edokora",,"female ego‘s father‘s sisters‘s older daughter",,,"gravelleMeah",
"fFZyD","edokosa",,"female ego‘s father‘s sisters‘s younger daughter",,,"gravelleMeah",
"fMBeS","ediera",,"female ego‘s mother‘s brother‘s older son",,,"gravelleMeah",
"fMByS","ediesa",,"female ego‘s mother‘s brother‘s younger son",,,"gravelleMeah",
"fMBeD","edokora",,"female ego‘s mother‘s brother‘s older daughter",,,"gravelleMeah",
"fMByD","edokosa",,"female ego‘s mother‘s brother‘s younger daughter",,,"gravelleMeah",
"fMZeS","ediera",,"female ego‘s mother‘s sisters‘s older son",,,"gravelleMeah",
"fMZyS","ediesa",,"female ego‘s mother‘s sisters‘s younger son",,,"gravelleMeah",
"fMZeD","edokora",,"female ego‘s mother‘s sisters‘s older daughter",,,"gravelleMeah",
"fMZyD","edokosa",,"female ego‘s mother‘s sisters‘s younger daughter",,,"gravelleMeah",
