parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mG,l-ḳaya,,,,GUA1,buckwalter_mocovi_2015,
mB,l-ḳaya,,,,GUA1,buckwalter_mocovi_2015,
mZ,l-ḳaya,,,,GUA1,buckwalter_mocovi_2015,
myB,l-anoḳ,,,,GUA1,buckwalter_mocovi_2015,
myZ,l-anoʔo,,,,GUA1,buckwalter_mocovi_2015,
mF,le-taʔa,,,,GUA1,buckwalter_mocovi_2015,
mM,l-ateʔe,,,,GUA1,buckwalter_mocovi_2015,
mC,lʸ-aal-ḳaipi,,,,GUA1,buckwalter_mocovi_2015,
mS,lʸ-aale-k,,,,GUA1,buckwalter_mocovi_2015,
mD,lʸ-aale,,,,GUA1,buckwalter_mocovi_2015,
mFF,l-apiʔ,,,,GUA1,buckwalter_mocovi_2015,
mFM,l-komeena,,,,GUA1,buckwalter_mocovi_2015,
mMF,l-apiʔ,,,,GUA1,buckwalter_mocovi_2015,
mMM,l-komeena,,,,GUA1,buckwalter_mocovi_2015,
mSS,l-awal,,,,GUA1,buckwalter_mocovi_2015,
mSD,l-awal,,,,GUA1,buckwalter_mocovi_2015,
mDS,l-awal,,,,GUA1,buckwalter_mocovi_2015,
mDD,l-awal,,,,GUA1,buckwalter_mocovi_2015,
mFB,ne-teesḳoʔ,,,,GUA1,buckwalter_mocovi_2015,
mFZ,l-asooro,,,,GUA1,buckwalter_mocovi_2015,
mMB,ne-teesḳoʔ,,,,GUA1,buckwalter_mocovi_2015,
mMZ,l-asooro,,,,GUA1,buckwalter_mocovi_2015,
mBS,le-teesek,,,,GUA1,buckwalter_mocovi_2015,
mBD,le-teese,,,,GUA1,buckwalter_mocovi_2015,
mZS,le-teesek,,,,GUA1,buckwalter_mocovi_2015,
mZD,le-teese,,,,GUA1,buckwalter_mocovi_2015,
mFZD,l-ḳaya,,,,GUA1,buckwalter_mocovi_2015,
mFBD,l-ḳaya,,,,GUA1,buckwalter_mocovi_2015,
mMBD,l-ḳaya,,,,GUA1,buckwalter_mocovi_2015,
mMZD,l-ḳaya,,,,GUA1,buckwalter_mocovi_2015,
mFBS,l-ḳaya,,,,GUA1,buckwalter_mocovi_2015,
mFZS,l-ḳaya,,,,GUA1,buckwalter_mocovi_2015,
mMBS,l-ḳaya,,,,GUA1,buckwalter_mocovi_2015,
mMZS,l-ḳaya,,,,GUA1,buckwalter_mocovi_2015,
mH,l-owa,,,,GUA1,buckwalter_mocovi_2015,
mW,l-owa,,,,GUA1,buckwalter_mocovi_2015,
mHF,ni-ʔyoḳo,,,,GUA1,buckwalter_mocovi_2015,
mHM,ni-ʔyoḳoro,,,,GUA1,buckwalter_mocovi_2015,
mWF,ni-ʔyoḳo,,,,GUA1,buckwalter_mocovi_2015,
mWM,ni-ʔyoḳoro,,,,GUA1,buckwalter_mocovi_2015,
mSW,l-ate,,,,GUA1,buckwalter_mocovi_2015,
mSW,l-ate,,,,GUA1,buckwalter_mocovi_2015,
mDH,l-adon-aʁan-ek,,,,GUA1,buckwalter_mocovi_2015,
mDH,l-adon-aʁan-ek,,,,GUA1,buckwalter_mocovi_2015,
meB,l-ḳaya,,,,GUA1,buckwalter_mocovi_2015,Inferred; NA
meZ,l-ḳaya,,,,GUA1,buckwalter_mocovi_2015,Inferred; NA
mFeB,ne-teesḳoʔ,,,,GUA1,buckwalter_mocovi_2015,Inferred; NA
mFyB,ne-teesḳoʔ,,,,GUA1,buckwalter_mocovi_2015,Inferred; NA
mFeZ,l-asooro,,,,GUA1,buckwalter_mocovi_2015,Inferred; NA
mFyZ,l-asooro,,,,GUA1,buckwalter_mocovi_2015,Inferred; NA
mMeZ,l-asooro,,,,GUA1,buckwalter_mocovi_2015,Inferred; NA
mMyZ,l-asooro,,,,GUA1,buckwalter_mocovi_2015,Inferred; NA
mMeB,ne-teesḳoʔ,,,,GUA1,buckwalter_mocovi_2015,Inferred; NA
mMyB,ne-teesḳoʔ,,,,GUA1,buckwalter_mocovi_2015,Inferred; NA
meBS,le-teesek,,,,GUA1,buckwalter_mocovi_2015,Inferred; NA
myBS,le-teesek,,,,GUA1,buckwalter_mocovi_2015,Inferred; NA
meBD,le-teese,,,,GUA1,buckwalter_mocovi_2015,Inferred; NA
myBD,le-teese,,,,GUA1,buckwalter_mocovi_2015,Inferred; NA
meZS,le-teesek,,,,GUA1,buckwalter_mocovi_2015,Inferred; NA
myZS,le-teesek,,,,GUA1,buckwalter_mocovi_2015,Inferred; NA
meZD,le-teese,,,,GUA1,buckwalter_mocovi_2015,Inferred; NA
myZD,le-teese,,,,GUA1,buckwalter_mocovi_2015,Inferred; NA
mFeBS,l-ḳaya,,,,GUA1,buckwalter_mocovi_2015,Inferred; NA
mFyBS,l-ḳaya,,,,GUA1,buckwalter_mocovi_2015,Inferred; NA
mFeZS,l-ḳaya,,,,GUA1,buckwalter_mocovi_2015,Inferred; NA
mFyZS,l-ḳaya,,,,GUA1,buckwalter_mocovi_2015,Inferred; NA
mFeBD,l-ḳaya,,,,GUA1,buckwalter_mocovi_2015,Inferred; NA
mFyBD,l-ḳaya,,,,GUA1,buckwalter_mocovi_2015,Inferred; NA
mFeZD,l-ḳaya,,,,GUA1,buckwalter_mocovi_2015,Inferred; NA
mFyZD,l-ḳaya,,,,GUA1,buckwalter_mocovi_2015,Inferred; NA
mMeBS,l-ḳaya,,,,GUA1,buckwalter_mocovi_2015,Inferred; NA
mMyBS,l-ḳaya,,,,GUA1,buckwalter_mocovi_2015,Inferred; NA
mMeZS,l-ḳaya,,,,GUA1,buckwalter_mocovi_2015,Inferred; NA
mMyZS,l-ḳaya,,,,GUA1,buckwalter_mocovi_2015,Inferred; NA
mMeBD,l-ḳaya,,,,GUA1,buckwalter_mocovi_2015,Inferred; NA
mMyBD,l-ḳaya,,,,GUA1,buckwalter_mocovi_2015,Inferred; NA
mMeZD,l-ḳaya,,,,GUA1,buckwalter_mocovi_2015,Inferred; NA
mMyZD,l-ḳaya,,,,GUA1,buckwalter_mocovi_2015,Inferred; NA
mFBeS,l-ḳaya,,,,GUA1,buckwalter_mocovi_2015,Inferred; NA
mFByS,l-ḳaya,,,,GUA1,buckwalter_mocovi_2015,Inferred; NA
mFZeS,l-ḳaya,,,,GUA1,buckwalter_mocovi_2015,Inferred; NA
mFZyS,l-ḳaya,,,,GUA1,buckwalter_mocovi_2015,Inferred; NA
mFBeD,l-ḳaya,,,,GUA1,buckwalter_mocovi_2015,Inferred; NA
mFByD,l-ḳaya,,,,GUA1,buckwalter_mocovi_2015,Inferred; NA
mFZeD,l-ḳaya,,,,GUA1,buckwalter_mocovi_2015,Inferred; NA
mFZyD,l-ḳaya,,,,GUA1,buckwalter_mocovi_2015,Inferred; NA
mMBeS,l-ḳaya,,,,GUA1,buckwalter_mocovi_2015,Inferred; NA
mMByS,l-ḳaya,,,,GUA1,buckwalter_mocovi_2015,Inferred; NA
mMZeS,l-ḳaya,,,,GUA1,buckwalter_mocovi_2015,Inferred; NA
mMZyS,l-ḳaya,,,,GUA1,buckwalter_mocovi_2015,Inferred; NA
mMBeD,l-ḳaya,,,,GUA1,buckwalter_mocovi_2015,Inferred; NA
mMByD,l-ḳaya,,,,GUA1,buckwalter_mocovi_2015,Inferred; NA
mMZeD,l-ḳaya,,,,GUA1,buckwalter_mocovi_2015,Inferred; NA
mMZyD,l-ḳaya,,,,GUA1,buckwalter_mocovi_2015,Inferred; NA
fG,l-ḳaya,,,,GUA1,buckwalter_mocovi_2015,
fB,l-ḳaya,,,,GUA1,buckwalter_mocovi_2015,
fZ,l-ḳaya,,,,GUA1,buckwalter_mocovi_2015,
fyB,l-anoḳ,,,,GUA1,buckwalter_mocovi_2015,
fyZ,l-anoʔo,,,,GUA1,buckwalter_mocovi_2015,
fF,le-taʔa,,,,GUA1,buckwalter_mocovi_2015,
fM,l-ateʔe,,,,GUA1,buckwalter_mocovi_2015,
fC,lʸ-aal-ḳaipi,,,,GUA1,buckwalter_mocovi_2015,
fS,lʸ-aale-k,,,,GUA1,buckwalter_mocovi_2015,
fD,lʸ-aale,,,,GUA1,buckwalter_mocovi_2015,
fFF,l-apiʔ,,,,GUA1,buckwalter_mocovi_2015,
fFM,l-komeena,,,,GUA1,buckwalter_mocovi_2015,
fMF,l-apiʔ,,,,GUA1,buckwalter_mocovi_2015,
fMM,l-komeena,,,,GUA1,buckwalter_mocovi_2015,
fSS,l-awal,,,,GUA1,buckwalter_mocovi_2015,
fSD,l-awal,,,,GUA1,buckwalter_mocovi_2015,
fDS,l-awal,,,,GUA1,buckwalter_mocovi_2015,
fDD,l-awal,,,,GUA1,buckwalter_mocovi_2015,
fFB,ne-teesḳoʔ,,,,GUA1,buckwalter_mocovi_2015,
fFZ,l-asooro,,,,GUA1,buckwalter_mocovi_2015,
fMB,ne-teesḳoʔ,,,,GUA1,buckwalter_mocovi_2015,
fMZ,l-asooro,,,,GUA1,buckwalter_mocovi_2015,
fBS,le-teesek,,,,GUA1,buckwalter_mocovi_2015,
fBD,le-teese,,,,GUA1,buckwalter_mocovi_2015,
fZS,le-teesek,,,,GUA1,buckwalter_mocovi_2015,
fZD,le-teese,,,,GUA1,buckwalter_mocovi_2015,
fFZD,l-ḳaya,,,,GUA1,buckwalter_mocovi_2015,
fFBD,l-ḳaya,,,,GUA1,buckwalter_mocovi_2015,
fMBD,l-ḳaya,,,,GUA1,buckwalter_mocovi_2015,
fMZD,l-ḳaya,,,,GUA1,buckwalter_mocovi_2015,
fFBS,l-ḳaya,,,,GUA1,buckwalter_mocovi_2015,
fFZS,l-ḳaya,,,,GUA1,buckwalter_mocovi_2015,
fMBS,l-ḳaya,,,,GUA1,buckwalter_mocovi_2015,
fMZS,l-ḳaya,,,,GUA1,buckwalter_mocovi_2015,
fH,l-owa,,,,GUA1,buckwalter_mocovi_2015,
fW,l-owa,,,,GUA1,buckwalter_mocovi_2015,
fHF,ni-ʔyoḳo,,,,GUA1,buckwalter_mocovi_2015,
fHM,ni-ʔyoḳoro,,,,GUA1,buckwalter_mocovi_2015,
fWF,ni-ʔyoḳo,,,,GUA1,buckwalter_mocovi_2015,
fWM,ni-ʔyoḳoro,,,,GUA1,buckwalter_mocovi_2015,
fSW,l-ate,,,,GUA1,buckwalter_mocovi_2015,
fSW,l-ate,,,,GUA1,buckwalter_mocovi_2015,
fDH,l-adon-aʁan-ek,,,,GUA1,buckwalter_mocovi_2015,
fDH,l-adon-aʁan-ek,,,,GUA1,buckwalter_mocovi_2015,
feB,l-ḳaya,,,,GUA1,buckwalter_mocovi_2015,Inferred; NA
feZ,l-ḳaya,,,,GUA1,buckwalter_mocovi_2015,Inferred; NA
fFeB,ne-teesḳoʔ,,,,GUA1,buckwalter_mocovi_2015,Inferred; NA
fFyB,ne-teesḳoʔ,,,,GUA1,buckwalter_mocovi_2015,Inferred; NA
fFeZ,l-asooro,,,,GUA1,buckwalter_mocovi_2015,Inferred; NA
fFyZ,l-asooro,,,,GUA1,buckwalter_mocovi_2015,Inferred; NA
fMeZ,l-asooro,,,,GUA1,buckwalter_mocovi_2015,Inferred; NA
fMyZ,l-asooro,,,,GUA1,buckwalter_mocovi_2015,Inferred; NA
fMeB,ne-teesḳoʔ,,,,GUA1,buckwalter_mocovi_2015,Inferred; NA
fMyB,ne-teesḳoʔ,,,,GUA1,buckwalter_mocovi_2015,Inferred; NA
feBS,le-teesek,,,,GUA1,buckwalter_mocovi_2015,Inferred; NA
fyBS,le-teesek,,,,GUA1,buckwalter_mocovi_2015,Inferred; NA
feBD,le-teese,,,,GUA1,buckwalter_mocovi_2015,Inferred; NA
fyBD,le-teese,,,,GUA1,buckwalter_mocovi_2015,Inferred; NA
feZS,le-teesek,,,,GUA1,buckwalter_mocovi_2015,Inferred; NA
fyZS,le-teesek,,,,GUA1,buckwalter_mocovi_2015,Inferred; NA
feZD,le-teese,,,,GUA1,buckwalter_mocovi_2015,Inferred; NA
fyZD,le-teese,,,,GUA1,buckwalter_mocovi_2015,Inferred; NA
fFeBS,l-ḳaya,,,,GUA1,buckwalter_mocovi_2015,Inferred; NA
fFyBS,l-ḳaya,,,,GUA1,buckwalter_mocovi_2015,Inferred; NA
