parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mFZeD,zä-häʼ-she,,male speaker's father's sister's older daughter,,,Morgan1871,
mFZyD,zä-häʼ-she,,male speaker's father's sister's younger daughter,,,Morgan1871,
mFZeS,tä-häʼ-she,,male speaker's father's sister's older son,,,Morgan1871,
mFZyS,tä-häʼ-she,,male speaker's father's sister's younger son,,,Morgan1871,
mMBeS,tä-häʼ-she,,male speaker's mother's brother's older son,,,Morgan1871,
mMByS,tä-häʼ-she,,male speaker's mother's brother's younger son,,,Morgan1871,
mMBeD,tä-häʼ-she,,male speaker's mother's brother's older daughter,,,Morgan1871,
mMByD,ta-häʼ-she,,male speaker's mother's brother's younger daughter,,,Morgan1871,
mFM,oʼ-gä-she,,male speaker's father's mother,,,Morgan1871,
mMM,oʼ-gä-she,,male speaker's mother's mother,,,Morgan1871,
fFM,oʼ-gä-she,,female speaker's father's mother,,,Morgan1871,
fMM,oʼ-gä-she,,female speaker's mother's mother,,,Morgan1871,
meZS,me-toʼ-zä,,male speaker's older sister's son,,,Morgan1871,
myZS,me-toʼ-zä,,male speaker's younger sister's son,,,Morgan1871,
meZD,me-toʼ-zä,,male speaker's older sister's daughter,,,Morgan1871,
myZD,me-toʼ-zä,,male speaker's younger sister's daughter,,,Morgan1871,
feBS,me-toʼ-zä,,female speaker's older brother's son,,,Morgan1871,
fyBS,me-toʼ-zä,,female speaker's younger brother's son,,,Morgan1871,
mFF,me-toʼ-gä-she,,male speaker's father's father,,,Morgan1871,
fFF,me-toʼ-gä-she,,female speaker's father's father,,,Morgan1871,
mMF,me-toʼ-gä-she,,male speaker's mother's father,,,Morgan1871,
fMF,me-toʼ-gä-she,,female speaker's mother's father,,,Morgan1871,
fHF,me-toʼ-gä-she,,female speaker's husband's father,,,Morgan1871,
mWF,me-toʼ-gä-she,,male speaker's wife's father,,,Morgan1871,
meZ,me-tonʼ-ga,,male speaker's older sister,,,Morgan1871,
mFBeD,me-tonʼ-ga,,male speaker's father's brother's older daughter,,,Morgan1871,
mMZeD,me-tonʼ-ga,,male speaker's mother's sister's older daughter,,,Morgan1871,
mFeZ,me-tohʼ-we,,male speaker's father's older sister,,,Morgan1871,
mFyZ,me-tohʼ-we,,male speaker's father's younger sister,,,Morgan1871,
fFeZ,me-tohʼ-we,,female speaker's father's older sister,,,Morgan1871,
fFyZ,me-tohʼ-we,,female speaker's father's younger sister,,,Morgan1871,
mWM,me-tohʼ-we,,male speaker's wife's mother,,,Morgan1871,
fHM,me-tohʼ-we,,female speaker's husband's mother,,,Morgan1871,
feB,me-timʼ-do,,female speaker's older brother,,,Morgan1871,
mFBeS,me-timʼ-do,,male speaker's father's brother's older son,,,Morgan1871,
fFBeS,me-timʼ-do,,female speaker's father's brother's older son,,,Morgan1871,
fMZeS,me-timʼ-do,,female speaker's mother's sister's older son,,,Morgan1871,
mW,me-täʼ-we,,male speaker's wife,,,Morgan1871,
mDH,me-täʼ-koash,,male speaker's daughter's husband,,,Morgan1871,
mSW,me-täʼ-koash,,male speaker's son's wife,,,Morgan1871,
fSW,me-täʼ-koash,,female speaker's son's wife,,,Morgan1871,
mSS,me-täʼ-ko-sä,,male speaker's son's son,,,Morgan1871,
mDS,me-täʼ-ko-sä,,male speaker's daughter's son,,,Morgan1871,
fSS,me-täʼ-ko-sä,,female speaker's son's son,,,Morgan1871,
fDS,me-täʼ-ko-sä,,female speaker's daughter's son,,,Morgan1871,
mSD,me-täʼ-ko-sä,,male speaker's son's daughter,,,Morgan1871,
fSD,me-täʼ-ko-sä,,female speaker's son's daughter,,,Morgan1871,
mDD,me-täʼ-ko-sä,,male speaker's daughter's daughter,,,Morgan1871,
