parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mM,ushʼ-kǐ,,male speaker's mother,,,,
fM,ushʼ-kǐ,,female speaker's mother,,,,
mMeZ,ushʼ-kǐ,,male speaker's mother's older sister,,,,
mMyZ,ushʼ-kǐ,,male speaker's mother's younger sister,,,,
fMeZ,ushʼ-kǐ,,female speaker's mother's older sister,,,,
fMyZ,ushʼ-kǐ,,female speaker's mother's younger sister,,,,
mFM,up-pukʼnǐ,,male speaker's father's mother,,,,
mMM,up-pukʼnǐ,,male speaker's mother's mother,,,,
fFM,up-pukʼnǐ,,female speaker's father's mother,,,,
fMM,up-pukʼnǐ,,female speaker's mother's mother,,,,
fFeZ,up-pukʼ-nǐ,,female speaker's father's older sister,,,,
fFyZ,up-pukʼ-nǐ,,female speaker's father's younger sister,,,,
fFZyD,up-pukʼ-ne,,female speaker's father's sister's younger daughter,,,,
fHM,up-pukʼ-ne,,female speaker's husband's mother,,,,
fFZeD,up-pucʼ-ne,,female speaker's father's sister's older daughter,,,,
mMeB,um-ushʼ-ǐ,,male speaker's mother's older brother,,,,
mMyB,um-ushʼ-ǐ,,male speaker's mother's younger brother,,,,
fMeB,um-ushʼ-ǐ,,female speaker's mother's older brother,,,,
fMyB,um-ushʼ-ǐ,,female speaker's mother's younger brother,,,,
meB,um-unʼ-nǐ,,male speaker's older brother,,,,
feZ,um-unʼ-nǐ,,female speaker's older sister,,,,
mMZeS,um-unʼ-nǐ,,male speaker's mother's sister's older son,,,,
fMZeD,um-unʼ-nǐ,,female speaker's mother's sister's older daughter,,,,
mFF,um-uhʼ-fo,,male speaker's father's father,,,,
fFF,um-uhʼ-fo,,female speaker's father's father,,,,
mMF,um-uhʼ-fo,,male speaker's mother's father,,,,
fMF,um-uhʼ-fo,,female speaker's mother's father,,,,
fHF,um-uhʼ-fo,,female speaker's husband's father,,,,
fFBeD,um-nuʼ-nǐ,,female speaker's father's brother's older daughter,,,,
mSS,supʼ-uk-nǒkʼ-ne,,male speaker's son's son,,,,
mDS,supʼ-uk-nǒkʼ-ne,,male speaker's daughter's son,,,,
fSS,supʼ-uk-nǒkʼ-ne,,female speaker's son's son,,,,
fDS,supʼ-uk-nǒkʼ-ne,,female speaker's daughter's son,,,,
feBS,supʼ-uk-nǒkʼ-ne,,female speaker's older brother's son,,,,
fyBS,supʼ-uk-nǒkʼ-ne,,female speaker's younger brother's son,,,,
mSD,supʼ-uk,,male speaker's son's daughter,,,,
fSD,supʼ-uk,,female speaker's son's daughter,,,,
mDD,supʼ-uk,,male speaker's daughter's daughter,,,,
fDD,supʼ-uk,,female speaker's daughter's daughter,,,,
mSW,supʼ-uk,,male speaker's son's wife,,,,
fSW,supʼ-uk,,female speaker's son's wife,,,,
mWM,"sup-poʼ-chǐ, o-hoyʼ-oh",,male speaker's wife's mother,,,,
mWF,sup-poʼ-chǐ,,male speaker's wife's father,,,,
mD,suhʼ-sǔhʼ-take,,male speaker's daughter,,,,
fD,suhʼ-sǔhʼ-take,,female speaker's daughter,,,,
mS,suhʼ-sǔh,,male speaker's son,,,,
fS,suhʼ-sǔh,,female speaker's son,,,,
meBS,suhʼ-sǔh,,male speaker's older brother's son,,,,
myBS,suhʼ-sǔh,,male speaker's younger brother's son,,,,
feZS,suhʼ-sǔh,,female speaker's older sister's son,,,,
fyZS,suhʼ-sǔh,,female speaker's younger sister's son,,,,
mMBeS,suhʼ-sǔh,,male speaker's mother's brother's older son,,,,
fMBeS,suhʼ-sǔh,,female speaker's mother's brother's older son,,,,
mMByS,suhʼ-sǔh,,male speaker's mother's brother's younger son,,,,
fMByS,suhʼ-sǔh,,female speaker's mother's brother's younger son,,,,
meBD,suh-sǔhʼ-take,,male speaker's older brother's daughter,,,,
myBD,suh-sǔhʼ-take,,male speaker's younger brother's daughter,,,,
feBD,suh-sǔhʼ-take,,female speaker's older brother's daughter,,,,
fyBD,suh-sǔhʼ-take,,female speaker's younger brother's daughter,,,,
feZD,suh-sǔhʼ-take,,female speaker's older sister's daughter,,,,
fyZD,suh-sǔhʼ-take,,female speaker's younger sister's daughter,,,,
