"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"fH","we-chasʼ-tä-ne-täʼ-wǎ",,"female speaker's husband",,,"Morgan1871",
"mFeZ","tonkʼ-wa",,"male speaker's father's older sister",,,"Morgan1871",
"mFyZ","tonkʼ-wa",,"male speaker's father's younger sister",,,"Morgan1871",
"fFeZ","tonkʼ-wa",,"female speaker's father's older sister",,,"Morgan1871",
"fFyZ","tonkʼ-wa",,"female speaker's father's younger sister",,,"Morgan1871",
"mFF","to-käʼ-she-lä",,"male speaker's father's father",,,"Morgan1871",
"fFF","to-käʼ-she-lä",,"female speaker's father's father",,,"Morgan1871",
"mMF","to-käʼ-she-lä",,"male speaker's mother's father",,,"Morgan1871",
"fMF","to-käʼ-she-lä",,"female speaker's mother's father",,,"Morgan1871",
"fHF","to-käʼ-she",,"female speaker's husband's father",,,"Morgan1871",
"mWF","to-käʼ-she",,"male speaker's wife's father",,,"Morgan1871",
"feB","tibʼ-a-do",,"female speaker's older brother",,,"Morgan1871",
"mFBeS","tibʼ-a-do",,"male speaker's father's brother's older son",,,"Morgan1871",
"fFBeS","tibʼ-a-do",,"female speaker's father's brother's older son",,,"Morgan1871",
"fMZeS","tibʼ-a-do",,"female speaker's mother's sister's older son",,,"Morgan1871",
"mFZeS","täʼ-she",,"male speaker's father's sister's older son",,,"Morgan1871",
"mFZyS","täʼ-she",,"male speaker's father's sister's younger son",,,"Morgan1871",
"mMBeS","täʼ-she",,"male speaker's mother's brother's older son",,,"Morgan1871",
"mMByS","täʼ-she",,"male speaker's mother's brother's younger son",,,"Morgan1871",
"feZ","tänʼ-ka",,"female speaker's older sister",,,"Morgan1871",
"fFBeD","tanʼ-ka",,"female speaker's father's brother's older daughter",,,"Morgan1871",
"fMZeD","tanʼ-ka",,"female speaker's mother's sister's older daughter",,,"Morgan1871",
"meZ","tankʼ-she",,"male speaker's older sister",,,"Morgan1871",
"mFBeD","tankʼ-she",,"male speaker's father's brother's older daughter",,,"Morgan1871",
"mMZeD","tankʼ-she",,"male speaker's mother's sister's older daughter",,,"Morgan1871",
"fFZeS","she-chaʼ-she",,"female speaker's father's brother's older daughter",,,"Morgan1871",
"fFZyS","she-chaʼ-she",,"female speaker's father's sister's younger son",,,"Morgan1871",
"fMBeS","she-chaʼ-she",,"female speaker's mother's brother's older son",,,"Morgan1871",
"fMByS","she-chaʼ-she",,"female speaker's mother's brother's younger son",,,"Morgan1871",
"mFM","ohʼ-che",,"male speaker's father's mother",,,"Morgan1871",
"mMM","ohʼ-che",,"male speaker's mother's mother",,,"Morgan1871",
"fFM","ohʼ-che",,"female speaker's father's mother",,,"Morgan1871",
"fMM","ohʼ-che",,"female speaker's mother's mother",,,"Morgan1871",
"meZD","me-toʼ-zhä",,"male speaker's older sister's daughter",,,"Morgan1871",
