"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"mFF","toon-käʼ-she-nǎ",,"male speaker's father's father",,,"Morgan1871",
"fFF","toon-käʼ-she-nǎ",,"female speaker's father's father",,,"Morgan1871",
"mMF","toon-käʼ-she-nǎ",,"male speaker's mother's father",,,"Morgan1871",
"fMF","toon-käʼ-she-nǎ",,"female speaker's mother's father",,,"Morgan1871",
"meZ","ton-kaʼ",,"male speaker's older sister",,,"Morgan1871",
"mFBeD","ton-kaʼ",,"male speaker's father's brother's older daughter",,,"Morgan1871",
"mMZeD","ton-kaʼ",,"male speaker's mother's sister's older daughter",,,"Morgan1871",
"mFeZ","tohʼ-we",,"male speaker's father's older sister",,,"Morgan1871",
"mFyZ","tohʼ-we",,"male speaker's father's younger sister",,,"Morgan1871",
"fFeZ","tohʼ-we",,"female speaker's father's older sister",,,"Morgan1871",
"fFyZ","tohʼ-we",,"female speaker's father's younger sister",,,"Morgan1871",
"fHF","to-käʼ-she",,"female speaker's husband's father",,,"Morgan1871",
"mWF","to-käʼ-she",,"male speaker's wife's father",,,"Morgan1871",
"mFZeS","täʼ-she",,"male speaker's father's sister's older son",,,"Morgan1871",
"mFZyS","täʼ-she",,"male speaker's father's sister's younger son",,,"Morgan1871",
"mMBeS","täʼ-she",,"male speaker's mother's brother's older son",,,"Morgan1871",
"mMByS","täʼ-she",,"male speaker's mother's brother's younger son",,,"Morgan1871",
"fFZeS","she-chäʼ-she",,"female speaker's father's brother's older daughter",,,"Morgan1871",
"fFZyS","she-chäʼ-she",,"female speaker's father's sister's younger son",,,"Morgan1871",
"fMBeS","she-chäʼ-she",,"female speaker's mother's brother's older son",,,"Morgan1871",
"fMByS","she-chäʼ-she",,"female speaker's mother's brother's younger son",,,"Morgan1871",
"mFM","oˑcheʼ",,"male speaker's father's mother",,,"Morgan1871",
"mMM","oˑcheʼ",,"male speaker's mother's mother",,,"Morgan1871",
"fFM","oˑcheʼ",,"female speaker's father's mother",,,"Morgan1871",
"fMM","oˑcheʼ",,"female speaker's mother's mother",,,"Morgan1871",
"mWM","o-cheʼ-she",,"male speaker's wife's mother",,,"Morgan1871",
"fHM","o-cheʼ-she",,"female speaker's husband's mother",,,"Morgan1871",
"fMZyD","me-tun̤ʼ-she",,"female speaker's mother's sister's younger daughter",,,"Morgan1871",
"fyZ","me-tun̤ʼ-kä",,"female speaker's younger sister",,,"Morgan1871",
"fFByD","me-tun̤ʼ-kä",,"female speaker's father's brother's younger daughter",,,"Morgan1871",
"meZD","me-to-͡usʼ-zä",,"male speaker's older sister's daughter",,,"Morgan1871",
"myZD","me-to-͡usʼ-zä",,"male speaker's younger sister's daughter",,,"Morgan1871",
"feBS","me-to-͡usʼ-kä",,"female speaker's older brother's son",,,"Morgan1871",
"fyBS","me-to-͡usʼ-kä",,"female speaker's younger brother's son",,,"Morgan1871",
"meZS","me-to-͡usʼ-ka",,"male speaker's older sister's son",,,"Morgan1871",
"myZS","me-to-͡usʼ-ka",,"male speaker's younger sister's son",,,"Morgan1871",
"mW","me-täʼ-we-cho",,"male speaker's wife",,,"Morgan1871",
"mDH","me-täʼ-koash",,"male speaker's daughter's husband",,,"Morgan1871",
"fDH","me-täʼ-koash",,"female speaker's daughter's husband",,,"Morgan1871",
"mSW","me-täʼ-koash",,"male speaker's son's wife",,,"Morgan1871",
"fSW","me-täʼ-koash",,"female speaker's son's wife",,,"Morgan1871",
"mSS","me-täʼ-ko-zhä",,"male speaker's son's son",,,"Morgan1871",
"mDS","me-täʼ-ko-zhä",,"male speaker's daughter's son",,,"Morgan1871",
"fSS","me-täʼ-ko-zhä",,"female speaker's son's son",,,"Morgan1871",
"fDS","me-täʼ-ko-zhä",,"female speaker's daughter's son",,,"Morgan1871",
"mSD","me-täʼ-ko-zhä",,"male speaker's son's daughter",,,"Morgan1871",
"fSD","me-täʼ-ko-zhä",,"female speaker's son's daughter",,,"Morgan1871",
"mDD","me-täʼ-ko-zhä",,"male speaker's daughter's daughter",,,"Morgan1871",
"fDD","me-täʼ-ko-zhä",,"female speaker's daughter's daughter",,,"Morgan1871",
"myZ","me-tänkʼ-she",,"male speaker'S younger sister",,,"Morgan1871",
"mFByD","me-tänkʼ-she",,"male speaker's father's brother's younger daughter",,,"Morgan1871",
"mMZyD","me-tänkʼ-she",,"male speaker's mother's sister's younger daughter",,,"Morgan1871",
"myB","me-sohʼ-kä",,"male speaker's younger brother",,,"Morgan1871",
"fyB","me-sohʼ-kä",,"female speaker's younger brother",,,"Morgan1871",
"mFByS","me-sohʼ-kä",,"male speaker's father's brother's older son",,,"Morgan1871",
"fFByS","me-sohʼ-kä",,"female speaker's father's brother's younger son",,,"Morgan1871",
