"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"mW","we-nakeʼ-chä-me-täʼ-we-do",,"male speaker's wife",,,"Morgan1871",
"mFF","tun-kä-she-lǎ",,"male speaker's father's father",,,"Morgan1871",
"fFF","tun-kä-she-lǎ",,"female speaker's father's father",,,"Morgan1871",
"mMF","tun-kä-she-lǎ",,"male speaker's mother's father",,,"Morgan1871",
"fMF","tun-kä-she-lǎ",,"female speaker's mother's father",,,"Morgan1871",
"mFeZ","tonkʼ-wa",,"male speaker's father's older sister",,,"Morgan1871",
"mFyZ","tonkʼ-wa",,"male speaker's father's younger sister",,,"Morgan1871",
"fFeZ","tonkʼ-wa",,"female speaker's father's older sister",,,"Morgan1871",
"fFyZ","tonkʼ-wa",,"female speaker's father's younger sister",,,"Morgan1871",
"feB","tibʼ-e-do",,"female speaker's older brother",,,"Morgan1871",
"fMZeS","tibʼ-e-do",,"female speaker's mother's sister's older son",,,"Morgan1871",
"mFBeS","tibʼ-a-do",,"male speaker's father's brother's older son",,,"Morgan1871",
"fFBeS","tibʼ-a-do",,"female speaker's father's brother's older son",,,"Morgan1871",
"meZ","tankʼ-she",,"male speaker's older sister",,,"Morgan1871",
"mFBeD","tankʼ-she",,"male speaker's father's brother's older daughter",,,"Morgan1871",
"mMZeD","tankʼ-she",,"male speaker's mother's sister's older daughter",,,"Morgan1871",
"fFZyS","sheʼ-chäʼ-ze",,"female speaker's father's sister's younger son",,,"Morgan1871",
"fFZeS","sheʼ-chaʼ-ze",,"female speaker's father's brother's older daughter",,,"Morgan1871",
"fMBeS","she-chaʼ-ze",,"female speaker's mother's brother's older son",,,"Morgan1871",
"fMByS","she-chaʼ-ze",,"female speaker's mother's brother's younger son",,,"Morgan1871",
"fMByD","päʼ-zhe",,"female speaker's mother's brother's younger daughter",,,"Morgan1871",
"fFZeD","päʼ-zha",,"female speaker's father's sister's older daughter",,,"Morgan1871",
"fFZyD","päʼ-zha",,"female speaker's father's sister's younger daughter",,,"Morgan1871",
"fMBeD","päʼ-zha",,"female speaker's mother's brother's older daughter",,,"Morgan1871",
"mWM","o-cheʼ-she",,"male speaker's wife's mother",,,"Morgan1871",
"fHM","o-cheʼ-she",,"female speaker's husband's mother",,,"Morgan1871",
"mFM","o-cheʼ-lǎ",,"male speaker's father's mother",,,"Morgan1871",
"mMM","o-cheʼ-lǎ",,"male speaker's mother's mother",,,"Morgan1871",
"fFM","o-cheʼ-lǎ",,"female speaker's father's mother",,,"Morgan1871",
"fMM","o-cheʼ-lǎ",,"female speaker's mother's mother",,,"Morgan1871",
"meZD","me-toʼ-zhä",,"male speaker's older sister's daughter",,,"Morgan1871",
"myZD","me-toʼ-zhä",,"male speaker's younger sister's daughter",,,"Morgan1871",
"mWF","me-tonʼ-kä",,"male speaker's wife's father",,,"Morgan1871",
"meZS","me-toashʼ-kä",,"male speaker's older sister's son",,,"Morgan1871",
"myZS","me-toashʼ-kä",,"male speaker's younger sister's son",,,"Morgan1871",
"feBS","me-toashʼ-kä",,"female speaker's older brother's son",,,"Morgan1871",
"fyBS","me-toashʼ-kä",,"female speaker's younger brother's son",,,"Morgan1871",
"mDH","me-täʼ-koash",,"male speaker's daughter's husband",,,"Morgan1871",
"fDH","me-täʼ-koash",,"female speaker's daughter's husband",,,"Morgan1871",
"mSW","me-täʼ-koash",,"male speaker's son's wife",,,"Morgan1871",
"fSW","me-täʼ-koash",,"female speaker's son's wife",,,"Morgan1871",
"mSS","me-täʼ-ko-zhä",,"male speaker's son's son",,,"Morgan1871",
"mDS","me-täʼ-ko-zhä",,"male speaker's daughter's son",,,"Morgan1871",
"fSS","me-täʼ-ko-zhä",,"female speaker's son's son",,,"Morgan1871",
"fDS","me-täʼ-ko-zhä",,"female speaker's daughter's son",,,"Morgan1871",
"mSD","me-täʼ-ko-zhä",,"male speaker's son's daughter",,,"Morgan1871",
"fSD","me-täʼ-ko-zhä",,"female speaker's son's daughter",,,"Morgan1871",
"mDD","me-täʼ-ko-zhä",,"male speaker's daughter's daughter",,,"Morgan1871",
"fDD","me-täʼ-ko-zhä",,"female speaker's daughter's daughter",,,"Morgan1871",
"feZ","me-taukʼ-a-do",,"female speaker's older sister",,,"Morgan1871",
"fHF","me-tanʼ-kä",,"female speaker's husband's father",,,"Morgan1871",
"myZ","me-tänkʼ-she",,"male speaker'S younger sister",,,"Morgan1871",
"mMZyD","me-tänkʼ-she",,"male speaker's mother's sister's younger daughter",,,"Morgan1871",
"mFByD","me-tankʼ-she",,"male speaker's father's brother's younger daughter",,,"Morgan1871",
"fFByD","me-tänkʼ-a-do",,"female speaker's father's brother's younger daughter",,,"Morgan1871",
"fMZyD","me-tankʼ-ä-do",,"female speaker's mother's sister's younger daughter",,,"Morgan1871",
"fyZ","me-tankʼ-a-do",,"female speaker's younger sister",,,"Morgan1871",
"fMZeD","me-tankʼ-a-do",,"female speaker's mother's sister's older daughter",,,"Morgan1871",
"fFBeD","me-tank-a-do",,"female speaker's father's brother's older daughter",,,"Morgan1871",
"myB","me-sunkʼ-ä",,"male speaker's younger brother",,,"Morgan1871",
"fyB","me-sunkʼ-ä",,"female speaker's younger brother",,,"Morgan1871",
"mFByS","me-sunkʼ-ä",,"male speaker's father's brother's older son",,,"Morgan1871",
"fFByS","me-sunkʼ-ä",,"female speaker's father's brother's younger son",,,"Morgan1871",
"mMZyS","me-sunkʼ-ä",,"male speaker's mother's sister's younger son",,,"Morgan1871",
"fMZyS","me-sunkʼ-ä",,"female speaker's mother's sister's younger son",,,"Morgan1871",
"mS","me-sheʼ-da",,"male speaker's son",,,"Morgan1871",
"fS","me-sheʼ-da",,"female speaker's son",,,"Morgan1871",
"mD","me-chunkʼ-shä",,"male speaker's daughter",,,"Morgan1871",
"fD","me-chunkʼ-shä",,"female speaker's daughter",,,"Morgan1871",
"meBD","me-chinkʼ-she",,"male speaker's older brother's daughter",,,"Morgan1871",
"myBD","me-chinkʼ-she",,"male speaker's younger brother's daughter",,,"Morgan1871",
"feBD","me-chinkʼ-she",,"female speaker's older brother's daughter",,,"Morgan1871",
"fyBD","me-chinkʼ-she",,"female speaker's younger brother's daughter",,,"Morgan1871",
"feZD","me-chinkʼ-she",,"female speaker's older sister's daughter",,,"Morgan1871",
"fyZD","me-chinkʼ-she",,"female speaker's younger sister's daughter",,,"Morgan1871",
"mFZeS","käʼ-zha",,"male speaker's father's sister's older son",,,"Morgan1871",
"mMBeS","käʼ-zha",,"male speaker's mother's brother's older son",,,"Morgan1871",
"mMByS","käʼ-zha",,"male speaker's mother's brother's younger son",,,"Morgan1871",
"mFZyS","hä-käʼ",,"male speaker's father's sister's younger son",,,"Morgan1871",
"mM","eʼ-nah",,"male speaker's mother",,,"Morgan1871",
"fM","eʼ-nah",,"female speaker's mother",,,"Morgan1871",
"mMeZ","eʼ-nah",,"male speaker's mother's older sister",,,"Morgan1871",
"mMyZ","eʼ-nah",,"male speaker's mother's younger sister",,,"Morgan1871",
"fMeZ","eʼ-nah",,"female speaker's mother's older sister",,,"Morgan1871",
"fMyZ","eʼ-nah",,"female speaker's mother's younger sister",,,"Morgan1871",
"fH","e-chakʼ-sä-me-taʼ-we-do",,"female speaker's husband",,,"Morgan1871",
"meB","cheʼ-a",,"male speaker's older brother",,,"Morgan1871",
"mMZeS","cheʼ-a",,"male speaker's mother's sister's older son",,,"Morgan1871",
"meBS","ak-sheʼ-dä",,"male speaker's older brother's son",,,"Morgan1871",
"myBS","ak-sheʼ-dä",,"male speaker's younger brother's son",,,"Morgan1871",
"mF","ah-taʼ",,"male speaker's father",,,"Morgan1871",
"fF","ah-taʼ",,"female speaker's father",,,"Morgan1871",
"mFeB","ah-taʼ",,"male speaker's father's older brother",,,"Morgan1871",
"mFyB","ah-taʼ",,"male speaker's father's younger brother",,,"Morgan1871",
"fFeB","ah-taʼ",,"female speaker's father's older brother",,,"Morgan1871",
"fFyB","ah-taʼ",,"female speaker's father's younger brother",,,"Morgan1871",
"feZS","ah-sheʼ-dä",,"female speaker's older sister's son",,,"Morgan1871",
"fyZS","ah-sheʼ-dä",,"female speaker's younger sister's son",,,"Morgan1871",
"mFZeD","ah-käʼ-zha",,"male speaker's father's sister's older daughter",,,"Morgan1871",
"mFZyD","ah-käʼ-zha",,"male speaker's father's sister's younger daughter",,,"Morgan1871",
"mMBeD","ah-käʼ-zha",,"male speaker's mother's brother's older daughter",,,"Morgan1871",
"mMByD","ah-käʼ-zha",,"male speaker's mother's brother's younger daughter",,,"Morgan1871",
"mMeB","a-dikʼ-she",,"male speaker's mother's older brother",,,"Morgan1871",
"mMyB","a-dikʼ-she",,"male speaker's mother's younger brother",,,"Morgan1871",
"fMeB","a-dikʼ-she",,"female speaker's mother's older brother",,,"Morgan1871",
"fMyB","a-dikʼ-she",,"female speaker's mother's younger brother",,,"Morgan1871",
