parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
feB,a´-nee,,female speaker's older brother,,,Morgan1871,
fFBeS,a´-nee,,female speaker's father's brother's older son,,,Morgan1871,
fFZeS,a´-nee,,female speaker's father's sister's older son,,,Morgan1871,
fMBeS,a´-nee,,female speaker's mother's brother's older son,,,Morgan1871,
meB,a´-nee,,male speaker's older brother,,,Morgan1871,
mFZeS,a´-nee,,male speaker's father's sister's older son,,,Morgan1871,
mMBeS,a´-nee,,male speaker's mother's brother's older son,,,Morgan1871,
fMZeS,a´-nee,,female speaker's mother's sister's older son,,,Morgan1871,
mFBeS,a´-nee,,male speaker's father's brother's older son,,,Morgan1871,
mMZeS,a´-nee,,male speaker's mother's sister's older son,,,Morgan1871,
feZ,a´-nih,,female speaker's older sister,,,Morgan1871,
fFBeD,a´-nih,,female speaker's father's brother's older daughter,,,Morgan1871,
fFZeD,a´-nih,,female speaker's father's sister's older daughter,,,Morgan1871,
fMBeD,a´-nih,,female speaker's mother's brother's older daughter,,,Morgan1871,
fMZeD,a´-nih,,female speaker's mother's sister's older daughter,,,Morgan1871,
meZ,a´-nih,,male speker's older sister,,,Morgan1871,
mFBeD,a´-nih,,male speaker's father's brother's older daughter,,,Morgan1871,
mFZeD,a´-nih,,male speaker's father's sister's older daughter,,,Morgan1871,
mMBeD,a´-nih,,male speaker's mother's brother's older daughter,,,Morgan1871,
mMZeD,a´-nih,,male speaker's mother's sister's older daughter,,,Morgan1871,
fFByD,e-mo´-to,,female speaker's father's brother's younger daughter,,,Morgan1871,
fFZyD,e-mo´-to,,female speaker's father's sister's younger daughter,,,Morgan1871,
fMByD,e-mo´-to,,female speaker's mother's brother's younger daughter,,,Morgan1871,
fMByD,e-mo´-to,,female speaker's mother's brother's younger daughter,,,Morgan1871,
fMZyD,e-mo´-to,,female speaker's mother's sister's younger daughter,,,Morgan1871,
fyZ,e-mo´-to,,female speaker's younger sister,,,Morgan1871,
mFByD,e-mo´-to,,male speaker's father's brother's younger daughter,,,Morgan1871,
mFZyD,e-mo´-to,,male speaker's father's sister's younger daughter,,,Morgan1871,
mMByD,e-mo´-to,,male speaker's mother's brother's younger daughter,,,Morgan1871,
mMZyD,e-mo´-to,,male speaker's mother's sister's younger daughter,,,Morgan1871,
myZ,e-mo´-to,,male speaker's younger sister,,,Morgan1871,
fFZyS,e-to´-ko,,male speaker's father's sister's younger son,,,Morgan1871,
meZS,"e-to´-ko, o´-e",,male speaker's older sister's son,,,Morgan1871,
myZS,"e-to´-ko, o´-e",,male speaker's younger sister's son,,,Morgan1871,
feBS,"e-to´-ko, o´-é",,female speaker's older brother's son,,,Morgan1871,
feZS,"e-to´-ko, o´-é",,female speaker's older sister's son,,,Morgan1871,
fyBS,"e-to´-ko, o´-é",,female speaker's younger brother's son,,,Morgan1871,
fyZS,"e-to´-ko, o´-é",,female speaker's younger sister's son,,,Morgan1871,
meBS,e-to´-kom o-ee,,male speaker's older brother's son,,,Morgan1871,
myBS,e-to´-kom o-ee,,male speaker's younger brother's son,,,Morgan1871,
fDD,ma´-ee,,female speaker's daughter's daughter,,,Morgan1871,
fSD,ma´-ee,,female speaker's son's daughter,,,Morgan1871,
mDD,ma´-ee,,male speaker's daughter's daughter,,,Morgan1871,
mSD,ma´-ee,,male speaker's son's daughter,,,Morgan1871,
fDS,ma´-go,,female speaker's daughter's son,,,Morgan1871,
fSS,ma´-go,,female speaker's son's son,,,Morgan1871,
mDS,ma´-go,,male speaker's daughter's son,,,Morgan1871,
mSS,ma´-go,,male speaker's son's son,,,Morgan1871,
fDH,moo´-ko,,female speaker's daughter's husband,,,Morgan1871,
mDH,moo´-ko,,male speaker's daughter's husband,,,Morgan1871,
fD,moo´-soo-mǎ,,female speaker's daughter,,,Morgan1871,
mD,moo´-soo-mǎ,,male speaker's daughter,,,Morgan1871,
fS,moos´-ko,,female speaker's son,,,Morgan1871,
mS,moos´-ko,,male speaker's son,,,Morgan1871,
fFeB,"ne-bän-mǎ-no-o-asee, o-je",,female speaker's father's older brother,,,Morgan1871,
mFeB,"ne-bän-mǎ-no-o-asee, o-je",,male speaker's father's older brother,,,Morgan1871,
fMeB,nebän-mä-no-o-asee,,female speaker's mother's older brother,,,Morgan1871,
fMyB,nebän-mä-no-o-asee,,female speaker's mother's younger brother,,,Morgan1871,
mMeB,nebän-mä-no-o-asee,,male speaker's mother's older brother,,,Morgan1871,
mMyB,nebän-mä-no-o-asee,,male speaker's mother's younger brother,,,Morgan1871,
fFeZ,o-bä,,female speaker's father's older sister,,,Morgan1871,
fFyZ,o-bä,,female speaker's father's younger sister,,,Morgan1871,
fMeZ,o-bä,,female speaker's mother's older sister,,,Morgan1871,
fMyZ,o-bä,,female speaker's mother's younger sister,,,Morgan1871,
mFeZ,o-bä,,male speaker's father's older sister,,,Morgan1871,
mFyZ,o-bä,,male speaker's father's younger sister,,,Morgan1871,
mMeZ,o-bä,,male speaker's mother's older sister,,,Morgan1871,
mMyZ,o-bä,,male speaker's mother's younger sister,,,Morgan1871,
fFM,o-bä'-sän,,female speaker's father's mother,,,Morgan1871,
fMM,o-bä'-sän,,female speaker's mother's mother,,,Morgan1871,
mFM,o-bä'-sän,,male speaker's father's mother,,,Morgan1871,
mMM,o-bä'-sän,,male speaker's mother's mother,,,Morgan1871,
fFF,o-je'-sang,,female speaker's father's father,,,Morgan1871,
fMF,o-je'-sang,,female speaker's mother's father,,,Morgan1871,
mFF,o-je'-sang,,male speaker's father's father,,,Morgan1871,
mMF,o-je'-sang,,male speaker's mother's father,,,Morgan1871,
fM,"o-ka-tsan, hä-hä",,female speaker's mother,,,Morgan1871,
mM,"o-ka-tsan, hä-hä",,male speaker's mother,,,Morgan1871,
fHM,o-ka´-sǎn,,female speaker's husband's mother,,,Morgan1871,
mWM,o-kä´-sǎn,,male speaker's wife's mother,,,Morgan1871,
feZD,o-mä´-e-to´-ko,,female speaker's older sister's daughter,,,Morgan1871,
fyZD,o-mä´-e-to´-ko,,female speaker's younger sister's daughter,,,Morgan1871,
meBD,"o-nä´-e-to-ko, mǎ-o-e",,male speaker's older brother's daughter,,,Morgan1871,
myBD,"o-nä´-e-to-ko, mǎ-o-e",,male speaker's younger brother's daughter,,,Morgan1871,
meZD,"o-nä´-e-to´-ko, mǎ-o-e",,male speaker's older sister's daughter,,,Morgan1871,
myZD,"o-nä´-e-to´-ko, mǎ-o-e",,male speaker's younger sister's daughter,,,Morgan1871,
feBD,"o-nä´-e-to´-ko, mǎ-ó-é",,female speaker's older brother's daughter,,,Morgan1871,
fyBD,"o-nä´-e-to´-ko, mǎ-ó-é",,female speaker's younger brother's daughter,,,Morgan1871,
fF,"o-to'tsang, tsee-tsee",,female speaker's father,,,Morgan1871,
mF,"o-to'tsang, tsee-tsee",,male speaker's father,,,Morgan1871,
fFByS,o-to´-to,,female speaker's father's brother's younger son,,,Morgan1871,
fMByS,o-to´-to,,female speaker's mother's brother's younger son,,,Morgan1871,
fMZyS,o-to´-to,,female speaker's mother's sister's younger son,,,Morgan1871,
fyB,o-to´-to,,female speaker's younger brother,,,Morgan1871,
mFByS,o-to´-to,,male speaker's father's brother's younger son,,,Morgan1871,
mFZyS,o-to´-to,,male speaker's father's sister's younger son,,,Morgan1871,
mMByS,o-to´-to,,male speaker's mother's brother's younger son,,,Morgan1871,
mMZyS,o-to´-to,,male speaker's mother's sister's younger son,,,Morgan1871,
myB,o-to´-to,,male speaker's younger brother,,,Morgan1871,
fHF,o-tote´-sä,,female speaker's husband's father,,,Morgan1871,
mWF,o-tote´-sä,,male speaker's wife's father,,,Morgan1871,
fH,ote´-to,,female speaker's husband,,,Morgan1871,
mW,si,,male speaker's wife,,,Morgan1871,
fFyB,so-ree-o-no-o-asee,,female speaker's father's younger brother,,,Morgan1871,
mFyB,so-ree-o-no-o-asee,,male speaker's father's younger brother,,,Morgan1871,
fSW,yo´-ma,,female speaker's son's wife,,,Morgan1871,
mSW,yo´-ma,,male speaker's son's wife,,,Morgan1871,
