"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"fH","u-vi-gaʼ",,"female speaker's husband",,,"Morgan1871",
"mSW","u-ku-äʼ-rä",,"male speaker's son's wife",,,"Morgan1871",
"fSW","u-ku-äʼ-rä",,"female speaker's son's wife",,,"Morgan1871",
"meZS","u-jo-ru-ga",,"male speaker's older sister's son",,,"Morgan1871",
"myZS","u-jo-ru-ga",,"male speaker's younger sister's son",,,"Morgan1871",
"meZD","u-jo-ru-ga",,"male speaker's older sister's daughter",,,"Morgan1871",
"myZD","u-jo-ru-ga",,"male speaker's younger sister's daughter",,,"Morgan1871",
"fHF","sa-ki-ga",,"female speaker's husband's father",,,"Morgan1871",
"mWF","sa-ki-ga",,"male speaker's wife's father",,,"Morgan1871",
"mWM","sa-ki-ga",,"male speaker's wife's mother",,,"Morgan1871",
"fHM","sa-ki-ga",,"female speaker's husband's mother",,,"Morgan1871",
"mD","pan-ni-ga",,"male speaker's daughter",,,"Morgan1871",
"fD","pan-ni-ga",,"female speaker's daughter",,,"Morgan1871",
"mW","nu-li-a-ra",,"male speaker's wife",,,"Morgan1871",
"myB","nu-ka-ra",,"male speaker's younger brother",,,"Morgan1871",
"feZS","nu-a-ra-lu-a-ra",,"female speaker's older sister's son",,,"Morgan1871",
"fyZS","nu-a-ra-lu-a-ra",,"female speaker's younger sister's son",,,"Morgan1871",
"feZD","nu-a-ra-lu-a-ra",,"female speaker's older sister's daughter",,,"Morgan1871",
"fyZD","nu-a-ra-lu-a-ra",,"female speaker's younger sister's daughter",,,"Morgan1871",
"mDH","ning-a-u-ga",,"male speaker's daughter's husband",,,"Morgan1871",
"fDH","ning-a-u-ga",,"female speaker's daughter's husband",,,"Morgan1871",
"fyZ","na-ka-ra",,"female speaker's younger sister",,,"Morgan1871",
"myZ","na-juʼ-ga",,"male speaker'S younger sister",,,"Morgan1871",
"meBS","kan-giʼ-a-ra",,"male speaker's older brother's son",,,"Morgan1871",
"myBS","kan-giʼ-a-ra",,"male speaker's younger brother's son",,,"Morgan1871",
"meBD","kan-giʼ-a-ra",,"male speaker's older brother's daughter",,,"Morgan1871",
"myBD","kan-giʼ-a-ra",,"male speaker's younger brother's daughter",,,"Morgan1871",
"feBD","kan-giʼ-a-ra",,"female speaker's older brother's daughter",,,"Morgan1871",
"fyBD","kan-giʼ-a-ra",,"female speaker's younger brother's daughter",,,"Morgan1871",
"mFZeD","il-dlo-ra",,"male speaker's father's sister's older daughter",,,"Morgan1871",
"mFBeS","ig-dlo-ra",,"male speaker's father's brother's older son",,,"Morgan1871",
"fFBeS","ig-dlo-ra",,"female speaker's father's brother's older son",,,"Morgan1871",
"mFByS","ig-dlo-ra",,"male speaker's father's brother's older son",,,"Morgan1871",
"fFByS","ig-dlo-ra",,"female speaker's father's brother's younger son",,,"Morgan1871",
"mFZeS","ig-dlo-ra",,"male speaker's father's sister's older son",,,"Morgan1871",
"fFZeS","ig-dlo-ra",,"female speaker's father's brother's older daughter",,,"Morgan1871",
"fFZeD","ig-dlo-ra",,"female speaker's father's sister's older daughter",,,"Morgan1871",
"mMBeS","ig-dlo-ra",,"male speaker's mother's brother's older son",,,"Morgan1871",
"fMBeS","ig-dlo-ra",,"female speaker's mother's brother's older son",,,"Morgan1871",
"mMByS","ig-dlo-ra",,"male speaker's mother's brother's younger son",,,"Morgan1871",
"fMByS","ig-dlo-ra",,"female speaker's mother's brother's younger son",,,"Morgan1871",
"mMBeD","ig-dlo-ra",,"male speaker's mother's brother's older daughter",,,"Morgan1871",
"fMBeD","ig-dlo-ra",,"female speaker's mother's brother's older daughter",,,"Morgan1871",
"mMByD","ig-dlo-ra",,"male speaker's mother's brother's younger daughter",,,"Morgan1871",
"fMByD","ig-dlo-ra",,"female speaker's mother's brother's younger daughter",,,"Morgan1871",
"mMZeS","ig-dlo-ra",,"male speaker's mother's sister's older son",,,"Morgan1871",
"fMZeS","ig-dlo-ra",,"female speaker's mother's sister's older son",,,"Morgan1871",
"mMZyS","ig-dlo-ra",,"male speaker's mother's sister's younger son",,,"Morgan1871",
"fMZyS","ig-dlo-ra",,"female speaker's mother's sister's younger son",,,"Morgan1871",
"mMZeD","ig-dlo-ra",,"male speaker's mother's sister's older daughter",,,"Morgan1871",
"fMZeD","ig-dlo-ra",,"female speaker's mother's sister's older daughter",,,"Morgan1871",
"mMZyD","ig-dlo-ra",,"male speaker's mother's sister's younger daughter",,,"Morgan1871",
"fMZyD","ig-dlo-ra",,"female speaker's mother's sister's younger daughter",,,"Morgan1871",
"mSS","er-nu-ta-ta",,"male speaker's son's son",,,"Morgan1871",
"mDS","er-nu-ta-ta",,"male speaker's daughter's son",,,"Morgan1871",
"fSS","er-nu-ta-ta",,"female speaker's son's son",,,"Morgan1871",
"fDS","er-nu-ta-ta",,"female speaker's daughter's son",,,"Morgan1871",
"mSD","er-nu-ta-ra",,"male speaker's son's daughter",,,"Morgan1871",
"fSD","er-nu-ta-ra",,"female speaker's son's daughter",,,"Morgan1871",
"mDD","er-nu-ta-ra",,"male speaker's daughter's daughter",,,"Morgan1871",
"fDD","er-nu-ta-ra",,"female speaker's daughter's daughter",,,"Morgan1871",
"mS","er-ne-ra",,"male speaker's son",,,"Morgan1871",
"fS","er-ne-ra",,"female speaker's son",,,"Morgan1871",
"mFeB","aʼ-ka-ga",,"male speaker's father's older brother",,,"Morgan1871",
"mFyB","aʼ-ka-ga",,"male speaker's father's younger brother",,,"Morgan1871",
"fFeB","aʼ-ka-ga",,"female speaker's father's older brother",,,"Morgan1871",
"fFyB","aʼ-ka-ga",,"female speaker's father's younger brother",,,"Morgan1871",
"mFeZ","at-sa-ga",,"male speaker's father's older sister",,,"Morgan1871",
"mFyZ","at-sa-ga",,"male speaker's father's younger sister",,,"Morgan1871",
"fFeZ","at-sa-ga",,"female speaker's father's older sister",,,"Morgan1871",
"fFyZ","at-sa-ga",,"female speaker's father's younger sister",,,"Morgan1871",
"fyB","ar-ka-lu-a-ra",,"female speaker's younger brother",,,"Morgan1871",
"feBS","angʼ-a-ga",,"female speaker's older brother's son",,,"Morgan1871",
"fyBS","angʼ-a-ga",,"female speaker's younger brother's son",,,"Morgan1871",
"mMeB","ang-a-ga",,"male speaker's mother's older brother",,,"Morgan1871",
"mMyB","ang-a-ga",,"male speaker's mother's younger brother",,,"Morgan1871",
"fMeB","ang-a-ga",,"female speaker's mother's older brother",,,"Morgan1871",
"fMyB","ang-a-ga",,"female speaker's mother's younger brother",,,"Morgan1871",
"feB","an-i-ga",,"female speaker's older brother",,,"Morgan1871",
"feZ","an-ga-juʼ-ga",,"female speaker's older sister",,,"Morgan1871",
"meB","an-ga-ju-ga",,"male speaker's older brother",,,"Morgan1871",
"mM","an-â-na-ga, ar-na-ra",,"male speaker's mother",,,"Morgan1871",
"fM","an-â-na-ga, ar-na-ra",,"female speaker's mother",,,"Morgan1871",
"mF","a-tâ-ta-ga, aug-u-ti-ga",,"male speaker's father",,,"Morgan1871",
"fF","a-tâ-ta-ga, aug-u-ti-ga",,"female speaker's father",,,"Morgan1871",
"mFF","a-ta-ga",,"male speaker's father's father",,,"Morgan1871",
"fFF","a-ta-ga",,"female speaker's father's father",,,"Morgan1871",
"mMF","a-ta-ga",,"male speaker's mother's father",,,"Morgan1871",
"fMF","a-ta-ga",,"female speaker's mother's father",,,"Morgan1871",
"mFM","a-na-ga",,"male speaker's father's mother",,,"Morgan1871",
"mMM","a-na-ga",,"male speaker's mother's mother",,,"Morgan1871",
"fFM","a-na-ga",,"female speaker's father's mother",,,"Morgan1871",
"fMM","a-na-ga",,"female speaker's mother's mother",,,"Morgan1871",
"meZ","a-le-ka-ra",,"male speaker's older sister",,,"Morgan1871",
"mMeZ","a-jaʼ-ga",,"male speaker's mother's older sister",,,"Morgan1871",
"mMyZ","a-jaʼ-ga",,"male speaker's mother's younger sister",,,"Morgan1871",
"fMeZ","a-jaʼ-ga",,"female speaker's mother's older sister",,,"Morgan1871",
"fMyZ","a-jaʼ-ga",,"female speaker's mother's younger sister",,,"Morgan1871",
