parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
meBS,tu-zenʼ-ah,,male speaker's older brother's son,,,Morgan1871,
myBS,tu-zenʼ-ah,,male speaker's younger brother's son,,,Morgan1871,
mMeB,thä-thaʼ,,male speaker's mother's older brother,,,Morgan1871,
mMyB,thä-thaʼ,,male speaker's mother's younger brother,,,Morgan1871,
fMeB,thä-thaʼ,,female speaker's mother's older brother,,,Morgan1871,
fMyB,thä-thaʼ,,female speaker's mother's younger brother,,,Morgan1871,
mS,su-chuʼ-ah,,male speaker's son,,,Morgan1871,
meZS,säʼ-zy,,male speaker's older sister's son,,,Morgan1871,
myZS,säʼ-zy,,male speaker's younger sister's son,,,Morgan1871,
meZD,säʼ-zy,,male speaker's older sister's daughter,,,Morgan1871,
myZD,säʼ-zy,,male speaker's younger sister's daughter,,,Morgan1871,
meZ,säʼ-dä,,male speaker's older sister,,,Morgan1871,
feZ,säʼ-dä,,female speaker's older sister,,,Morgan1871,
mFBeD,säʼ-dä,,male speaker's father's brother's older daughter,,,Morgan1871,
mFZeD,säʼ-dä,,male speaker's father's sister's older daughter,,,Morgan1871,
fFZeD,säʼ-dä,,female speaker's father's sister's older daughter,,,Morgan1871,
mMBeD,säʼ-dä,,male speaker's mother's brother's older daughter,,,Morgan1871,
fMBeD,säʼ-dä,,female speaker's mother's brother's older daughter,,,Morgan1871,
mMZeD,säʼ-dä,,male speaker's mother's sister's older daughter,,,Morgan1871,
fMZeD,säʼ-dä,,female speaker's mother's sister's older daughter,,,Morgan1871,
fFBeD,säʼ-da,,female speaker's father's brother's older daughter,,,Morgan1871,
mMeZ,sanʼ-ga,,male speaker's mother's older sister,,,Morgan1871,
mMyZ,sanʼ-ga,,male speaker's mother's younger sister,,,Morgan1871,
fMeZ,sanʼ-ga,,female speaker's mother's older sister,,,Morgan1871,
fMyZ,sanʼ-ga,,female speaker's mother's younger sister,,,Morgan1871,
feBS,sa-yǎʼ-ze,,female speaker's older brother's son,,,Morgan1871,
fyBS,sa-yǎʼ-ze,,female speaker's younger brother's son,,,Morgan1871,
feZS,sa-yǎʼ-ze,,female speaker's older sister's son,,,Morgan1871,
fyZS,sa-yǎʼ-ze,,female speaker's younger sister's son,,,Morgan1871,
fD,sa-yäʼ-dze,,female speaker's daughter,,,Morgan1871,
meBD,sa-yǎʼ-dze,,male speaker's older brother's daughter,,,Morgan1871,
myBD,sa-yǎʼ-dze,,male speaker's younger brother's daughter,,,Morgan1871,
feBD,sa-yǎʼ-dze,,female speaker's older brother's daughter,,,Morgan1871,
fyBD,sa-yǎʼ-dze,,female speaker's younger brother's daughter,,,Morgan1871,
feZD,sa-yǎʼ-dze,,female speaker's older sister's daughter,,,Morgan1871,
fyZD,sa-yǎʼ-dze,,female speaker's younger sister's daughter,,,Morgan1871,
fS,sa-yǎ-ze,,female speaker's son,,,Morgan1871,
mD,sa-tuʼ-ah,,male speaker's daughter,,,Morgan1871,
mWM,sa-tsuuʼ,,male speaker's wife's mother,,,Morgan1871,
mFM,sa-tsunʼ,,male speaker's father's mother,,,Morgan1871,
mMM,sa-tsunʼ,,male speaker's mother's mother,,,Morgan1871,
fFM,sa-tsunʼ,,female speaker's father's mother,,,Morgan1871,
fMM,sa-tsunʼ,,female speaker's mother's mother,,,Morgan1871,
fHM,sa-tsunʼ,,female speaker's husband's mother,,,Morgan1871,
mFF,sa-tseʼ-a,,male speaker's father's father,,,Morgan1871,
fFF,sa-tseʼ-a,,female speaker's father's father,,,Morgan1871,
mMF,sa-tseʼ-a,,male speaker's mother's father,,,Morgan1871,
fMF,sa-tseʼ-a,,female speaker's mother's father,,,Morgan1871,
fHF,sa-tseʼ-a,,female speaker's husband's father,,,Morgan1871,
mWF,sa-tseʼ-a,,male speaker's wife's father,,,Morgan1871,
mW,sa-tsaʼ-ka,,male speaker's wife,,,Morgan1871,
fH,sa-tenʼ-ne,,female speaker's husband,,,Morgan1871,
mF,sa-täʼ,,male speaker's father,,,Morgan1871,
fF,sa-täʼ,,female speaker's father,,,Morgan1871,
mSD,sa-t'-thuʼ-a,,male speaker's son's daughter,,,Morgan1871,
mDD,sa-t'-thuʼ-a,,male speaker's daughter's daughter,,,Morgan1871,
mSS,sa-t'-huʼ-a,,male speaker's son's son,,,Morgan1871,
mDS,sa-t'-huʼ-a,,male speaker's daughter's son,,,Morgan1871,
mDH,sa-gaʼ-ton,,male speaker's daughter's husband,,,Morgan1871,
fDH,sa-chǐʼ-a,,female speaker's daughter's husband,,,Morgan1871,
fSS,sa-chäʼ-a,,female speaker's son's son,,,Morgan1871,
fDS,sa-chäʼ-a,,female speaker's daughter's son,,,Morgan1871,
fSW,sa-chäʼ,,female speaker's son's wife,,,Morgan1871,
fSD,sa-chä,,female speaker's son's daughter,,,Morgan1871,
fDD,sa-chä,,female speaker's daughter's daughter,,,Morgan1871,
mSW,nain-humʼ,,male speaker's son's wife,,,Morgan1871,
mM,nain-gukʼ,,male speaker's mother,,,Morgan1871,
fM,nain-gukʼ,,female speaker's mother,,,Morgan1871,
meB,kǔnʼ-dig-eh,,male speaker's older brother,,,Morgan1871,
feB,kǔnʼ-dig-eh,,female speaker's older brother,,,Morgan1871,
mFBeS,kǔnʼ-dig-eh,,male speaker's father's brother's older son,,,Morgan1871,
fFBeS,kǔnʼ-dig-eh,,female speaker's father's brother's older son,,,Morgan1871,
mFZeS,kǔnʼ-dig-eh,,male speaker's father's sister's older son,,,Morgan1871,
fFZeS,kǔnʼ-dig-eh,,female speaker's father's brother's older daughter,,,Morgan1871,
mMBeS,kǔnʼ-dig-eh,,male speaker's mother's brother's older son,,,Morgan1871,
fMBeS,kǔnʼ-dig-eh,,female speaker's mother's brother's older son,,,Morgan1871,
mMZeS,kǔnʼ-dig-eh,,male speaker's mother's sister's older son,,,Morgan1871,
fMZeS,kǔnʼ-dig-eh,,female speaker's mother's sister's older son,,,Morgan1871,
