"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"mF","teh-yǎn",,"male speaker's father",,,"Morgan1871",
"fF","teh-yǎn",,"female speaker's father",,,"Morgan1871",
"fH","su-ku-i, se-te-koon-du-i",,"female speaker's husband",,,"Morgan1871",
"fFZeS","soon-dä",,"female speaker's father's brother's older daughter",,,"Morgan1871",
"meB","soon-da",,"male speaker's older brother",,,"Morgan1871",
"feB","soon-da",,"female speaker's older brother",,,"Morgan1871",
"mFBeS","soon-da",,"male speaker's father's brother's older son",,,"Morgan1871",
"fFBeS","soon-da",,"female speaker's father's brother's older son",,,"Morgan1871",
"mMBeS","soon-da",,"male speaker's mother's brother's older son",,,"Morgan1871",
"fMBeS","soon-da",,"female speaker's mother's brother's older son",,,"Morgan1871",
"mMZeS","soon-da",,"male speaker's mother's sister's older son",,,"Morgan1871",
"fMZeS","soon-da",,"female speaker's mother's sister's older son",,,"Morgan1871",
"mWM","soo-tre",,"male speaker's wife's mother",,,"Morgan1871",
"fHM","so-tre",,"female speaker's husband's mother",,,"Morgan1871",
"mMeB","so-heʼ",,"male speaker's mother's older brother",,,"Morgan1871",
"mMyB","so-heʼ",,"male speaker's mother's younger brother",,,"Morgan1871",
"fMeB","so-heʼ",,"female speaker's mother's older brother",,,"Morgan1871",
"fMyB","so-heʼ",,"female speaker's mother's younger brother",,,"Morgan1871",
"meZS","si-ou",,"male speaker's older sister's son",,,"Morgan1871",
"myZS","si-ou",,"male speaker's younger sister's son",,,"Morgan1871",
"meZD","si-ou",,"male speaker's older sister's daughter",,,"Morgan1871",
"myZD","si-ou",,"male speaker's younger sister's daughter",,,"Morgan1871",
"feZS","si-ou",,"female speaker's older sister's son",,,"Morgan1871",
"fyZS","si-ou",,"female speaker's younger sister's son",,,"Morgan1871",
"fHF","set-ye",,"female speaker's husband's father",,,"Morgan1871",
"mWF","set-ye",,"male speaker's wife's father",,,"Morgan1871",
"mFM","set-soon",,"male speaker's father's mother",,,"Morgan1871",
"mMM","set-soon",,"male speaker's mother's mother",,,"Morgan1871",
"fMM","set-soon",,"female speaker's mother's mother",,,"Morgan1871",
