"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"meB","ánè",,"male ego's older brother",,,"Siegel-2016",""
"myB","nèngèn",,"male ego's younger brother",,,"Siegel-2016",""
"feB","ánè",,"female ego's older brother",,,"Siegel-2016",""
"fyB","nèngèn",,"female ego's younger brother",,,"Siegel-2016",""
"meZ","ánè",,"male ego's older sister",,,"Siegel-2016",""
"myZ","nèngèn",,"male ego's younger sister",,,"Siegel-2016",""
"feZ","ánè",,"female ego's older sister",,,"Siegel-2016",""
"fyZ","nèngèn",,"female ego's younger sister",,,"Siegel-2016",""
"mF","afè",,"male ego's father",,,"Siegel-2016",""
"mM","amè",,"male ego's mother",,,"Siegel-2016",""
"fF","afè",,"female ego's father",,,"Siegel-2016",""
"fM","amè",,"female ego's mother",,,"Siegel-2016",""
"mS","ambum",,"male ego's son",,,"Siegel-2016",""
"fS","ambum",,"female ego's son",,,"Siegel-2016",""
"mD","ambum",,"male ego's daughter",,,"Siegel-2016",""
"fD","ambum",,"female ego's daughter",,,"Siegel-2016",""
"mSS","áki (ambum)",,"male ego's son's son",,,"Siegel-2016",""
"mSD","áki (ambum)",,"male ego's son's daughter",,,"Siegel-2016",""
"mDS","áki (ambum)",,"male ego's daughter's son",,,"Siegel-2016",""
"mDD","áki (ambum)",,"male ego's daughter's daughter",,,"Siegel-2016",""
"fSS","áki (ambum)",,"female ego's son's son",,,"Siegel-2016",""
"fSD","áki (ambum)",,"female ego's son's daughter",,,"Siegel-2016",""
"fDS","áki (ambum)",,"female ego's daughter's son",,,"Siegel-2016",""
"fDD","áki (ambum)",,"female ego's daugher's daughter",,,"Siegel-2016",""
"mFF","áki",,"male ego's father‘s father",,,"Siegel-2016",""
"mFM","alè",,"male ego's father's mother",,,"Siegel-2016",""
"mMF","áki",,"male ego's mother's father",,,"Siegel-2016",""
"mMM","alè",,"male ego's mother's mother",,,"Siegel-2016",""
"fFF","áki",,"female ego's father's father",,,"Siegel-2016",""
"fFM","alè",,"female ego's father's mother",,,"Siegel-2016",""
"fMF","áki",,"female ego's mother's father",,,"Siegel-2016",""
"fMM","alè",,"female ego's mother's mother",,,"Siegel-2016",""
"meBS","ambum",,"male ego's older brother's son",,,"Siegel-2016","if in exchange , can call children of exchange brother or sister yámwitè (as they call each other mwitèr)"
"myBS","taghar",,"male ego's younger brother's son",,,"Siegel-2016",""
"meZS","bafè",,"male ego's older sister's son",,,"Siegel-2016",""
"myZS","bafè",,"male ego's younger sister's son",,,"Siegel-2016",""
"meBD","ambum",,"male ego's older brother's daughter",,,"Siegel-2016",""
"myBD","taghar",,"male ego's younger brother's daughter",,,"Siegel-2016",""
