parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mG,alah,,,,DY1(7),wall_navajoenglish_1958,
meB,shinaai,,,,DY1(56),wall_navajoenglish_1958,
meB,ánaai,,,,DY1(9),wall_navajoenglish_1958,
myB,sitsili,,,,DY1(57),wall_navajoenglish_1958,
meZ,ádi,,,,DY1(3),wall_navajoenglish_1958,
mP,ashchiinii,,,,DY1(11),wall_navajoenglish_1958,PLURAL
mF,shizhb'k,,,,DY1(56),wall_navajoenglish_1958,
mM,shimá,,,,DY1(9),wall_navajoenglish_1958,
mS,shiye',,,,DY1(56),wall_navajoenglish_1958,
mFF,shináli,,,,DY1(9),wall_navajoenglish_1958,
mFM,shináli,,,,DY1(9),wall_navajoenglish_1958,
mFF,análi,,,,DY1(9),wall_navajoenglish_1958,
mFM,análi,,,,DY1(9),wall_navajoenglish_1958,
mMF,achaii,,,,DY1(9),wall_navajoenglish_1958,
mMF,acheii,,,,DY1(1),wall_navajoenglish_1958,
mMM,shimá sini,,,,DY1(9),wall_navajoenglish_1958,
mCC,bitsóóke,,,,DY1(22),wall_navajoenglish_1958,his/her grandchildren
mFB,abízhí,,,,DY1(1),wall_navajoenglish_1958,
mFB,shizhé'é,,,,DY1(56),wall_navajoenglish_1958,
mFZ,abízhí,,,,DY1(1),wall_navajoenglish_1958,
mMB,adá'i,,,,DY1(2),wall_navajoenglish_1958,
mMZ,amá yázhi,,,,DY1(9),wall_navajoenglish_1958,
mMZ,amá,,,,DY1(9),wall_navajoenglish_1958,
mBS,shiye',,,,DY1(56),wall_navajoenglish_1958,
mBS,biye',,,,DY1(22),wall_navajoenglish_1958,
mBD,bitsi',,,,DY1(22),wall_navajoenglish_1958,
mZS,ada',,,,DY1(1),wall_navajoenglish_1958,
mZD,amá yázhi,,,,"DY1(1,9)",wall_navajoenglish_1958,"(1) - term ws, (9) - term ms"
mFZD,naa'assh,,,,DY1(41),wall_navajoenglish_1958,
mFBD,naa'assh,,,,DY1(41),wall_navajoenglish_1958,
mMBD,naa'assh,,,,DY1(41),wall_navajoenglish_1958,
mMZD,naa'assh,,,,DY1(41),wall_navajoenglish_1958,
mFBS,naa'assh,,,,DY1(41),wall_navajoenglish_1958,
mFZS,naa'assh,,,,DY1(41),wall_navajoenglish_1958,
mMBS,naa'assh,,,,DY1(41),wall_navajoenglish_1958,
mMZS,naa'assh,,,,DY1(41),wall_navajoenglish_1958,
mFeBS,naa'assh,,,,DY1(41),wall_navajoenglish_1958,
mFyBS,naa'assh,,,,DY1(41),wall_navajoenglish_1958,
mFeZS,naa'assh,,,,DY1(41),wall_navajoenglish_1958,
mFyZS,naa'assh,,,,DY1(41),wall_navajoenglish_1958,
mFeBD,naa'assh,,,,DY1(41),wall_navajoenglish_1958,
mFyBD,naa'assh,,,,DY1(41),wall_navajoenglish_1958,
