parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mG,,,male speaker's sibling,,,,
mB,,,male speaker's brother,,,,
mZ,nayak,,male speaker's sister,,p15,Damas_1975,
meB,angayuk,,male speaker's elder brother,,p15,Damas_1975,
myB,nukaq,,male speaker's younger brother,,p15,Damas_1975,
meZ,nayak,,male speaker's elder sister,,p15,Damas_1975,
myZ,nayak,,male speaker's younger sister,,p15,Damas_1975,
mP,,,male speaker's parent,,,,
mF,apak,,male speaker's father,ataata,p15,Damas_1975,
mM,amaama,,male speaker's mother,anaana,p15,Damas_1975,
mC,,,male speaker's child,,,,
mS,irniq,,male speaker's son,,p15,Damas_1975,
mD,panik,,male speaker's daughter,,p15,Damas_1975,
mA,,,male speaker's ancestor,,,,
mPP,,,male speaker's grandparent,,,,
mFF,ittuq,,male speaker's father's father,,p15,Damas_1975,
mFM,ningiuq,,male speaker's father's mother,,p15,Damas_1975,
mMF,ittuq,,male speaker's mother's father,,p15,Damas_1975,
mMM,ningiuq,,male speaker's mother's mother,,p15,Damas_1975,
mCC,inngutaq,,male speaker's grandchild,,p15,Damas_1975,
mSS,inngutaq,,male speaker's son's son,,p15,Damas_1975,
mSD,inngutaq,,male speaker's son's daughter,,p15,Damas_1975,
mDS,inngutaq,,male speaker's daughter's son,,p15,Damas_1975,
mDD,inngutaq,,male speaker's daughter's daughter,,p15,Damas_1975,
mFB,akka,,male speaker's father's brother,,p15,Damas_1975,
mFZ,attak,,male speaker's father's sister,,p15,Damas_1975,
mMB,angak,,male speaker's mother's brother,,p15,Damas_1975,
mMZ,arnarvik,,male speaker's mother's sister,,p15,Damas_1975,
mFeB,akka,,male speaker's father's older brother,,p15,Damas_1975,
mFyB,akka,,male speaker's father's younger brother,,p15,Damas_1975,
mFeZ,angayuk,,male speaker's father's older sister,,p15,Damas_1975,
mFyZ,attak,,male speaker's father's younger sister,,p15,Damas_1975,
mMeZ,arnarvik,,male speaker's mother's older sister,,p15,Damas_1975,
mMyZ,arnarvik,,male speaker's mother's younger sister,,p15,Damas_1975,
mMeB,angak,,male speaker's mother's older brother,,p15,Damas_1975,
mMyB,angak,,male speaker's mother's younger brother,,p15,Damas_1975,
mBS,qangiaq,,male speaker's brother's son,,p15,Damas_1975,
mBD,qangiaq,,male speaker's brother's daughter,,p15,Damas_1975,
mZS,uguruk,,male speaker's sister's son,,p15,Damas_1975,
mZD,uguruk,,male speaker's sister's daughter,,p15,Damas_1975,
