"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"mG","",,"male speaker's sibling",,,"",
"mB","anobne",,"male speaker's brother",,280,"Nadel_1947",
"mZ","anobne",,"male speaker's sister",,280,"Nadel_1947",
"meB","",,"male speaker's elder brother",,,"",
"myB","",,"male speaker's younger brother",,,"",
"meZ","",,"male speaker's elder sister",,,"",
"myZ","",,"male speaker's younger sister",,,"",
"mP","",,"male speaker's parent",,,"",
"mF","bapa",,"male speaker's father",,279,"Nadel_1947",
"mF","agediba",,"male speaker's father",,279,"Nadel_1947",
"mM","abene",,"male speaker's mother",,279,"Nadel_1947",
"mC","",,"male speaker's child",,,"",
"mS","nate",,"male speaker's son",,279,"Nadel_1947",
"mS","umasse",,"male speaker's son",,279,"Nadel_1947",
"mD","nate",,"male speaker's daughter",,279,"Nadel_1947",
"mD","umasse",,"male speaker's daughter",,279,"Nadel_1947",
"mA","",,"male speaker's ancestor",,,"",
"mPP","",,"male speaker's grandparent",,,"",
"mFF","abageba",,"male speaker's father's father",,279,"Nadel_1947",
"mFM","abageba",,"male speaker's father's mother",,279,"Nadel_1947",
"mMF","abageba",,"male speaker's mother's father",,279,"Nadel_1947",
"mMM","abageba",,"male speaker's mother's mother",,279,"Nadel_1947",
"mCC","",,"male speaker's grandchild",,,"",
"mSS","abageba",,"male speaker's son's son",,279,"Nadel_1947",
"mSD","abageba",,"male speaker's son's daughter",,279,"Nadel_1947",
"mDS","abageba",,"male speaker's daughter's son",,279,"Nadel_1947",
"mDD","abageba",,"male speaker's daughter's daughter",,279,"Nadel_1947",
"mFB","bapa",,"male speaker's father's brother",,279,"Nadel_1947",
"mFB","agediba",,"male speaker's father's brother",,279,"Nadel_1947",
"mFZ","",,"male speaker's father's sister",,,"",
"mMB","anolena",,"male speaker's mother's brother",,279,"Nadel_1947",
"mMZ","abene",,"male speaker's mother's sister",,279,"Nadel_1947",
"mFeB","",,"male speaker's father's older brother",,,"",
"mFyB","",,"male speaker's father's younger brother",,,"",
"mFeZ","",,"male speaker's father's older sister",,,"",
"mFyZ","",,"male speaker's father's younger sister",,,"",
"mMeZ","",,"male speaker's mother's older sister",,,"",
"mMyZ","",,"male speaker's mother's younger sister",,,"",
"mMeB","",,"male speaker's mother's older brother",,,"",
"mMyB","",,"male speaker's mother's younger brother",,,"",
