parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mG,ǰa'ba,,,,CHO02,rojas_embera_2015,
mB,ǰa'ba,,,,CHO02,rojas_embera_2015,
mZ,ǰa'ba ũ'ẽrã,,,,CHO02,rojas_embera_2015,
myB,ǰa'ba tẽã-be'ma,,,,CHO02,rojas_embera_2015,
myZ,ǰa'ba ũ'ẽrã tẽã-be'ma,,,,CHO02,rojas_embera_2015,
mF,zeze,,,,CHO02,rojas_embera_2015,
mM,papa,,,,CHO02,rojas_embera_2015,
mS,o'ar̃a,,,,CHO02,rojas_embera_2015,
mD,kau,,,,CHO02,rojas_embera_2015,
mFF,zeze-'zrõã,,,,CHO02,rojas_embera_2015,
mFM,papa-'ǰora,,,,CHO02,rojas_embera_2015,
mMF,zeze-'zrõã,,,,CHO02,rojas_embera_2015,
mMM,papa-'ǰora,,,,CHO02,rojas_embera_2015,
mSS,wiw-'zake,,,,CHO02,rojas_embera_2015,
mSD,ãĩ-'zake,,,,CHO02,rojas_embera_2015,
mDS,wiw-'zake,,,,CHO02,rojas_embera_2015,
mDD,ãĩ-'zake,,,,CHO02,rojas_embera_2015,
mFB,zrõã,,,,CHO02,rojas_embera_2015,
mFZ,a'pipi,,,,CHO02,rojas_embera_2015,
mMB,zrõã,,,,CHO02,rojas_embera_2015,
mMZ,a'pipi,,,,CHO02,rojas_embera_2015,
mBS,õ'ãõã,,,,CHO02,rojas_embera_2015,
mBD,hẽ'rãmãrã,,,,CHO02,rojas_embera_2015,
mZS,õ'ãõã,,,,CHO02,rojas_embera_2015,
mZD,hẽ'rãmãrã,,,,CHO02,rojas_embera_2015,
mFZD,ǰaba-kau,,,,CHO02,rojas_embera_2015,
mFBD,ǰaba-kau,,,,CHO02,rojas_embera_2015,
mMBD,ǰaba-kau,,,,CHO02,rojas_embera_2015,
mMZD,ǰaba-kau,,,,CHO02,rojas_embera_2015,
mFBS,ǰaba-kau,,,,CHO02,rojas_embera_2015,
mFZS,ǰaba-kau,,,,CHO02,rojas_embera_2015,
mMBS,ǰaba-kau,,,,CHO02,rojas_embera_2015,
mMZS,ǰaba-kau,,,,CHO02,rojas_embera_2015,
mH,ki'ma,,,,CHO02,rojas_embera_2015,
mW,ki'ma,,,,CHO02,rojas_embera_2015,
mHF,meme,,,,CHO02,rojas_embera_2015,
mHM,pãko're,,,,CHO02,rojas_embera_2015,
mWF,zãwãrẽ,,,,CHO02,rojas_embera_2015,
mWM,pãko're,,,,CHO02,rojas_embera_2015,
mSW,ãĩ'gu,,,,CHO02,rojas_embera_2015,
mSW,ãĩ'gu,,,,CHO02,rojas_embera_2015,
mDH,wiw,,,,CHO02,rojas_embera_2015,
mDH,wi'gu,,,,CHO02,rojas_embera_2015,
mDH,wiw,,,,CHO02,rojas_embera_2015,
mDH,wi'gu,,,,CHO02,rojas_embera_2015,
meB,ǰa'ba,,,,CHO02,rojas_embera_2015,Inferred; NA
meZ,ǰa'ba ũ'ẽrã,,,,CHO02,rojas_embera_2015,Inferred; NA
mFeB,zrõã,,,,CHO02,rojas_embera_2015,Inferred; NA
mFyB,zrõã,,,,CHO02,rojas_embera_2015,Inferred; NA
mFeZ,a'pipi,,,,CHO02,rojas_embera_2015,Inferred; NA
mFyZ,a'pipi,,,,CHO02,rojas_embera_2015,Inferred; NA
mMeZ,a'pipi,,,,CHO02,rojas_embera_2015,Inferred; NA
mMyZ,a'pipi,,,,CHO02,rojas_embera_2015,Inferred; NA
mMeB,zrõã,,,,CHO02,rojas_embera_2015,Inferred; NA
mMyB,zrõã,,,,CHO02,rojas_embera_2015,Inferred; NA
meBS,õ'ãõã,,,,CHO02,rojas_embera_2015,Inferred; NA
myBS,õ'ãõã,,,,CHO02,rojas_embera_2015,Inferred; NA
meBD,hẽ'rãmãrã,,,,CHO02,rojas_embera_2015,Inferred; NA
myBD,hẽ'rãmãrã,,,,CHO02,rojas_embera_2015,Inferred; NA
meZS,õ'ãõã,,,,CHO02,rojas_embera_2015,Inferred; NA
myZS,õ'ãõã,,,,CHO02,rojas_embera_2015,Inferred; NA
meZD,hẽ'rãmãrã,,,,CHO02,rojas_embera_2015,Inferred; NA
myZD,hẽ'rãmãrã,,,,CHO02,rojas_embera_2015,Inferred; NA
mFeBS,ǰaba-kau,,,,CHO02,rojas_embera_2015,Inferred; NA
mFyBS,ǰaba-kau,,,,CHO02,rojas_embera_2015,Inferred; NA
mFeZS,ǰaba-kau,,,,CHO02,rojas_embera_2015,Inferred; NA
mFyZS,ǰaba-kau,,,,CHO02,rojas_embera_2015,Inferred; NA
mFeBD,ǰaba-kau,,,,CHO02,rojas_embera_2015,Inferred; NA
mFyBD,ǰaba-kau,,,,CHO02,rojas_embera_2015,Inferred; NA
mFeZD,ǰaba-kau,,,,CHO02,rojas_embera_2015,Inferred; NA
mFyZD,ǰaba-kau,,,,CHO02,rojas_embera_2015,Inferred; NA
mMeBS,ǰaba-kau,,,,CHO02,rojas_embera_2015,Inferred; NA
mMyBS,ǰaba-kau,,,,CHO02,rojas_embera_2015,Inferred; NA
mMeZS,ǰaba-kau,,,,CHO02,rojas_embera_2015,Inferred; NA
mMyZS,ǰaba-kau,,,,CHO02,rojas_embera_2015,Inferred; NA
mMeBD,ǰaba-kau,,,,CHO02,rojas_embera_2015,Inferred; NA
mMyBD,ǰaba-kau,,,,CHO02,rojas_embera_2015,Inferred; NA
mMeZD,ǰaba-kau,,,,CHO02,rojas_embera_2015,Inferred; NA
mMyZD,ǰaba-kau,,,,CHO02,rojas_embera_2015,Inferred; NA
mFBeS,ǰaba-kau,,,,CHO02,rojas_embera_2015,Inferred; NA
mFByS,ǰaba-kau,,,,CHO02,rojas_embera_2015,Inferred; NA
mFZeS,ǰaba-kau,,,,CHO02,rojas_embera_2015,Inferred; NA
mFZyS,ǰaba-kau,,,,CHO02,rojas_embera_2015,Inferred; NA
mFBeD,ǰaba-kau,,,,CHO02,rojas_embera_2015,Inferred; NA
mFByD,ǰaba-kau,,,,CHO02,rojas_embera_2015,Inferred; NA
mFZeD,ǰaba-kau,,,,CHO02,rojas_embera_2015,Inferred; NA
mFZyD,ǰaba-kau,,,,CHO02,rojas_embera_2015,Inferred; NA
mMBeS,ǰaba-kau,,,,CHO02,rojas_embera_2015,Inferred; NA
mMByS,ǰaba-kau,,,,CHO02,rojas_embera_2015,Inferred; NA
mMZeS,ǰaba-kau,,,,CHO02,rojas_embera_2015,Inferred; NA
mMZyS,ǰaba-kau,,,,CHO02,rojas_embera_2015,Inferred; NA
mMBeD,ǰaba-kau,,,,CHO02,rojas_embera_2015,Inferred; NA
mMByD,ǰaba-kau,,,,CHO02,rojas_embera_2015,Inferred; NA
mMZeD,ǰaba-kau,,,,CHO02,rojas_embera_2015,Inferred; NA
mMZyD,ǰaba-kau,,,,CHO02,rojas_embera_2015,Inferred; NA
fG,ǰa'ba,,,,CHO02,rojas_embera_2015,
fB,ǰa'ba,,,,CHO02,rojas_embera_2015,
fZ,ǰa'ba ũ'ẽrã,,,,CHO02,rojas_embera_2015,
fyB,ǰa'ba tẽã-be'ma,,,,CHO02,rojas_embera_2015,
fyZ,ǰa'ba ũ'ẽrã tẽã-be'ma,,,,CHO02,rojas_embera_2015,
fF,zeze,,,,CHO02,rojas_embera_2015,
fM,papa,,,,CHO02,rojas_embera_2015,
fS,o'ar̃a,,,,CHO02,rojas_embera_2015,
fD,kau,,,,CHO02,rojas_embera_2015,
fFF,zeze-'zrõã,,,,CHO02,rojas_embera_2015,
fFM,papa-'ǰora,,,,CHO02,rojas_embera_2015,
fMF,zeze-'zrõã,,,,CHO02,rojas_embera_2015,
fMM,papa-'ǰora,,,,CHO02,rojas_embera_2015,
fSS,wiw-'zake,,,,CHO02,rojas_embera_2015,
fSD,ãĩ-'zake,,,,CHO02,rojas_embera_2015,
fDS,wiw-'zake,,,,CHO02,rojas_embera_2015,
fDD,ãĩ-'zake,,,,CHO02,rojas_embera_2015,
fFB,zrõã,,,,CHO02,rojas_embera_2015,
fFZ,a'pipi,,,,CHO02,rojas_embera_2015,
fMB,zrõã,,,,CHO02,rojas_embera_2015,
fMZ,a'pipi,,,,CHO02,rojas_embera_2015,
fBS,õ'ãõã,,,,CHO02,rojas_embera_2015,
fBD,hẽ'rãmãrã,,,,CHO02,rojas_embera_2015,
fZS,õ'ãõã,,,,CHO02,rojas_embera_2015,
fZD,hẽ'rãmãrã,,,,CHO02,rojas_embera_2015,
fFZD,ǰaba-kau,,,,CHO02,rojas_embera_2015,
fFBD,ǰaba-kau,,,,CHO02,rojas_embera_2015,
fMBD,ǰaba-kau,,,,CHO02,rojas_embera_2015,
fMZD,ǰaba-kau,,,,CHO02,rojas_embera_2015,
fFBS,ǰaba-kau,,,,CHO02,rojas_embera_2015,
fFZS,ǰaba-kau,,,,CHO02,rojas_embera_2015,
fMBS,ǰaba-kau,,,,CHO02,rojas_embera_2015,
fMZS,ǰaba-kau,,,,CHO02,rojas_embera_2015,
fH,ki'ma,,,,CHO02,rojas_embera_2015,
fW,ki'ma,,,,CHO02,rojas_embera_2015,
fHF,meme,,,,CHO02,rojas_embera_2015,
fHM,pãko're,,,,CHO02,rojas_embera_2015,
fWF,zãwãrẽ,,,,CHO02,rojas_embera_2015,
fWM,pãko're,,,,CHO02,rojas_embera_2015,
fSW,ãĩ'gu,,,,CHO02,rojas_embera_2015,
fSW,ãĩ'gu,,,,CHO02,rojas_embera_2015,
fDH,wiw,,,,CHO02,rojas_embera_2015,
fDH,wi'gu,,,,CHO02,rojas_embera_2015,
fDH,wiw,,,,CHO02,rojas_embera_2015,
fDH,wi'gu,,,,CHO02,rojas_embera_2015,
feB,ǰa'ba,,,,CHO02,rojas_embera_2015,Inferred; NA
feZ,ǰa'ba ũ'ẽrã,,,,CHO02,rojas_embera_2015,Inferred; NA
fFeB,zrõã,,,,CHO02,rojas_embera_2015,Inferred; NA
fFyB,zrõã,,,,CHO02,rojas_embera_2015,Inferred; NA
fFeZ,a'pipi,,,,CHO02,rojas_embera_2015,Inferred; NA
fFyZ,a'pipi,,,,CHO02,rojas_embera_2015,Inferred; NA
fMeZ,a'pipi,,,,CHO02,rojas_embera_2015,Inferred; NA
