parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mB,taḳsoḳte,,,,KAW1,clairis_qawasqar_2015,
mZ,taḳsoḳte-seles,,,,KAW1,clairis_qawasqar_2015,
myB,are,,,,KAW1,clairis_qawasqar_2015,
myZ,are-seles,,,,KAW1,clairis_qawasqar_2015,
mF,c̷ewal,,,,KAW1,clairis_qawasqar_2015,
mM,c̷ap,,,,KAW1,clairis_qawasqar_2015,
mC,eyxyol,,,,KAW1,clairis_qawasqar_2015,
mS,eyxyol,,,,KAW1,clairis_qawasqar_2015,
mD,eyxyol-seles,,,,KAW1,clairis_qawasqar_2015,
mFF,yersas,,,,KAW1,clairis_qawasqar_2015,
mFM,ḳyewo-seles,,,,KAW1,clairis_qawasqar_2015,
mMF,yersas,,,,KAW1,clairis_qawasqar_2015,
mMM,ḳyewo-seles,,,,KAW1,clairis_qawasqar_2015,
mSS,seḳwayoḳ,,,,KAW1,clairis_qawasqar_2015,
mSD,seḳwayoḳ-seles,,,,KAW1,clairis_qawasqar_2015,
mDS,seḳwayoḳ,,,,KAW1,clairis_qawasqar_2015,
mDD,seḳwayoḳ-seles,,,,KAW1,clairis_qawasqar_2015,
mFB,yerwotaḳ,,,,KAW1,clairis_qawasqar_2015,
mFZ,yerwotaḳ,,,,KAW1,clairis_qawasqar_2015,
mBS,eyxyol-yerwasḳay,,,,KAW1,clairis_qawasqar_2015,
mZS,eyxyol-yerwasḳay,,,,KAW1,clairis_qawasqar_2015,
mFZD,yerwasḳe,,,,KAW1,clairis_qawasqar_2015,
mFBD,yerwasḳe,,,,KAW1,clairis_qawasqar_2015,
mMBD,yerwasḳe,,,,KAW1,clairis_qawasqar_2015,
mMZD,yerwasḳe,,,,KAW1,clairis_qawasqar_2015,
mFBS,yerwasḳe,,,,KAW1,clairis_qawasqar_2015,
mFZS,yerwasḳe,,,,KAW1,clairis_qawasqar_2015,
mMBS,yerwasḳe,,,,KAW1,clairis_qawasqar_2015,
mMZS,yerwasḳe,,,,KAW1,clairis_qawasqar_2015,
mH,areḳ,,,,KAW1,clairis_qawasqar_2015,
mW,aftsoḳ,,,,KAW1,clairis_qawasqar_2015,
mWF,tarḳeyep,,,,KAW1,clairis_qawasqar_2015,
mWM,tayxar-seles,,,,KAW1,clairis_qawasqar_2015,
fB,taḳsoḳte,,,,KAW1,clairis_qawasqar_2015,
fZ,taḳsoḳte-seles,,,,KAW1,clairis_qawasqar_2015,
fyB,are,,,,KAW1,clairis_qawasqar_2015,
fyZ,are-seles,,,,KAW1,clairis_qawasqar_2015,
fF,c̷ewal,,,,KAW1,clairis_qawasqar_2015,
fM,c̷ap,,,,KAW1,clairis_qawasqar_2015,
fC,eyxyol,,,,KAW1,clairis_qawasqar_2015,
fS,eyxyol,,,,KAW1,clairis_qawasqar_2015,
fD,eyxyol-seles,,,,KAW1,clairis_qawasqar_2015,
fFF,yersas,,,,KAW1,clairis_qawasqar_2015,
fFM,ḳyewo-seles,,,,KAW1,clairis_qawasqar_2015,
fMF,yersas,,,,KAW1,clairis_qawasqar_2015,
fMM,ḳyewo-seles,,,,KAW1,clairis_qawasqar_2015,
fSS,seḳwayoḳ,,,,KAW1,clairis_qawasqar_2015,
fSD,seḳwayoḳ-seles,,,,KAW1,clairis_qawasqar_2015,
fDS,seḳwayoḳ,,,,KAW1,clairis_qawasqar_2015,
fDD,seḳwayoḳ-seles,,,,KAW1,clairis_qawasqar_2015,
fFB,yerwotaḳ,,,,KAW1,clairis_qawasqar_2015,
fFZ,yerwotaḳ,,,,KAW1,clairis_qawasqar_2015,
fBS,eyxyol-yerwasḳay,,,,KAW1,clairis_qawasqar_2015,
fZS,eyxyol-yerwasḳay,,,,KAW1,clairis_qawasqar_2015,
fFZD,yerwasḳe,,,,KAW1,clairis_qawasqar_2015,
fFBD,yerwasḳe,,,,KAW1,clairis_qawasqar_2015,
fMBD,yerwasḳe,,,,KAW1,clairis_qawasqar_2015,
fMZD,yerwasḳe,,,,KAW1,clairis_qawasqar_2015,
fFBS,yerwasḳe,,,,KAW1,clairis_qawasqar_2015,
fFZS,yerwasḳe,,,,KAW1,clairis_qawasqar_2015,
fMBS,yerwasḳe,,,,KAW1,clairis_qawasqar_2015,
fMZS,yerwasḳe,,,,KAW1,clairis_qawasqar_2015,
fH,areḳ,,,,KAW1,clairis_qawasqar_2015,
fW,aftsoḳ,,,,KAW1,clairis_qawasqar_2015,
fWF,tarḳeyep,,,,KAW1,clairis_qawasqar_2015,
fWM,tayxar-seles,,,,KAW1,clairis_qawasqar_2015,
