"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"meB","ancén",,,,"CO01 (430)","halpern_yuma_1942",""
"myB","asúc",,,,"CO01 (430)","halpern_yuma_1942","mentioned: also occasionally used with a following qualifier in the meaning of ‘brother’ regardless of age [430]"
"meZ","ancén",,,,"CO01 (430)","halpern_yuma_1942",""
"mF","nyakó",,,,"CO01 (430)","halpern_yuma_1942",""
"mF","u.xamí.",,,,"CO01 (430)","halpern_yuma_1942","described as - ‘to procreate, to be the father of'"
"mF","nyaxu.márv",,,,"CO01 (431)","halpern_yuma_1942","described as - 'to be the father of' [431]"
"mM","antáy",,,,"CO01 (430)","halpern_yuma_1942","described as - antáy: to call some one mother and *natáy (for *anatáy) ‘to treat like a mother, with filial devotion [430]"
"mS","xu.máy",,,,"CO01 (431)","halpern_yuma_1942",""
"mD","vací",,,,"CO01 (431)","halpern_yuma_1942",""
"mD","xacínya",,,,"CO01 (431)","halpern_yuma_1942","mentioned: xaciny ‘young female,’ treated in the same way as girl[431]"
"mFF","napáw",,,,"CO01 (429)","halpern_yuma_1942",""
"mFM","namáw",,,,"CO01 (429)","halpern_yuma_1942",""
"mMF","nakwéw",,,,"CO01 (429)","halpern_yuma_1942",""
"mMM","nakyéw",,,,"CO01 (430)","halpern_yuma_1942",""
"mSS","a?áw",,,,"CO01 (431)","halpern_yuma_1942","used for some one son's child, son's children[431]"
"mSD","a?áw",,,,"CO01 (431)","halpern_yuma_1942","used for some one son's child, son's children[431]"
"mDS","axkó",,,,"CO01 (431)","halpern_yuma_1942","used for some one daughter's child, daughter's children[431]"
"mDD","axkó",,,,"CO01 (431)","halpern_yuma_1942","used for some one daughter's child, daughter's children[431]"
"mFeB","naví",,,,"CO01 (432)","halpern_yuma_1942",""
"mFyB","nyakús",,,,"CO01 (432)","halpern_yuma_1942",""
"mMeZ","nasí",,,,"CO01 (432)","halpern_yuma_1942",""
"mMyZ","namúy",,,,"CO01 (432)","halpern_yuma_1942",""
"mMeB","nakwí",,,,"CO01 (432)","halpern_yuma_1942",""
"mMyB","nakwí",,,,"CO01 (432)","halpern_yuma_1942",""
"meBS","ya.cakyéw",,,,"CO01 (433)","halpern_yuma_1942",""
"myBS","avét",,,,"CO01 (433)","halpern_yuma_1942",""
"meBD","ya.cakyéw",,,,"CO01 (433)","halpern_yuma_1942",""
"myBD","avét",,,,"CO01 (433)","halpern_yuma_1942",""
"meZS","aván",,,,"CO01 (433)","halpern_yuma_1942",""
"myZS","aván",,,,"CO01 (433)","halpern_yuma_1942",""
"meZD","awány",,,,"CO01 (433)","halpern_yuma_1942",""
"myZD","awány",,,,"CO01 (433)","halpern_yuma_1942",""
"mFBD","𝛿opkasí.nyk",,,,"CO01 (433)","halpern_yuma_1942",""
"mMZD","*Sacu.má.v",,,,"CO01 (432)","halpern_yuma_1942",""
"mFBS","𝛿okxamí.k",,,,"CO01 (433)","halpern_yuma_1942",""
"mMZS","*Sacu.má.v",,,,"CO01 (433)","halpern_yuma_1942",""
"mH","kwara?ák",,,,"CO01 (434)","halpern_yuma_1942","described as: ‘old man,’ but when occurring in the meaning ‘husband,’takes the second series of pronominal possessive prefixes proper to noun themes: ‘her husband’"
"mW","nya.vé.",,,,"CO01 (434)","halpern_yuma_1942",""
"mWF","nyaxaly?áw",,,,"CO01 (434)","halpern_yuma_1942",""
"mWM","*nYaxalY?Bw",,,,"CO01 (434)","halpern_yuma_1942",""
"mZH","u.sú.",,,,"CO01 (434) (435)","halpern_yuma_1942","described as ‘to call some one husband of one’s female relative (except daughter's husband)"
"mWB","u.sú.",,,,"CO01 (434)","halpern_yuma_1942","described as 'wife's male relative'"
"mWZ","nyaxwé",,,,"CO01 (435)","halpern_yuma_1942","described as 'wife's female relative'"
"mSWM","u.cu.Súcv",,,,"CO01 (435)","halpern_yuma_1942","described as 'to call some one child's parent-in-law'[435]"
"mSWF","u.cu.Súcv",,,,"CO01 (435)","halpern_yuma_1942","described as 'to call some one child's parent-in-law'[435]"
"mDH","kwanyxaly?áw",,,,"CO01 (434)","halpern_yuma_1942",""
"mDHM","u.cu.Súcv",,,,"CO01 (435)","halpern_yuma_1942","described as 'to call some one child's parent-in-law'[435]"
"mDHF","u.cu.Súcv",,,,"CO01 (435)","halpern_yuma_1942","described as 'to call some one child's parent-in-law'[435]"
"mFeBS","𝛿okxamí.k",,,,"CO01 (433)","halpern_yuma_1942","Inferred; NA"
"mFyBS","𝛿okxamí.k",,,,"CO01 (433)","halpern_yuma_1942","Inferred; NA"
"mFeBD","𝛿opkasí.nyk",,,,"CO01 (433)","halpern_yuma_1942","Inferred; NA"
"mFyBD","𝛿opkasí.nyk",,,,"CO01 (433)","halpern_yuma_1942","Inferred; NA"
"mMeZS","*Sacu.má.v",,,,"CO01 (433)","halpern_yuma_1942","Inferred; NA"
"mMyZS","*Sacu.má.v",,,,"CO01 (433)","halpern_yuma_1942","Inferred; NA"
"mMeZD","*Sacu.má.v",,,,"CO01 (432)","halpern_yuma_1942","Inferred; NA"
"mMyZD","*Sacu.má.v",,,,"CO01 (432)","halpern_yuma_1942","Inferred; NA"
"mFBeS","𝛿okxamí.k",,,,"CO01 (433)","halpern_yuma_1942","Inferred; NA"
"mFByS","𝛿okxamí.k",,,,"CO01 (433)","halpern_yuma_1942","Inferred; NA"
"mFBeD","𝛿opkasí.nyk",,,,"CO01 (433)","halpern_yuma_1942","Inferred; NA"
"mFByD","𝛿opkasí.nyk",,,,"CO01 (433)","halpern_yuma_1942","Inferred; NA"
"mMZeS","*Sacu.má.v",,,,"CO01 (433)","halpern_yuma_1942","Inferred; NA"
"mMZyS","*Sacu.má.v",,,,"CO01 (433)","halpern_yuma_1942","Inferred; NA"
"mMZeD","*Sacu.má.v",,,,"CO01 (432)","halpern_yuma_1942","Inferred; NA"
"mMZyD","*Sacu.má.v",,,,"CO01 (432)","halpern_yuma_1942","Inferred; NA"
"feB","ancén",,,,"CO01 (430)","halpern_yuma_1942",""
"fyB","asúc",,,,"CO01 (430)","halpern_yuma_1942","mentioned: also occasionally used with a following qualifier in the meaning of ‘brother’ regardless of age [430]"
"feZ","ancén",,,,"CO01 (430)","halpern_yuma_1942",""
"fF","na?áy",,,,"CO01 (430)","halpern_yuma_1942",""
"fF","u.xamí.",,,,"CO01 (430)","halpern_yuma_1942","described as - ‘to procreate, to be the father of'"
"fF","nyaxu.márv",,,,"CO01 (431)","halpern_yuma_1942","described as - 'to be the father of' [431]"
"fM","antáy",,,,"CO01 (430)","halpern_yuma_1942","described as - antáy: to call some one mother and *natáy (for *anatáy) ‘to treat like a mother, with filial devotion [430]"
"fC","as?áw",,,,"CO01 (431)","halpern_yuma_1942",""
"fFF","napáw",,,,"CO01 (429)","halpern_yuma_1942",""
"fFM","namáw",,,,"CO01 (429)","halpern_yuma_1942",""
"fMF","nakwéw",,,,"CO01 (429)","halpern_yuma_1942",""
"fMM","nakyéw",,,,"CO01 (430)","halpern_yuma_1942",""
"fSS","a?áw",,,,"CO01 (431)","halpern_yuma_1942","used for some one son's child, son's children[431]"
"fSD","a?áw",,,,"CO01 (431)","halpern_yuma_1942","used for some one son's child, son's children[431]"
"fDS","axkó",,,,"CO01 (431)","halpern_yuma_1942","used for some one daughter's child, daughter's children[431]"
"fDD","axkó",,,,"CO01 (431)","halpern_yuma_1942","used for some one daughter's child, daughter's children[431]"
"fFeB","naví",,,,"CO01 (432)","halpern_yuma_1942",""
"fFyB","nyakús",,,,"CO01 (432)","halpern_yuma_1942",""
"fMeZ","nasí",,,,"CO01 (432)","halpern_yuma_1942",""
"fMyZ","namúy",,,,"CO01 (432)","halpern_yuma_1942",""
"fMeB","nakwí",,,,"CO01 (432)","halpern_yuma_1942",""
"fMyB","nakwí",,,,"CO01 (432)","halpern_yuma_1942",""
"feBS","varapí",,,,"CO01 (433)","halpern_yuma_1942",""
"fyBS","varapí",,,,"CO01 (433)","halpern_yuma_1942",""
"feBD","varapí",,,,"CO01 (433)","halpern_yuma_1942",""
"fyBD","varapí",,,,"CO01 (433)","halpern_yuma_1942",""
"feZS","an?ó",,,,"CO01 (433)","halpern_yuma_1942",""
"fyZS","avét",,,,"CO01 (433)","halpern_yuma_1942",""
"feZD","an?ó",,,,"CO01 (433)","halpern_yuma_1942",""
"fyZD","avét",,,,"CO01 (433)","halpern_yuma_1942",""
"fFBD","𝛿opkasí.nyk",,,,"CO01 (433)","halpern_yuma_1942",""
"fMZD","*Sacu.má.v",,,,"CO01 (432)","halpern_yuma_1942",""
"fFBS","𝛿opkasí.nyk",,,,"CO01 (433)","halpern_yuma_1942",""
"fMZS","*Sacu.má.v",,,,"CO01 (433)","halpern_yuma_1942",""
"fH","kwara?ák",,,,"CO01 (434)","halpern_yuma_1942","described as: ‘old man,’ but when occurring in the meaning ‘husband,’takes the second series of pronominal possessive prefixes proper to noun themes: ‘her husband’"
"fW","nya.vé.",,,,"CO01 (434)","halpern_yuma_1942",""
"fZH","u.sú.",,,,"CO01 (434) (435)","halpern_yuma_1942","described as ‘to call some one husband of one’s female relative (except daughter's husband)"
"fZH","kwanyaxwé",,,,"CO01 (435)","halpern_yuma_1942","described as ‘husband of one’s female relative"
"fWB","u.sú.",,,,"CO01 (434)","halpern_yuma_1942","described as 'wife's male relative'"
"fWZ","nyaxwé",,,,"CO01 (435)","halpern_yuma_1942","described as 'wife's female relative'"
"fSWM","u.cu.Súcv",,,,"CO01 (435)","halpern_yuma_1942","described as 'to call some one child's parent-in-law'[435]"
"fSWF","u.cu.Súcv",,,,"CO01 (435)","halpern_yuma_1942","described as 'to call some one child's parent-in-law'[435]"
"fDH","kwanyxaly?áw",,,,"CO01 (434)","halpern_yuma_1942",""
"fDHM","u.cu.Súcv",,,,"CO01 (435)","halpern_yuma_1942","described as 'to call some one child's parent-in-law'[435]"
"fDHF","u.cu.Súcv",,,,"CO01 (435)","halpern_yuma_1942","described as 'to call some one child's parent-in-law'[435]"
"fFeBS","𝛿opkasí.nyk",,,,"CO01 (433)","halpern_yuma_1942","Inferred; NA"
"fFyBS","𝛿opkasí.nyk",,,,"CO01 (433)","halpern_yuma_1942","Inferred; NA"
"fFeBD","𝛿opkasí.nyk",,,,"CO01 (433)","halpern_yuma_1942","Inferred; NA"
"fFyBD","𝛿opkasí.nyk",,,,"CO01 (433)","halpern_yuma_1942","Inferred; NA"
"fMeZS","*Sacu.má.v",,,,"CO01 (433)","halpern_yuma_1942","Inferred; NA"
"fMyZS","*Sacu.má.v",,,,"CO01 (433)","halpern_yuma_1942","Inferred; NA"
"fMeZD","*Sacu.má.v",,,,"CO01 (432)","halpern_yuma_1942","Inferred; NA"
"fMyZD","*Sacu.má.v",,,,"CO01 (432)","halpern_yuma_1942","Inferred; NA"
"fFBeS","𝛿opkasí.nyk",,,,"CO01 (433)","halpern_yuma_1942","Inferred; NA"
"fFByS","𝛿opkasí.nyk",,,,"CO01 (433)","halpern_yuma_1942","Inferred; NA"
"fFBeD","𝛿opkasí.nyk",,,,"CO01 (433)","halpern_yuma_1942","Inferred; NA"
"fFByD","𝛿opkasí.nyk",,,,"CO01 (433)","halpern_yuma_1942","Inferred; NA"
"fMZeS","*Sacu.má.v",,,,"CO01 (433)","halpern_yuma_1942","Inferred; NA"
"fMZyS","*Sacu.má.v",,,,"CO01 (433)","halpern_yuma_1942","Inferred; NA"
