"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"meB","tone",,"male ego's older brother",,,"wegener2013savosavo","missing?"
"myB","tone",,"male ego's younger brother",,,"wegener2013savosavo",""
"feB","toka",,"female ego's older brother",,,"wegener2013savosavo",""
"fyB","toka",,"female ego's younger brother",,,"wegener2013savosavo",""
"meZ","toka",,"male ego's older sister",,,"wegener2013savosavo",""
"myZ","toka",,"male ego's younger sister",,,"wegener2013savosavo",""
"feZ","totoa",,"female ego's older sister",,,"wegener2013savosavo",""
"fyZ","totoa",,"female ego's younger sister",,,"wegener2013savosavo",""
"mF","mau",,"male ego's father",,,"wegener2013savosavo",""
"mM","mama",,"male ego's mother",,,"wegener2013savosavo",""
"fF","mau",,"female ego's father",,,"wegener2013savosavo",""
"fM","mama",,"female ego's mother",,,"wegener2013savosavo",""
"mS","tada gnuba",,"male ego's son",,,"wegener2013savosavo",""
"fS","tada gnuba",,"female ego's son",,,"wegener2013savosavo",""
"mD","adaki gnuba",,"male ego's daughter",,,"wegener2013savosavo",""
"fD","adaki gnuba",,"female ego's daughter",,,"wegener2013savosavo",""
"mSS","kukua",,"male ego's son's son",,,"wegener2013savosavo",""
"mSD","kukua",,"male ego's son's daughter",,,"wegener2013savosavo",""
"mDS","kukua",,"male ego's daughter's son",,,"wegener2013savosavo",""
"mDD","kukua",,"male ego's daughter's daughter",,,"wegener2013savosavo",""
"fSS","kukua",,"female ego's son's son",,,"wegener2013savosavo",""
"fSD","kukua",,"female ego's son's daughter",,,"wegener2013savosavo",""
"fDS","kukua",,"female ego's daughter's son",,,"wegener2013savosavo",""
"fDD","kukua",,"female ego's daugher's daughter",,,"wegener2013savosavo",""
"mFF","kukua",,"male ego's father‘s father",,,"wegener2013savosavo",""
"mFM","kukua",,"male ego's father's mother",,,"wegener2013savosavo",""
"mMF","kukua",,"male ego's mother's father",,,"wegener2013savosavo",""
"mMM","kukua",,"male ego's mother's mother",,,"wegener2013savosavo",""
"fFF","kukua",,"female ego's father's father",,,"wegener2013savosavo",""
"fFM","kukua",,"female ego's father's mother",,,"wegener2013savosavo",""
"fMF","kukua",,"female ego's mother's father",,,"wegener2013savosavo",""
"fMM","kukua",,"female ego's mother's mother",,,"wegener2013savosavo",""
"meBS","tada gnuba",,"male ego's older brother's son",,,"wegener2013savosavo",""
"myBS","tada gnuba",,"male ego's younger brother's son",,,"wegener2013savosavo",""
"meZS","kulagha",,"male ego's older sister's son",,,"wegener2013savosavo",""
"myZS","kulagha",,"male ego's younger sister's son",,,"wegener2013savosavo",""
"meBD","adaki gnuba",,"male ego's older brother's daughter",,,"wegener2013savosavo",""
"myBD","adaki gnuba",,"male ego's younger brother's daughter",,,"wegener2013savosavo",""
"meZD","kulagha",,"male ego's older sister's daughter",,,"wegener2013savosavo",""
"myZD","kulagha",,"male ego's younger sister's daughter",,,"wegener2013savosavo",""
"feBS","tada gnuba",,"female ego's older brother's son",,,"wegener2013savosavo",""
"fyBS","tada gnuba",,"female ego's younger brother's son",,,"wegener2013savosavo",""
"feZS","tada gnuba",,"female ego's older sister's son",,,"wegener2013savosavo",""
"fyZS","tada gnuba",,"female ego's younger sister's son",,,"wegener2013savosavo",""
"feBD","adaki gnuba",,"female ego's older brother's daughter",,,"wegener2013savosavo",""
"fyBD","adaki gnuba",,"female ego's younger brother's daughter",,,"wegener2013savosavo",""
"feZD","adaki gnuba",,"female ego's older sister's daughter",,,"wegener2013savosavo",""
"fyZD","adaki gnuba",,"female ego's younger sister's daughter",,,"wegener2013savosavo",""
"mFeB","mau",,"male ego's father's older brother",,,"wegener2013savosavo",""
"mFyB","mau",,"male ego's father's younger brother",,,"wegener2013savosavo",""
"mFeZ","mama",,"male ego's father's older sister",,,"wegener2013savosavo",""
"mFyZ","mama",,"male ego's father's younger sister",,,"wegener2013savosavo",""
"mMeB","kulagha",,"male ego's mother's older brother",,,"wegener2013savosavo",""
"mMyB","kulagha",,"male ego's mother's younger brother",,,"wegener2013savosavo",""
"mMeZ","mama",,"male ego's mother's older sister",,,"wegener2013savosavo",""
"mMyZ","mama",,"male ego's mother's younger sister",,,"wegener2013savosavo",""
"fFeB","mau",,"female ego's father's older brother",,,"wegener2013savosavo",""
"fFyB","mau",,"female ego's father's younger brother",,,"wegener2013savosavo",""
"fFeZ","mama",,"female ego's father's older sister",,,"wegener2013savosavo",""
"fFyZ","mama",,"female ego's father's younger sister",,,"wegener2013savosavo",""
"fMeB","kulagha",,"female ego's mother's older brother",,,"wegener2013savosavo",""
"fMyB","kulagha",,"female ego's mother's younger brother",,,"wegener2013savosavo",""
"fMeZ","mama",,"female ego's mother's older sister",,,"wegener2013savosavo",""
"fMyZ","mama",,"female ego's mother's younger sister",,,"wegener2013savosavo",""
"mW","madaki",,"male ego's wife",,,"wegener2013savosavo",""
"fH","tada",,"female ego‘s husband",,,"wegener2013savosavo",""
"mDH","vungao",,"male ego's daughter's husband",,,"wegener2013savosavo",""
"fDH","vungao",,"female ego's daughter's husband",,,"wegener2013savosavo",""
"mSW","vungao",,"male ego's son's wife",,,"wegener2013savosavo",""
"fSW","vungao",,"female ego's son's wife",,,"wegener2013savosavo",""
"mWF","vungao",,"male ego's wife's father",,,"wegener2013savosavo",""
"mWM","vungao",,"male ego's wife's mother",,,"wegener2013savosavo",""
"mWB","magu",,"male ego's wife's brother",,,"wegener2013savosavo",""
"mWZ","basa",,"male ego's wife's sister",,,"wegener2013savosavo",""
"fHF","vungao",,"female ego's husband's father",,,"wegener2013savosavo",""
"fHM","vungao",,"female ego's husband's mother",,,"wegener2013savosavo",""
