parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
myB,yoʔhe-kˀɨ,,,,TUCO4,key_siona_2015,
myZ,yoʔhe-kˀo,,,,TUCO4,key_siona_2015,
mF,taita,,,,TUCO4,key_siona_2015,
mF,haʔkɨ,,,,TUCO4,key_siona_2015,
mM,haʔko,,,,TUCO4,key_siona_2015,
mM,pɨʔka-kˀo,,,,TUCO4,key_siona_2015,
mC,sˀĩkoʔa,,,,TUCO4,key_siona_2015,
mS,mami,,,,TUCO4,key_siona_2015,
mS,sˀĩ,,,,TUCO4,key_siona_2015,
mD,mami,,,,TUCO4,key_siona_2015,
mFF,kʷˀe-kˀɨ,,,,TUCO4,key_siona_2015,
mFF,[awero],,,,TUCO4,key_siona_2015,
mFM,kʷˀe-kˀo [awera],,,,TUCO4,key_siona_2015,
mMF,kʷˀe-kˀɨ,,,,TUCO4,key_siona_2015,
mMF,[awero],,,,TUCO4,key_siona_2015,
mMM,kʷˀe-kˀo [awera],,,,TUCO4,key_siona_2015,
mSS,nahe-kˀɨ,,,,TUCO4,key_siona_2015,
mSD,nahe-kˀo,,,,TUCO4,key_siona_2015,
mDS,nahe-kˀɨ,,,,TUCO4,key_siona_2015,
mDD,nahe-kˀo,,,,TUCO4,key_siona_2015,
mFB,itˀa pɨʔka-kˀɨ,,,,TUCO4,key_siona_2015,
mFB,itˀa taita,,,,TUCO4,key_siona_2015,
mMZ,itˀa pɨʔka-kˀo,,,,TUCO4,key_siona_2015,
mMZ,itˀa mama,,,,TUCO4,key_siona_2015,
mBS,wau,,,,TUCO4,key_siona_2015,
mBS,wiʔya-kˀɨ,,,,TUCO4,key_siona_2015,
mBD,wau,,,,TUCO4,key_siona_2015,
mBD,wiʔya-kˀo,,,,TUCO4,key_siona_2015,
mZS,wau,,,,TUCO4,key_siona_2015,
mZS,wiʔya-kˀɨ,,,,TUCO4,key_siona_2015,
mZD,wau,,,,TUCO4,key_siona_2015,
mZD,wiʔya-kˀo,,,,TUCO4,key_siona_2015,
mFZD,wiʔya-kˀɨ,,,,TUCO4,key_siona_2015,
mFZD,wiʔya-kˀo,,,,TUCO4,key_siona_2015,
mFBD,wiʔya-kˀɨ,,,,TUCO4,key_siona_2015,
mFBD,wiʔya-kˀo,,,,TUCO4,key_siona_2015,
mMBD,wiʔya-kˀɨ,,,,TUCO4,key_siona_2015,
mMBD,wiʔya-kˀo,,,,TUCO4,key_siona_2015,
mMZD,wiʔya-kˀɨ,,,,TUCO4,key_siona_2015,
mMZD,wiʔya-kˀo,,,,TUCO4,key_siona_2015,
mFBS,wiʔya-kˀɨ,,,,TUCO4,key_siona_2015,
mFBS,wiʔya-kˀo,,,,TUCO4,key_siona_2015,
mFZS,wiʔya-kˀɨ,,,,TUCO4,key_siona_2015,
mFZS,wiʔya-kˀo,,,,TUCO4,key_siona_2015,
mMBS,wiʔya-kˀɨ,,,,TUCO4,key_siona_2015,
mMBS,wiʔya-kˀo,,,,TUCO4,key_siona_2015,
mMZS,wiʔya-kˀɨ,,,,TUCO4,key_siona_2015,
mMZS,wiʔya-kˀo,,,,TUCO4,key_siona_2015,
mH,ʔɨ̃hɨ̃,,,,TUCO4,key_siona_2015,
mH,hɨ̃hɨ,,,,TUCO4,key_siona_2015,
mW,tˀɨ̃ho,,,,TUCO4,key_siona_2015,
fyB,yoʔhe-kˀɨ,,,,TUCO4,key_siona_2015,
fyZ,yoʔhe-kˀo,,,,TUCO4,key_siona_2015,
fF,taita,,,,TUCO4,key_siona_2015,
fF,haʔkɨ,,,,TUCO4,key_siona_2015,
fM,haʔko,,,,TUCO4,key_siona_2015,
fM,pɨʔka-kˀo,,,,TUCO4,key_siona_2015,
fC,sˀĩkoʔa,,,,TUCO4,key_siona_2015,
fS,mami,,,,TUCO4,key_siona_2015,
fS,sˀĩ,,,,TUCO4,key_siona_2015,
fD,mami,,,,TUCO4,key_siona_2015,
fFF,kʷˀe-kˀɨ,,,,TUCO4,key_siona_2015,
fFF,[awero],,,,TUCO4,key_siona_2015,
fFM,kʷˀe-kˀo [awera],,,,TUCO4,key_siona_2015,
fMF,kʷˀe-kˀɨ,,,,TUCO4,key_siona_2015,
fMF,[awero],,,,TUCO4,key_siona_2015,
fMM,kʷˀe-kˀo [awera],,,,TUCO4,key_siona_2015,
fSS,nahe-kˀɨ,,,,TUCO4,key_siona_2015,
fSD,nahe-kˀo,,,,TUCO4,key_siona_2015,
fDS,nahe-kˀɨ,,,,TUCO4,key_siona_2015,
fDD,nahe-kˀo,,,,TUCO4,key_siona_2015,
fFB,itˀa pɨʔka-kˀɨ,,,,TUCO4,key_siona_2015,
fFB,itˀa taita,,,,TUCO4,key_siona_2015,
fMZ,itˀa pɨʔka-kˀo,,,,TUCO4,key_siona_2015,
fMZ,itˀa mama,,,,TUCO4,key_siona_2015,
fBS,wau,,,,TUCO4,key_siona_2015,
fBS,wiʔya-kˀɨ,,,,TUCO4,key_siona_2015,
fBD,wau,,,,TUCO4,key_siona_2015,
fBD,wiʔya-kˀo,,,,TUCO4,key_siona_2015,
fZS,wau,,,,TUCO4,key_siona_2015,
fZS,wiʔya-kˀɨ,,,,TUCO4,key_siona_2015,
fZD,wau,,,,TUCO4,key_siona_2015,
fZD,wiʔya-kˀo,,,,TUCO4,key_siona_2015,
fFZD,wiʔya-kˀɨ,,,,TUCO4,key_siona_2015,
fFZD,wiʔya-kˀo,,,,TUCO4,key_siona_2015,
fFBD,wiʔya-kˀɨ,,,,TUCO4,key_siona_2015,
fFBD,wiʔya-kˀo,,,,TUCO4,key_siona_2015,
fMBD,wiʔya-kˀɨ,,,,TUCO4,key_siona_2015,
fMBD,wiʔya-kˀo,,,,TUCO4,key_siona_2015,
fMZD,wiʔya-kˀɨ,,,,TUCO4,key_siona_2015,
fMZD,wiʔya-kˀo,,,,TUCO4,key_siona_2015,
fFBS,wiʔya-kˀɨ,,,,TUCO4,key_siona_2015,
fFBS,wiʔya-kˀo,,,,TUCO4,key_siona_2015,
fFZS,wiʔya-kˀɨ,,,,TUCO4,key_siona_2015,
fFZS,wiʔya-kˀo,,,,TUCO4,key_siona_2015,
fMBS,wiʔya-kˀɨ,,,,TUCO4,key_siona_2015,
fMBS,wiʔya-kˀo,,,,TUCO4,key_siona_2015,
fMZS,wiʔya-kˀɨ,,,,TUCO4,key_siona_2015,
fMZS,wiʔya-kˀo,,,,TUCO4,key_siona_2015,
fH,ʔɨ̃hɨ̃,,,,TUCO4,key_siona_2015,
fH,hɨ̃hɨ,,,,TUCO4,key_siona_2015,
fW,tˀɨ̃ho,,,,TUCO4,key_siona_2015,
