parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mG,gō,,,,CH02,delahaye_tehuelche_2015,
mB,gō,,,,CH02,delahaye_tehuelche_2015,
mZ,gō,,,,CH02,delahaye_tehuelche_2015,
myB,gō,,,,CH02,delahaye_tehuelche_2015,
myZ,gō,,,,CH02,delahaye_tehuelche_2015,
mF,y-ānkˀo,,,,CH02,delahaye_tehuelche_2015,
mM,y-ān,,,,CH02,delahaye_tehuelche_2015,
mC,aml,,,,CH02,delahaye_tehuelche_2015,
mS,kalm,,,,CH02,delahaye_tehuelche_2015,
mD,kalm-n,,,,CH02,delahaye_tehuelche_2015,
mFF,bāy,,,,CH02,delahaye_tehuelche_2015,
mFM,ḳon,,,,CH02,delahaye_tehuelche_2015,
mMF,bāy,,,,CH02,delahaye_tehuelche_2015,
mMM,ḳon,,,,CH02,delahaye_tehuelche_2015,
mSS,elkˀn,,,,CH02,delahaye_tehuelche_2015,
mSD,elkˀn-n,,,,CH02,delahaye_tehuelche_2015,
mSD,elkˀn-wn,,,,CH02,delahaye_tehuelche_2015,
mDS,elkˀn,,,,CH02,delahaye_tehuelche_2015,
mDD,elkˀn-n,,,,CH02,delahaye_tehuelche_2015,
mDD,elkˀn-wn,,,,CH02,delahaye_tehuelche_2015,
mFB,šawr,,,,CH02,delahaye_tehuelche_2015,
mFB,ye'penk,,,,CH02,delahaye_tehuelche_2015,
mFZ,šawr-wn,,,,CH02,delahaye_tehuelche_2015,
mMB,šawr,,,,CH02,delahaye_tehuelche_2015,
mMZ,šawr-wn,,,,CH02,delahaye_tehuelche_2015,
mBS,mex,,,,CH02,delahaye_tehuelche_2015,
mBD,mex-on,,,,CH02,delahaye_tehuelche_2015,
mZS,mex,,,,CH02,delahaye_tehuelche_2015,
mZD,mex-on,,,,CH02,delahaye_tehuelche_2015,
mFZD,heʔw,,,,CH02,delahaye_tehuelche_2015,
mFZD,heʔm-on,,,,CH02,delahaye_tehuelche_2015,
mFBD,heʔw,,,,CH02,delahaye_tehuelche_2015,
mFBD,heʔm-on,,,,CH02,delahaye_tehuelche_2015,
mMBD,heʔw,,,,CH02,delahaye_tehuelche_2015,
mMBD,heʔm-on,,,,CH02,delahaye_tehuelche_2015,
mMZD,heʔw,,,,CH02,delahaye_tehuelche_2015,
mMZD,heʔm-on,,,,CH02,delahaye_tehuelche_2015,
mFBS,heʔw,,,,CH02,delahaye_tehuelche_2015,
mFBS,heʔm-on,,,,CH02,delahaye_tehuelche_2015,
mFZS,heʔw,,,,CH02,delahaye_tehuelche_2015,
mFZS,heʔm-on,,,,CH02,delahaye_tehuelche_2015,
mMBS,heʔw,,,,CH02,delahaye_tehuelche_2015,
mMBS,heʔm-on,,,,CH02,delahaye_tehuelche_2015,
mMZS,heʔw,,,,CH02,delahaye_tehuelche_2015,
mMZS,heʔm-on,,,,CH02,delahaye_tehuelche_2015,
mH,šē,,,,CH02,delahaye_tehuelche_2015,
mW,šē,,,,CH02,delahaye_tehuelche_2015,
mHF,ēn,,,,CH02,delahaye_tehuelche_2015,
mHM,ēn-on,,,,CH02,delahaye_tehuelche_2015,
mWF,ēn,,,,CH02,delahaye_tehuelche_2015,
mWM,ēn-on,,,,CH02,delahaye_tehuelche_2015,
mSW,arnk-on,,,,CH02,delahaye_tehuelche_2015,
mSW,arnk-on,,,,CH02,delahaye_tehuelche_2015,
mDH,kˀolkˀn,,,,CH02,delahaye_tehuelche_2015,
mDH,kˀolkˀn,,,,CH02,delahaye_tehuelche_2015,
fG,gō,,,,CH02,delahaye_tehuelche_2015,
fB,gō,,,,CH02,delahaye_tehuelche_2015,
fZ,gō,,,,CH02,delahaye_tehuelche_2015,
fyB,gō,,,,CH02,delahaye_tehuelche_2015,
fyZ,gō,,,,CH02,delahaye_tehuelche_2015,
fF,y-ānkˀo,,,,CH02,delahaye_tehuelche_2015,
fM,y-ān,,,,CH02,delahaye_tehuelche_2015,
fC,aml,,,,CH02,delahaye_tehuelche_2015,
fS,kalm,,,,CH02,delahaye_tehuelche_2015,
fD,kalm-n,,,,CH02,delahaye_tehuelche_2015,
fFF,bāy,,,,CH02,delahaye_tehuelche_2015,
fFM,ḳon,,,,CH02,delahaye_tehuelche_2015,
fMF,bāy,,,,CH02,delahaye_tehuelche_2015,
