"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"meB","io",,"male ego's older brother",,,"van2000tidore","vanStaden_2000"
"myB","nongoru",,"male ego's younger brother",,,"van2000tidore",""
"feB","hira",,"female ego's older brother",,,"van2000tidore",""
"fyB","hira",,"female ego's younger brother",,,"van2000tidore",""
"meZ","fira",,"male ego's older sister",,,"van2000tidore",""
"myZ","fira",,"male ego's younger sister",,,"van2000tidore",""
"feZ","io",,"female ego's older sister",,,"van2000tidore",""
"fyZ","nongoru",,"female ego's younger sister",,,"van2000tidore",""
"mF","aba, papa",,"male ego's father",,,"van2000tidore",""
"mM","yaya, mama",,"male ego's mother",,,"van2000tidore",""
"fF","aba, papa",,"female ego's father",,,"van2000tidore",""
"fM","yaya, mama",,"female ego's mother",,,"van2000tidore",""
"mS","ngofa naunau",,"male ego's son",,,"van2000tidore",""
"fS","ngofa naunau",,"female ego's son",,,"van2000tidore",""
"mD","ngofa fayaa",,"male ego's daughter",,,"van2000tidore",""
"fD","ngofa fayaa",,"female ego's daughter",,,"van2000tidore",""
"mSS","cucu",,"male ego's son's son",,,"van2000tidore",""
"mSD","cucu",,"male ego's son's daughter",,,"van2000tidore",""
"mDS","cucu",,"male ego's daughter's son",,,"van2000tidore",""
"mDD","cucu",,"male ego's daughter's daughter",,,"van2000tidore",""
"fSS","cucu",,"female ego's son's son",,,"van2000tidore",""
"fSD","cucu",,"female ego's son's daughter",,,"van2000tidore",""
"fDS","cucu",,"female ego's daughter's son",,,"van2000tidore",""
"fDD","cucu",,"female ego's daugher's daughter",,,"van2000tidore",""
"mFF","tete",,"male ego's father‘s father",,,"van2000tidore",""
"mFM","nene",,"male ego's father's mother",,,"van2000tidore",""
"mMF","tete",,"male ego's mother's father",,,"van2000tidore",""
"mMM","nene",,"male ego's mother's mother",,,"van2000tidore",""
"fFF","tete",,"female ego's father's father",,,"van2000tidore",""
"fFM","nene",,"female ego's father's mother",,,"van2000tidore",""
"fMF","tete",,"female ego's mother's father",,,"van2000tidore",""
"fMM","nene",,"female ego's mother's mother",,,"van2000tidore",""
"meBS","ngofa",,"male ego's older brother's son",,,"van2000tidore",""
"myBS","ngofa",,"male ego's younger brother's son",,,"van2000tidore",""
"meZS","ngofa",,"male ego's older sister's son",,,"van2000tidore",""
"myZS","ngofa",,"male ego's younger sister's son",,,"van2000tidore",""
"meBD","ngofa",,"male ego's older brother's daughter",,,"van2000tidore",""
"myBD","ngofa",,"male ego's younger brother's daughter",,,"van2000tidore",""
"meZD","ngofa",,"male ego's older sister's daughter",,,"van2000tidore",""
"myZD","ngofa",,"male ego's younger sister's daughter",,,"van2000tidore",""
"feBS","ngofa",,"female ego's older brother's son",,,"van2000tidore",""
"fyBS","ngofa",,"female ego's younger brother's son",,,"van2000tidore",""
"feZS","ngofa",,"female ego's older sister's son",,,"van2000tidore",""
"fyZS","ngofa",,"female ego's younger sister's son",,,"van2000tidore",""
"feBD","ngofa",,"female ego's older brother's daughter",,,"van2000tidore",""
"fyBD","ngofa",,"female ego's younger brother's daughter",,,"van2000tidore",""
"feZD","ngofa",,"female ego's older sister's daughter",,,"van2000tidore",""
"fyZD","ngofa",,"female ego's younger sister's daughter",,,"van2000tidore",""
"mFeB","papa, nyira, papa tua",,"male ego's father's older brother",,,"van2000tidore",""
"mFyB","papa, jojo, papa ade",,"male ego's father's younger brother",,,"van2000tidore",""
"mFeZ","goa",,"male ego's father's older sister",,,"van2000tidore",""
"mFyZ","goa",,"male ego's father's younger sister",,,"van2000tidore",""
"mMeB","yuma, om, paman",,"male ego's mother's older brother",,,"van2000tidore",""
"mMyB","yuma, om, paman",,"male ego's mother's younger brother",,,"van2000tidore",""
"mMeZ","mama, nyira",,"male ego's mother's older sister",,,"van2000tidore",""
"mMyZ","mama jojo",,"male ego's mother's younger sister",,,"van2000tidore",""
"fFeB","papa, nyira, papa tua",,"female ego's father's older brother",,,"van2000tidore",""
"fFyB","papa, jojo, papa ade",,"female ego's father's younger brother",,,"van2000tidore",""
"fFeZ","goa",,"female ego's father's older sister",,,"van2000tidore",""
"fFyZ","goa",,"female ego's father's younger sister",,,"van2000tidore",""
"fMeB","mama, nyira",,"female ego's mother's older brother",,,"van2000tidore",""
"fMyB","mama jojo",,"female ego's mother's younger brother",,,"van2000tidore",""
"fMeZ","yuma, om, paman",,"female ego's mother's older sister",,,"van2000tidore",""
"fMyZ","yuma, om, paman",,"female ego's mother's younger sister",,,"van2000tidore",""
"mW","fayaa",,"male ego's wife",,,"van2000tidore",""
"fH","raa",,"female ego‘s husband",,,"van2000tidore",""
"mDH","ngofa naunau",,"male ego's daughter's husband",,,"van2000tidore",""
"fDH","ngofa naunau",,"female ego's daughter's husband",,,"van2000tidore",""
"mSW","ngofa fayaa",,"male ego's son's wife",,,"van2000tidore",""
"fSW","ngofa fayaa",,"female ego's son's wife",,,"van2000tidore",""
"mWF","yodo",,"male ego's wife's father",,,"van2000tidore",""
"mWM","haha",,"male ego's wife's mother",,,"van2000tidore",""
