parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mB,(ha)-adif,,,,ISO16,monodbecquelin_trumai_2015,
mZ,(ha)-adif-le,,,,ISO16,monodbecquelin_trumai_2015,
myB,adif pat,,,,ISO16,monodbecquelin_trumai_2015,
myZ,(ha)-adif-le pat,,,,ISO16,monodbecquelin_trumai_2015,
mF,(ha)-ao,,,,ISO16,monodbecquelin_trumai_2015,
mM,(ha)-atle,,,,ISO16,monodbecquelin_trumai_2015,
mS,(ha)-faxlo,,,,ISO16,monodbecquelin_trumai_2015,
mD,(ha)-atadi,,,,ISO16,monodbecquelin_trumai_2015,
mFF,haiei,,,,ISO16,monodbecquelin_trumai_2015,
mFM,hatseda,,,,ISO16,monodbecquelin_trumai_2015,
mMF,haiei,,,,ISO16,monodbecquelin_trumai_2015,
mMM,hatseda,,,,ISO16,monodbecquelin_trumai_2015,
mSS,(ha) doxo,,,,ISO16,monodbecquelin_trumai_2015,
mDS,(ha) doxo,,,,ISO16,monodbecquelin_trumai_2015,
mFB,(ha)-atatek,,,,ISO16,monodbecquelin_trumai_2015,
mFZ,(ha)-kate,,,,ISO16,monodbecquelin_trumai_2015,
mMZ,(ha)-oʔke,,,,ISO16,monodbecquelin_trumai_2015,
mBS,uaue patʔte,,,,ISO16,monodbecquelin_trumai_2015,
mBD,uaue tʔadi,,,,ISO16,monodbecquelin_trumai_2015,
mZS,uaue patʔte,,,,ISO16,monodbecquelin_trumai_2015,
mZD,uaue tʔadi,,,,ISO16,monodbecquelin_trumai_2015,
mH,(ha)-eše,,,,ISO16,monodbecquelin_trumai_2015,
mW,(ha)-deʔtsi,,,,ISO16,monodbecquelin_trumai_2015,
mWM,(ha) oke,,,,ISO16,monodbecquelin_trumai_2015,
mSW,(ha)-uapke,,,,ISO16,monodbecquelin_trumai_2015,
mSW,(ha)-uapke,,,,ISO16,monodbecquelin_trumai_2015,
mDH,(ha)-uapke,,,,ISO16,monodbecquelin_trumai_2015,
mDH,(ha)-uapke,,,,ISO16,monodbecquelin_trumai_2015,
meB,(ha)-adif,,,,ISO16,monodbecquelin_trumai_2015,Inferred; NA
meZ,(ha)-adif-le,,,,ISO16,monodbecquelin_trumai_2015,Inferred; NA
mFeB,(ha)-atatek,,,,ISO16,monodbecquelin_trumai_2015,Inferred; NA
mFyB,(ha)-atatek,,,,ISO16,monodbecquelin_trumai_2015,Inferred; NA
mFeZ,(ha)-kate,,,,ISO16,monodbecquelin_trumai_2015,Inferred; NA
mFyZ,(ha)-kate,,,,ISO16,monodbecquelin_trumai_2015,Inferred; NA
mMeZ,(ha)-oʔke,,,,ISO16,monodbecquelin_trumai_2015,Inferred; NA
mMyZ,(ha)-oʔke,,,,ISO16,monodbecquelin_trumai_2015,Inferred; NA
meBS,uaue patʔte,,,,ISO16,monodbecquelin_trumai_2015,Inferred; NA
myBS,uaue patʔte,,,,ISO16,monodbecquelin_trumai_2015,Inferred; NA
meBD,uaue tʔadi,,,,ISO16,monodbecquelin_trumai_2015,Inferred; NA
myBD,uaue tʔadi,,,,ISO16,monodbecquelin_trumai_2015,Inferred; NA
meZS,uaue patʔte,,,,ISO16,monodbecquelin_trumai_2015,Inferred; NA
myZS,uaue patʔte,,,,ISO16,monodbecquelin_trumai_2015,Inferred; NA
meZD,uaue tʔadi,,,,ISO16,monodbecquelin_trumai_2015,Inferred; NA
myZD,uaue tʔadi,,,,ISO16,monodbecquelin_trumai_2015,Inferred; NA
fB,(ha)-adif,,,,ISO16,monodbecquelin_trumai_2015,
fZ,(ha)-adif-le,,,,ISO16,monodbecquelin_trumai_2015,
fyB,adif pat,,,,ISO16,monodbecquelin_trumai_2015,
fyZ,(ha)-adif-le pat,,,,ISO16,monodbecquelin_trumai_2015,
fF,(ha)-ao,,,,ISO16,monodbecquelin_trumai_2015,
fM,(ha)-atle,,,,ISO16,monodbecquelin_trumai_2015,
fS,(ha)-faxlo,,,,ISO16,monodbecquelin_trumai_2015,
fD,(ha)-atadi,,,,ISO16,monodbecquelin_trumai_2015,
fFF,haiei,,,,ISO16,monodbecquelin_trumai_2015,
fFM,hatseda,,,,ISO16,monodbecquelin_trumai_2015,
fMF,haiei,,,,ISO16,monodbecquelin_trumai_2015,
fMM,hatseda,,,,ISO16,monodbecquelin_trumai_2015,
fSS,(ha) doxo,,,,ISO16,monodbecquelin_trumai_2015,
fDS,(ha) doxo,,,,ISO16,monodbecquelin_trumai_2015,
fFB,(ha)-atatek,,,,ISO16,monodbecquelin_trumai_2015,
fFZ,(ha)-kate,,,,ISO16,monodbecquelin_trumai_2015,
fMZ,(ha)-oʔke,,,,ISO16,monodbecquelin_trumai_2015,
fBS,uaue patʔte,,,,ISO16,monodbecquelin_trumai_2015,
fBD,uaue tʔadi,,,,ISO16,monodbecquelin_trumai_2015,
fZS,uaue patʔte,,,,ISO16,monodbecquelin_trumai_2015,
fZD,uaue tʔadi,,,,ISO16,monodbecquelin_trumai_2015,
fH,(ha)-eše,,,,ISO16,monodbecquelin_trumai_2015,
fW,(ha)-deʔtsi,,,,ISO16,monodbecquelin_trumai_2015,
fWM,(ha) oke,,,,ISO16,monodbecquelin_trumai_2015,
fSW,(ha)-uapke,,,,ISO16,monodbecquelin_trumai_2015,
fSW,(ha)-uapke,,,,ISO16,monodbecquelin_trumai_2015,
fDH,(ha)-uapke,,,,ISO16,monodbecquelin_trumai_2015,
fDH,(ha)-uapke,,,,ISO16,monodbecquelin_trumai_2015,
feB,(ha)-adif,,,,ISO16,monodbecquelin_trumai_2015,Inferred; NA
feZ,(ha)-adif-le,,,,ISO16,monodbecquelin_trumai_2015,Inferred; NA
fFeB,(ha)-atatek,,,,ISO16,monodbecquelin_trumai_2015,Inferred; NA
fFyB,(ha)-atatek,,,,ISO16,monodbecquelin_trumai_2015,Inferred; NA
fFeZ,(ha)-kate,,,,ISO16,monodbecquelin_trumai_2015,Inferred; NA
fFyZ,(ha)-kate,,,,ISO16,monodbecquelin_trumai_2015,Inferred; NA
fMeZ,(ha)-oʔke,,,,ISO16,monodbecquelin_trumai_2015,Inferred; NA
fMyZ,(ha)-oʔke,,,,ISO16,monodbecquelin_trumai_2015,Inferred; NA
feBS,uaue patʔte,,,,ISO16,monodbecquelin_trumai_2015,Inferred; NA
fyBS,uaue patʔte,,,,ISO16,monodbecquelin_trumai_2015,Inferred; NA
feBD,uaue tʔadi,,,,ISO16,monodbecquelin_trumai_2015,Inferred; NA
fyBD,uaue tʔadi,,,,ISO16,monodbecquelin_trumai_2015,Inferred; NA
feZS,uaue patʔte,,,,ISO16,monodbecquelin_trumai_2015,Inferred; NA
fyZS,uaue patʔte,,,,ISO16,monodbecquelin_trumai_2015,Inferred; NA
feZD,uaue tʔadi,,,,ISO16,monodbecquelin_trumai_2015,Inferred; NA
fyZD,uaue tʔadi,,,,ISO16,monodbecquelin_trumai_2015,Inferred; NA
