"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"meB","yakai",,"male ego's older brother",,,"foley1997watam",
"myB","yap",,"male ego's younger brother",,,"foley1997watam",
"feB","ondaŋ",,"female ego's older brother",,,"foley1997watam",
"fyB","ondaŋ",,"female ego's younger brother",,,"foley1997watam",
"meZ","mbi",,"male ego's older sister",,,"foley1997watam",
"myZ","mbi",,"male ego's younger sister",,,"foley1997watam",
"feZ","yakai",,"female ego's older sister",,,"foley1997watam",
"fyZ","yap",,"female ego's younger sister",,,"foley1997watam",
"mF","aes",,"male ego's father",,,"foley1997watam",
"mM","aem",,"male ego's mother",,,"foley1997watam",
"fF","aes",,"female ego's father",,,"foley1997watam",
"fM","aem",,"female ego's mother",,,"foley1997watam",
"mS","iniŋ",,"male ego's son",,,"foley1997watam",
"fS","iniŋ",,"female ego's son",,,"foley1997watam",
"mD","namoŋ",,"male ego's daughter",,,"foley1997watam",
"fD","namoŋ",,"female ego's daughter",,,"foley1997watam",
"mSS","rumbun",,"male ego's son's son",,,"foley1997watam",
"mSD","rumbun",,"male ego's son's daughter",,,"foley1997watam",
"mDS","rumbun",,"male ego's daughter's son",,,"foley1997watam",
"mDD","rumbun",,"male ego's daughter's daughter",,,"foley1997watam",
"fSS","rumbun",,"female ego's son's son ",,,"foley1997watam",
"fSD","rumbun",,"female ego's son's daughter ",,,"foley1997watam",
"fDS","rumbun",,"female ego's daughter's son ",,,"foley1997watam",
"fDD","rumbun",,"female ego's daugher's daughter ",,,"foley1997watam",
"mFF","nenkai",,"male ego's father‘s father",,,"foley1997watam",
"mFM","nenkai",,"male ego's father's mother",,,"foley1997watam",
"mMF","nenkai",,"male ego's mother's father",,,"foley1997watam",
"mMM","nenkai",,"male ego's mother's mother",,,"foley1997watam",
"fFF","nenkai",,"female ego's father's father ",,,"foley1997watam",
"fFM","nenkai",,"female ego's father's mother ",,,"foley1997watam",
"fMF","nenkai",,"female ego's mother's father ",,,"foley1997watam",
"fMM","nenkai",,"female ego's mother's mother ",,,"foley1997watam",
"meBS","iniŋ",,"male ego's older brother's son ",,,"foley1997watam",
"myBS","iniŋ",,"male ego's younger brother's son ",,,"foley1997watam",
"meZS","amuk",,"male ego's older sister's son ",,,"foley1997watam",
"myZS","amuk",,"male ego's younger sister's son ",,,"foley1997watam",
"meBD","namoŋ",,"male ego's older brother's daughter ",,,"foley1997watam",
"myBD","namoŋ",,"male ego's younger brother's daughter ",,,"foley1997watam",
"meZD","amuk",,"male ego's older sister's daughter ",,,"foley1997watam",
"myZD","amuk",,"male ego's younger sister's daughter ",,,"foley1997watam",
"feBS","iniŋ",,"female ego's older brother's son ",,,"foley1997watam",
"fyBS","iniŋ",,"female ego's younger brother's son ",,,"foley1997watam",
"feZS","iniŋ",,"female ego's older sister's son ",,,"foley1997watam",
"fyZS","iniŋ",,"female ego's younger sister's son ",,,"foley1997watam",
"feBD","namoŋ",,"female ego's older brother's daughter ",,,"foley1997watam",
"fyBD","namoŋ",,"female ego's younger brother's daughter ",,,"foley1997watam",
"feZD","namoŋ",,"female ego's older sister's daughter ",,,"foley1997watam",
"fyZD","namoŋ",,"female ego's younger sister's daughter ",,,"foley1997watam",
"mFeB","aes",,"male ego's father's older brother ",,,"foley1997watam",
"mFyB","aes",,"male ego's father's younger brother ",,,"foley1997watam",
"mFeZ","namkwae",,"male ego's father's older sister ",,,"foley1997watam",
