parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
meB,age',,male ego's older brother,,,,
myB,du,,male ego's younger brother,,,,
feB,age',,female ego's older brother,,,,
fyB,du,,female ego's younger brother,,,,
meZ,gege',,male ego's older sister,,,,
myZ,nuN,,male ego's younger sister,,,,
feZ,gege',,female ego's older sister,,,,
fyZ,nuN,,female ego's younger sister,,,,
mF,ame',,male ego's father,,,,
mM,eni',,male ego's mother,,,,
fF,ame',,female ego's father,,,,
fM,eni',,female ego's mother,,,,
mS,χaχeji,,male ego's son,,,,
fS,χaχeji,,female ego's son,,,,
mD,saχenji,,male ego's daughter,,,,
fD,saχenji,,female ego's daughter,,,,
mSS,omolu χaχeji,,male ego's son's son,,,,
mSD,omolu saχenji,,male ego's son's daughter,,,,
mDS,Gole omolu χaχeji,,male ego's daughter's son,,,,
mDD,Gole omolu saχenji,,male ego's daughter's daughter,,,,
fSS,omolu χaχeji,,female ego's son's son,,,,
fSD,omolu saχenji,,female ego's son's daughter,,,,
fDS,Gole omolu χaχeji,,female ego's daughter's son,,,,
fDD,Gole omolu saχenji,,female ego's daugher's daughter,,,,
mFF,eyi',,male ego's father‘s father,,,,
mFM,mame',,male ego's father's mother,,,,
mMF,Gole eyi',,male ego's mother's father,,,,
mMM,Gole mame',,male ego's mother's mother,,,,
fFF,eyi',,female ego's father's father,,,,
fFM,mame',,female ego's father's mother,,,,
fMF,Gole eyi',,female ego's mother's father,,,,
fMM,Gole mame',,female ego's mother's mother,,,,
meBS,"jyalxi,jyalxe",,male ego's older brother's son,,,,
myBS,"jyalxi,jyalxe",,male ego's younger brother's son,,,,
meZS,ina,,male ego's older sister's son,,,,
myZS,ina,,male ego's younger sister's son,,,,
meBD,"jyalxi saχenji,jyalxe saχenji",,male ego's older brother's daughter,,,,
myBD,"jyalxi saχenji,jyalxe saχenji",,male ego's younger brother's daughter,,,,
meZD,ina saχenji,,male ego's older sister's daughter,,,,
myZD,ina saχenji,,male ego's younger sister's daughter,,,,
feBS,"jyalxi,jyalxe",,female ego's older brother's son,,,,
fyBS,"jyalxi,jyalxe",,female ego's younger brother's son,,,,
feZS,ina,,female ego's older sister's son,,,,
fyZS,ina,,female ego's younger sister's son,,,,
feBD,"jyalxi saχenji,jyalxe saχenji",,female ego's older brother's daughter,,,,
fyBD,"jyalxi saχenji,jyalxe saχenji",,female ego's younger brother's daughter,,,,
feZD,ina saχenji,,female ego's older sister's daughter,,,,
fyZD,ina saχenji,,female ego's younger sister's daughter,,,,
mFeB,ambame',,male ego's father's older brother,,,,
mFyB,ajyame',,male ego's father's younger brother,,,,
mFeZ,guxu',,male ego's father's older sister,,,,
mFyZ,guxu',,male ego's father's younger sister,,,,
mMeB,ame naxce',,male ego's mother's older brother,,,,
mMyB,naxce',,male ego's mother's younger brother,,,,
mMeZ,dexeme',,male ego's mother's older sister,,,,
mMyZ,dexeme',,male ego's mother's younger sister,,,,
fFeB,ambame',,female ego's father's older brother,,,,
fFyB,ajyame',,female ego's father's younger brother,,,,
fFeZ,guxu',,female ego's father's older sister,,,,
fFyZ,guxu',,female ego's father's younger sister,,,,
fMeB,ame naxce',,female ego's mother's older brother,,,,
fMyB,naxce',,female ego's mother's younger brother,,,,
fMeZ,dexeme',,female ego's mother's older sister,,,,
fMyZ,dexeme',,female ego's mother's younger sister,,,,
mW,"xexe,sarχeN",,male ego's wife,,,,
fH,yexeN,,female ego‘s husband,,,,
mDH,χocuχuN,,male ego's daughter's husband,,,,
fDH,χocuχuN,,female ego's daughter's husband,,,,
mSW,oruN,,male ego's son's wife,,,,
fSW,oruN,,female ego's son's wife,,,,
mWF,amχe,,male ego's wife's father,,,,
mWM,emxe,,male ego's wife's mother,,,,
mWB,"age',age'ni'",,male ego's wife's brother,,,,
mWZ,"gege',gege'ni'",,male ego's wife's sister,,,,
fHF,"ameχe',ameχe",,female ego's husband's father,,,,
fHM,"emexe',emexe",,female ego's husband's mother,,,,
fHB,"age',age'ni'",,female ego's husband's brother,,,,
fHZ,"gege'ni,nuN",,female ego's husband's sister,,,,gege'ni=elder sister nuN=younger sister
mBW,ase,,male ego's brother's wife,,,,
fBW,ase,,female ego's brother's wife,,,,
mZH,gufuni',,male ego's sister's husband,,,,
fZH,gufuni',,female ego's sister's husband,,,,
mFBS,"jyalxi,jyalxe",,male ego's father's brother's son,,,,
mFZS,ina,,male ego's father's sister's son,,,,
mMBS,"jyalxi,jyalxe",,male ego's mother's brother's son,,,,
mMZS,ina,,male ego's mother's sister's son,,,,
mFBD,"jyalxi saχenji,jyalxe saχenji",,male ego's father's brother's daughter,,,,
mFZD,ina saχenji,,male ego's father's sister's daughter,,,,
mMBD,"jyalxi saχenji,jyalxe saχenji",,male ego's mother's brother's daughter,,,,
mMZD,ina saχenji,,male ego's mother's sister's daughter,,,,
fFBS,"jyalxi,jyalxe",,female ego's father's brother's son,,,,
fFZS,ina,,female ego's father's sister's son,,,,
fMBS,"jyalxi,jyalxe",,female ego's mother's brother's son,,,,
fMZS,ina,,female ego's mother's sister's son,,,,
fFBD,"jyalxi saχenji,jyalxe saχenji",,female ego's father's brother's daughter,,,,
fFZD,ina saχenji,,female ego's father's sister's daughter,,,,
fMBD,"jyalxi saχenji,jyalxe saχenji",,female ego's mother's brother's daughter,,,,
fMZD,ina saχenji,,female ego's mother's sister's daughter,,,,
