parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mB,waym,,,,ISO18,eissmann_yagan_2015,
mZ,way-kipa,,,,ISO18,eissmann_yagan_2015,
myB,ašouwa,,,,ISO18,eissmann_yagan_2015,
myZ,uš-kipa,,,,ISO18,eissmann_yagan_2015,
mF,imu,,,,ISO18,eissmann_yagan_2015,
mF,tapwin,,,,ISO18,eissmann_yagan_2015,
mM,tapi,,,,ISO18,eissmann_yagan_2015,
mS,maku,,,,ISO18,eissmann_yagan_2015,
mD,ma-kipa,,,,ISO18,eissmann_yagan_2015,
mFF,ušwam,,,,ISO18,eissmann_yagan_2015,
mFM,kuluna,,,,ISO18,eissmann_yagan_2015,
mMF,ušwam,,,,ISO18,eissmann_yagan_2015,
mMM,kuluna,,,,ISO18,eissmann_yagan_2015,
mSS,makutsa,,,,ISO18,eissmann_yagan_2015,
mSD,makutsa,,,,ISO18,eissmann_yagan_2015,
mDS,makutsa,,,,ISO18,eissmann_yagan_2015,
mDD,makutsa,,,,ISO18,eissmann_yagan_2015,
mFB,tanowa,,,,ISO18,eissmann_yagan_2015,
mFZ,tanowa-kipa,,,,ISO18,eissmann_yagan_2015,
mMB,tanowa,,,,ISO18,eissmann_yagan_2015,
mMZ,tanowa-kipa,,,,ISO18,eissmann_yagan_2015,
mBS,yamana-maku,,,,ISO18,eissmann_yagan_2015,
mBD,yamana-kipa,,,,ISO18,eissmann_yagan_2015,
mZS,yamana-maku,,,,ISO18,eissmann_yagan_2015,
mZD,yamana-kipa,,,,ISO18,eissmann_yagan_2015,
mFZD,šamakuš,,,,ISO18,eissmann_yagan_2015,
mFBD,šamakuš,,,,ISO18,eissmann_yagan_2015,
mMBD,šamakuš,,,,ISO18,eissmann_yagan_2015,
mMZD,šamakuš,,,,ISO18,eissmann_yagan_2015,
mFBS,šamakuš,,,,ISO18,eissmann_yagan_2015,
mFZS,šamakuš,,,,ISO18,eissmann_yagan_2015,
mMBS,šamakuš,,,,ISO18,eissmann_yagan_2015,
mMZS,šamakuš,,,,ISO18,eissmann_yagan_2015,
mH,tuku,,,,ISO18,eissmann_yagan_2015,
mW,tuku,,,,ISO18,eissmann_yagan_2015,
mHF,masaku,,,,ISO18,eissmann_yagan_2015,
mHM,masa-kipa,,,,ISO18,eissmann_yagan_2015,
mWF,masaku,,,,ISO18,eissmann_yagan_2015,
mWM,masa-kipa,,,,ISO18,eissmann_yagan_2015,
mSW,masa-kipa,,,,ISO18,eissmann_yagan_2015,
mSW,masa-kipa,,,,ISO18,eissmann_yagan_2015,
mDH,masaku,,,,ISO18,eissmann_yagan_2015,
mDH,masaku,,,,ISO18,eissmann_yagan_2015,
fB,waym,,,,ISO18,eissmann_yagan_2015,
fZ,way-kipa,,,,ISO18,eissmann_yagan_2015,
fyB,ašouwa,,,,ISO18,eissmann_yagan_2015,
fyZ,uš-kipa,,,,ISO18,eissmann_yagan_2015,
fF,imu,,,,ISO18,eissmann_yagan_2015,
fF,tapwin,,,,ISO18,eissmann_yagan_2015,
fM,tapi,,,,ISO18,eissmann_yagan_2015,
fS,maku,,,,ISO18,eissmann_yagan_2015,
fD,ma-kipa,,,,ISO18,eissmann_yagan_2015,
fFF,ušwam,,,,ISO18,eissmann_yagan_2015,
fFM,kuluna,,,,ISO18,eissmann_yagan_2015,
fMF,ušwam,,,,ISO18,eissmann_yagan_2015,
fMM,kuluna,,,,ISO18,eissmann_yagan_2015,
fSS,makutsa,,,,ISO18,eissmann_yagan_2015,
fSD,makutsa,,,,ISO18,eissmann_yagan_2015,
fDS,makutsa,,,,ISO18,eissmann_yagan_2015,
fDD,makutsa,,,,ISO18,eissmann_yagan_2015,
fFB,tanowa,,,,ISO18,eissmann_yagan_2015,
fFZ,tanowa-kipa,,,,ISO18,eissmann_yagan_2015,
fMB,tanowa,,,,ISO18,eissmann_yagan_2015,
fMZ,tanowa-kipa,,,,ISO18,eissmann_yagan_2015,
fBS,yamana-maku,,,,ISO18,eissmann_yagan_2015,
fBD,yamana-kipa,,,,ISO18,eissmann_yagan_2015,
fZS,yamana-maku,,,,ISO18,eissmann_yagan_2015,
fZD,yamana-kipa,,,,ISO18,eissmann_yagan_2015,
fFZD,šamakuš,,,,ISO18,eissmann_yagan_2015,
fFBD,šamakuš,,,,ISO18,eissmann_yagan_2015,
fMBD,šamakuš,,,,ISO18,eissmann_yagan_2015,
fMZD,šamakuš,,,,ISO18,eissmann_yagan_2015,
fFBS,šamakuš,,,,ISO18,eissmann_yagan_2015,
fFZS,šamakuš,,,,ISO18,eissmann_yagan_2015,
fMBS,šamakuš,,,,ISO18,eissmann_yagan_2015,
fMZS,šamakuš,,,,ISO18,eissmann_yagan_2015,
fH,tuku,,,,ISO18,eissmann_yagan_2015,
fW,tuku,,,,ISO18,eissmann_yagan_2015,
fHF,masaku,,,,ISO18,eissmann_yagan_2015,
fHM,masa-kipa,,,,ISO18,eissmann_yagan_2015,
fWF,masaku,,,,ISO18,eissmann_yagan_2015,
fWM,masa-kipa,,,,ISO18,eissmann_yagan_2015,
fSW,masa-kipa,,,,ISO18,eissmann_yagan_2015,
fSW,masa-kipa,,,,ISO18,eissmann_yagan_2015,
fDH,masaku,,,,ISO18,eissmann_yagan_2015,
fDH,masaku,,,,ISO18,eissmann_yagan_2015,
