parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mB,aparli-aparli,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mZ,aparli-aparli,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
meB,nhuthi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
myB,kupaka,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
meZ,kaku,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
myZ,kupaka,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mF,apityi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mF,nhiya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mM,lhuka,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mS,artaka,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mS,piyaka,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mS,wartu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mD,artaka,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mD,piyaka,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mD,wartu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFF,katnhini,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFM,amanyi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFM,pilya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMF,thanti,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMM,katnhini,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mSS,amanyi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mSS,katnhini,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mSD,amanyi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mSD,katnhini,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mDS,katnhini,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mDS,thanti,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mDD,katnhini,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mDD,thanti,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFB,apityi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFZ,ngawili,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMB,kakaka,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMB,ngamakarti,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mBS,kulakula,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mBD,kulakula,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mBD,parriyarrityi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mZS,kulakula,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mZS,thitnarra,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mZS,wartu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mZD,kulakula,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mZD,thitnarra,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mZD,wartu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFZD,pilya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMBD,pilya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFZS,withiwa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMBS,withiwa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mH,nhupa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mW,nhupa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mHF,tharu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mHM,piyaka,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mWF,kakaRa tharu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mWF,tharu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mWM,yampuwa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mBW,pilya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mBW,yararti,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mZH,imarri,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mZH,katlarri,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mZH,yantiyanti,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mZH,yararti,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mWB,kapmarri,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mWB,yantiyanti,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mWZ,kapmarri,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mHB,kapmarri,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mHZ,kapmarri,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mHZ,katlarri,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mSW,thitnarra,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mDH,thitnarra,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mDH,wartu-wartu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fB,aparli-aparli,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fZ,aparli-aparli,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
feB,nhuthi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fyB,kupaka,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
feZ,kaku,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fyZ,kupaka,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fF,apityi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fF,nhiya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fM,lhuka,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fS,artaka,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fS,piyaka,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fS,wartu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fD,artaka,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fD,piyaka,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fD,wartu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fFF,katnhini,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fFM,amanyi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fFM,pilya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fMF,thanti,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fMM,katnhini,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fSS,amanyi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fSS,katnhini,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fSD,amanyi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fSD,katnhini,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fDS,katnhini,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fDS,thanti,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fDD,katnhini,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fDD,thanti,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fFB,apityi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fFZ,ngawili,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fMB,kakaka,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fMB,ngamakarti,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fBS,kulakula,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fBD,kulakula,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fBD,parriyarrityi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fZS,kulakula,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fZS,thitnarra,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fZS,wartu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fZD,kulakula,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fZD,thitnarra,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fZD,wartu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fFZD,pilya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fMBD,pilya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fFZS,withiwa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fMBS,withiwa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fH,nhupa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fW,nhupa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fHF,tharu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fHM,piyaka,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fWF,kakaRa tharu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fWF,tharu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fWM,yampuwa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fBW,pilya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fBW,yararti,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fZH,imarri,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fZH,katlarri,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fZH,yantiyanti,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fZH,yararti,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fWB,kapmarri,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fWB,yantiyanti,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fWZ,kapmarri,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fHB,kapmarri,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fHZ,kapmarri,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fHZ,katlarri,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fSW,thitnarra,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fDH,thitnarra,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fDH,wartu-wartu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
meB,noota,noːta,,,PN1,bowern_chirila_2016,
meB,nooto,noːto,,,PN1,bowern_chirila_2016,
meB,sthutti,st̪utti,,,PN1,bowern_chirila_2016,
meZ,kakoo,kakoː,,,PN1,bowern_chirila_2016,
meZ,karkoo,kaɹkoː,,,PN1,bowern_chirila_2016,
meZ,kuppali,kuppali,,,PN1,bowern_chirila_2016,
mF,ainja,ainja,,,PN1,bowern_chirila_2016,
mF,neia,neia,,,PN1,bowern_chirila_2016,
mM,alooka,aluka,,,PN1,bowern_chirila_2016,
mM,stharluka,st̪aɭuka,,,PN1,bowern_chirila_2016,
feB,noota,noːta,,,PN1,bowern_chirila_2016,
feB,nooto,noːto,,,PN1,bowern_chirila_2016,
feB,sthutti,st̪utti,,,PN1,bowern_chirila_2016,
feZ,kakoo,kakoː,,,PN1,bowern_chirila_2016,
feZ,karkoo,kaɹkoː,,,PN1,bowern_chirila_2016,
feZ,kuppali,kuppali,,,PN1,bowern_chirila_2016,
fF,ainja,ainja,,,PN1,bowern_chirila_2016,
fF,neia,neia,,,PN1,bowern_chirila_2016,
fM,alooka,aluka,,,PN1,bowern_chirila_2016,
fM,stharluka,st̪aɭuka,,,PN1,bowern_chirila_2016,
