parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mMF,ngathi,ŋat̪i,,,PN1,bowern_chirila_2016,"""and similar kinsmen"" (not a useful comment)"
mDS,gamiñarr,gamiɲar,,,PN1,bowern_chirila_2016,
mDD,gamiñarr,gamiɲar,,,PN1,bowern_chirila_2016,
mZS,rlambarra,ɭambara,,,PN1,bowern_chirila_2016,
mZD,rlambarra,ɭambara,,,PN1,bowern_chirila_2016,
fMF,ngathi,ŋat̪i,,,PN1,bowern_chirila_2016,"""and similar kinsmen"" (not a useful comment)"
fZS,rlambarra,ɭambara,,,PN1,bowern_chirila_2016,
fZD,rlambarra,ɭambara,,,PN1,bowern_chirila_2016,
fHZ,dhuway,d̪uway,,,PN1,bowern_chirila_2016,
mM,nga:rndi,ŋaːɳdi,,,PN1,bowern_chirila_2016,
mMM,ma:ri,maːɹi,,,PN1,bowern_chirila_2016,
mMB,ngapipi7,ŋapipiʔ,,,PN1,bowern_chirila_2016,
mW,galay,galay,,,PN1,bowern_chirila_2016,
mWB,galay,galay,,,PN1,bowern_chirila_2016,
fM,nga:rndi,ŋaːɳdi,,,PN1,bowern_chirila_2016,
fMM,ma:ri,maːɹi,,,PN1,bowern_chirila_2016,
fMB,ngapipi7,ŋapipiʔ,,,PN1,bowern_chirila_2016,
fH,dhuway,d̪uway,,,PN1,bowern_chirila_2016,
mZ,yapa,,,,PN17(169),dixon_djapu_1983,
mF,ma:rlu,,,,PN17(165),dixon_djapu_1983,"glossed as ""daddy"""
mM,amala,,,,PN17(160),dixon_djapu_1983,"glossed as ""mummy"""
mFF,ma:ri,,,,PN17(165),dixon_djapu_1983,
mFM,momu,,,,PN17(166),dixon_djapu_1983,
mMM,ma:yi,,,,PN17(165),dixon_djapu_1983,
mFZ,mukul ba:pa,,,,PN17(166),dixon_djapu_1983,
mMB,ŋapipi,,,,PN17(167),dixon_djapu_1983,
mZS,waku,,,,PN17(168),dixon_djapu_1983,
mZD,waku,,,,PN17(168),dixon_djapu_1983,
mWM,mukul rumaru,,,,PN17(166),dixon_djapu_1983,
feZ,yapa,,,,PN17(169),dixon_djapu_1983,
fyZ,gutha,,,,PN17(164),dixon_djapu_1983,
fF,ma:rlu,,,,PN17(165),dixon_djapu_1983,"glossed as ""daddy"""
fM,amala,,,,PN17(160),dixon_djapu_1983,"glossed as ""mummy"""
fFF,ma:ri,,,,PN17(165),dixon_djapu_1983,
fFM,momu,,,,PN17(166),dixon_djapu_1983,
fMM,ma:yi,,,,PN17(165),dixon_djapu_1983,
fFZ,mukul ba:pa,,,,PN17(166),dixon_djapu_1983,
fMB,ŋapipi,,,,PN17(167),dixon_djapu_1983,
fBS,ga:thu,,,,PN17(163),dixon_djapu_1983,
fBD,ga:thu,,,,PN17(163),dixon_djapu_1983,
fDH,guurruŋ,,,,PN17(164),dixon_djapu_1983,
meB,wa:wa,,,,PN17(168),dixon_djapu_1983,
myB,gutha,,,,PN17(164),dixon_djapu_1983,
mM,nga:rndi,ŋaːɳdi,,,PN17(167),dixon_djapu_1983,
mC,ga:thu,,,,PN17(163),dixon_djapu_1983,
mMF,ŋathi,,,,PN17(167),dixon_djapu_1983,
mMM,ma:ri,maːɹi,,,PN17(165),dixon_djapu_1983,
mW,galay,galay,,,PN17(163),dixon_djapu_1983,
feB,wa:wa,,,,PN17(168),dixon_djapu_1983,
fyB,gutha,,,,PN17(164),dixon_djapu_1983,
fM,nga:rndi,ŋaːɳdi,,,PN17(167),dixon_djapu_1983,
fC,waku,,,,PN17(168),dixon_djapu_1983,
fMF,ŋathi,,,,PN17(167),dixon_djapu_1983,
fMM,ma:ri,maːɹi,,,PN17(165),dixon_djapu_1983,
fH,dhuway,d̪uway,,,PN17(162),dixon_djapu_1983,
mB,nhu:piya,,,,PN22(227),heath_dhuwal_1980,
mZ,yapa,,,,"PN22(24, 234)",heath_dhuwal_1980,
mZ,mirdiku,,,,PN22(225),heath_dhuwal_1980,term of disrespect
mF,ba:pa,,,,"PN22(24, 207)",heath_dhuwal_1980,
mF,ma:lu7,,,,PN22(223),heath_dhuwal_1980,
mF,mu:rri,,,,PN22(226),heath_dhuwal_1980,
mM,ŋama7,,,,PN22(228),heath_dhuwal_1980,
mC,jama,,,,PN22(220),heath_dhuwal_1980,
mC,walkurr,,,,PN22(232),heath_dhuwal_1980,
mC,yucuwarla,,,,PN22(235),heath_dhuwal_1980,
