parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mB,nieamurra,nieamura,,,PN1,bowern_chirila_2016,Mount Feeling variety
mB,ngathata,,,,PN2,noauthor_austkin_nodate,
mB,nhiyi,,,,PN2,noauthor_austkin_nodate,
mB,kanhini-ngathata,,,,PN2,noauthor_austkin_nodate,
mB,nhiyini,,,,PN2,noauthor_austkin_nodate,
mZ,kaku,,,,PN2,noauthor_austkin_nodate,
mZ,ngathata,,,,PN2,noauthor_austkin_nodate,
mZ,ngathata,,,,PN2,noauthor_austkin_nodate,
meB,nhiyi,n̪iyi,,,PN1,bowern_chirila_2016,Diyari variety
meB,niehie,niehie,,,PN1,bowern_chirila_2016,Mount Feeling variety
meB,niyi,niyi,,,PN1,bowern_chirila_2016,Diyari variety
myB,ngathata,ŋat̪ata,,,PN1,bowern_chirila_2016,Diyari variety
meZ,kakoo,kakoː,,,PN1,bowern_chirila_2016,Mount Feeling variety
meZ,kaku,kaku,,,PN1,bowern_chirila_2016,Diyari variety
myZ,ngathata,ŋat̪ata,,,PN1,bowern_chirila_2016,Diyari variety
mF,apirrie,apirie,,,PN1,bowern_chirila_2016,Mount Feeling variety
mM,andrie,antɹi,,,PN1,bowern_chirila_2016,Mount Feeling variety
mM,ngandrri,,,,PN2,noauthor_austkin_nodate,
mC,koopawura,koːpawuɹa,,,PN1,bowern_chirila_2016,"Mount Feeling variety, glossed first as ""children"" then as ""child"""
mC,kupa,kupa,,,PN1,bowern_chirila_2016,Diyari variety
mS,athamoora,at̪amoːɹa,,,PN1,bowern_chirila_2016,Mount Feeling variety
mS,ngathamurra,,,,PN2,noauthor_austkin_nodate,
mD,athamoora,at̪amoːɹa,,,PN1,bowern_chirila_2016,Mount Feeling variety
mD,ngathamurra,,,,PN2,noauthor_austkin_nodate,
mFF,adada,adada,,,PN1,bowern_chirila_2016,Mount Feeling variety
mFF,yanku,,,,PN2,noauthor_austkin_nodate,
mFM,kunninie,kunninie,,,PN1,bowern_chirila_2016,Mount Feeling variety
mFM,kunninnie,kunninnie,,,PN1,bowern_chirila_2016,Mount Feeling variety
mFM,kami,,,,PN2,noauthor_austkin_nodate,
mMF,adada,adada,,,PN1,bowern_chirila_2016,Mount Feeling variety
mMF,yanku,yanku,,,PN1,bowern_chirila_2016,Diyari variety
mMF,ngardarda,,,,PN2,noauthor_austkin_nodate,
mMF,kami,,,,PN2,noauthor_austkin_nodate,
mMF,ngardarda-ngathata,,,,PN2,noauthor_austkin_nodate,
mMM,kanini,kanini,,,PN1,bowern_chirila_2016,Diyari variety
