parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
meB,"buyun, djadja, murin",,male ego's older brother,,,KiteWurm2004,
myB,"buyun, djuwaŋ, gandanbiŋ",,male ego's younger brother,,,KiteWurm2004,
feB,"buyun, djadja, murin",,female ego's older brother,,,KiteWurm2004,
fyB,"buyun, djuwaŋ, gandanbiŋ",,female ego's younger brother,,,KiteWurm2004,
meZ,djadji,,male ego's older sister,,,KiteWurm2004,
myZ,"gandan, gandanbiŋgan",,male ego's younger sister,,,KiteWurm2004,
feZ,djadji,,female ego's older sister,,,KiteWurm2004,
fyZ,"gandan, gandanbiŋgan",,female ego's younger sister,,,KiteWurm2004,
mF,"buwaː, babu",,male ego's father,,,KiteWurm2004,
mM,"dudu, maːm, dom",,male ego's mother,,,KiteWurm2004,
fF,"buwaː, babu",,female ego's father,,,KiteWurm2004,
fM,"dudu, maːm, dom",,female ego's mother,,,KiteWurm2004,
mD,ganin,,male ego's daughter,,,KiteWurm2004,
fD,ganin,,female ego's daughter,,,KiteWurm2004,
mFF,wayu,,male ego's father‘s father,,,KiteWurm2004,
mFM,wayundanmi,,male ego's father's mother,,,KiteWurm2004,
mMF,ŋadja,,male ego's mother's father,,,KiteWurm2004,
mMM,buyar,,male ego's mother's mother,,,KiteWurm2004,
fFF,wayu,,female ego's father's father,,,KiteWurm2004,
fFM,wayundanmi,,female ego's father's mother,,,KiteWurm2004,
fMF,ŋadja,,female ego's mother's father,,,KiteWurm2004,
fMM,buyar,,female ego's mother's mother,,,KiteWurm2004,
meBS,ŋugarim,,male ego's older brother's son,,,KiteWurm2004,
myBS,ŋugarim,,male ego's younger brother's son,,,KiteWurm2004,
meZS,ŋugarim,,male ego's older sister's son,,,KiteWurm2004,
myZS,ŋugarim,,male ego's younger sister's son,,,KiteWurm2004,
feBS,ŋugarim,,female ego's older brother's son,,,KiteWurm2004,
fyBS,ŋugarim,,female ego's younger brother's son,,,KiteWurm2004,
feZS,ŋugarim,,female ego's older sister's son,,,KiteWurm2004,
fyZS,ŋugarim,,female ego's younger sister's son,,,KiteWurm2004,
feBD,ŋugarim,,female ego's older brother's daughter,,,KiteWurm2004,
mFeB,babu,,male ego's father's older brother,,,KiteWurm2004,
mFyB,babu,,male ego's father's younger brother,,,KiteWurm2004,
mFeZ,gami,,male ego's father's older sister,,,KiteWurm2004,
mFyZ,gami,,male ego's father's younger sister,,,KiteWurm2004,
mMeB,mamaː,,male ego's mother's older brother,,,KiteWurm2004,
mMyB,mamaː,,male ego's mother's younger brother,,,KiteWurm2004,
mMeZ,ŋuweŋ,,male ego's mother's older sister,,,KiteWurm2004,
mMyZ,ŋuweŋ,,male ego's mother's younger sister,,,KiteWurm2004,
fFeB,babu,,female ego's father's older brother,,,KiteWurm2004,
fFyB,babu,,female ego's father's younger brother,,,KiteWurm2004,
fFeZ,gami,,female ego's father's older sister,,,KiteWurm2004,
fFyZ,gami,,female ego's father's younger sister,,,KiteWurm2004,
fMeB,mamaː,,female ego's mother's older brother,,,KiteWurm2004,
fMyB,mamaː,,female ego's mother's younger brother,,,KiteWurm2004,
fMeZ,ŋuweŋ,,female ego's mother's older sister,,,KiteWurm2004,
fMyZ,ŋuweŋ,,female ego's mother's younger sister,,,KiteWurm2004,
mW,njowamgan,,male ego's wife,,,KiteWurm2004,
fH,njowam,,female ego‘s husband,,,KiteWurm2004,
mWM,ŋuweŋ,,male ego's wife's mother,,,KiteWurm2004,
mWB,gimŋen,,male ego's wife's brother,,,KiteWurm2004,
fHM,ŋuweŋ,,female ego's husband's mother,,,KiteWurm2004,
fHB,gimŋen,,female ego's husband's brother,,,KiteWurm2004,
mZH,gimŋen,,male ego's sister's husband,,,KiteWurm2004,
fZH,gimŋen,,female ego's sister's husband,,,KiteWurm2004,
mMBS,yumandanmi,,male ego's mother's brother's son,,,KiteWurm2004,
fMBS,yumandanmi,,female ego's mother's brother's son,,,KiteWurm2004,
mMeBS,yumandanmi,,male ego's mother's brother's son,,,KiteWurm2004,Inferred; NA
mMyBS,yumandanmi,,male ego's mother's brother's son,,,KiteWurm2004,Inferred; NA
mMBeS,yumandanmi,,male ego's mother's brother's son,,,KiteWurm2004,Inferred; NA
mMByS,yumandanmi,,male ego's mother's brother's son,,,KiteWurm2004,Inferred; NA
fMeBS,yumandanmi,,female ego's mother's brother's son,,,KiteWurm2004,Inferred; NA
fMyBS,yumandanmi,,female ego's mother's brother's son,,,KiteWurm2004,Inferred; NA
fMBeS,yumandanmi,,female ego's mother's brother's son,,,KiteWurm2004,Inferred; NA
fMByS,yumandanmi,,female ego's mother's brother's son,,,KiteWurm2004,Inferred; NA
