parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mB,maarlu\',,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mZ,rirrkminy,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mZ,yapa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
meB,dyukarrngu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
meB,waawa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
myB,gutha\',,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
meZ,yapa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
myZ,gutha\',,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mF,baapa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mF,dyawurlpa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mF,gunhu\',,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mF,maarlu\',,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mM,ngaarnrdi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mM,ngama\',,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFM,muumu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMF,ngathi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMM,maari,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mSS,gaminyarr,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mSS,marratya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mSD,gaminyarr,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mSD,marratya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mDS,gaminyarr,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mDS,gutharra,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mDD,gaminyarr,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mDD,gutharra,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFB,baapa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFB,gunhu\',,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFB,maarlu\',,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFZ,mukul,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMB,gawal,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMB,nganakal,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMB,ngapipi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMZ,ngaarnrdi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMZ,ngama\',,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFBD,yapa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMBD,galay,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMZD,yapa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFBS,gutha\',,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMBS,galay,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mH,dhuway,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mW,galay,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mHM,mukul,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mWM,murrngaram,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mWM,ngapipi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mWM,rumaru,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mBW,galay,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mWB,galay,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mDH,gurrung,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fB,maarlu\',,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fZ,rirrkminy,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fZ,yapa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
feB,dyukarrngu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
feB,waawa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fyB,gutha\',,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
feZ,yapa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fyZ,gutha\',,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fF,baapa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fF,dyawurlpa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fF,gunhu\',,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fF,maarlu\',,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fM,ngaarnrdi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fM,ngama\',,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fFM,muumu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fMF,ngathi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fMM,maari,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fSS,gaminyarr,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fSS,marratya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fSD,gaminyarr,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fSD,marratya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
