parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
meB,katya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
myB,marrkara,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
meZ,thurtu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
myZ,katya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
myZ,mari,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mF,mama,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mM,ngangka,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mS,manyka,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mD,kurntal,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mD,ngarraya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFF,mayili,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFM,kaparli,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFM,ngapari,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMF,maputyi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMF,thami,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMM,kantharri,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mSS,mayili,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mSD,mayili,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mDS,thami,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mDD,thami,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFB,mama,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFB,yurru,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFZ,kaka,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFZ,thuwa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFZ,yumani,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMB,kaka,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMZ,ngangka,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMZ,yaru,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mBS,manyka,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mBD,kurntal,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mZS,kuling,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mZS,yaRatya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mZS,thuwa,,,,PN3,bowern_austkin_nodate,from sex-specific words
mZD,ngarraya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mZD,pali,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFZD,nyupa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFBD,mari,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFBD,thurtu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMBD,nyupa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMZD,mari,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMZD,thurtu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFBS,katya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFBS,marrkara,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFZS,kumpali,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMBS,kumpali,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMZS,katya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMZS,marrkara,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mW,ngurranu,,,,PN3,bowern_austkin_nodate,"Autofilled from CB Austkin data; "" a man's own wife (as opposed to other women he might have married who are actually wives of his own or tribal brothers)"""
mW,nyupa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mHF,kaka,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mWF,kaka,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mWM,thuwa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mWM,yumani,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mBW,nyupa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mBW,yaRungu,,,,PN3,bowern_austkin_nodate,"Autofilled from CB Austkin data; ""women a man has married who are actually the wives of his own or tribal brothers"""
mZH,kumpali,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mWB,kumpali,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mWZ,nyupa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mSW,ngarraya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mSW,pali,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mDH,kuling,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mDH,yaRatya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMBW,thuwa,,,,PN3,bowern_austkin_nodate,"somehow not picked up by autofill, which is concerning"
mMBW,yumani,,,,PN3,bowern_austkin_nodate,"somehow not picked up by autofill, which is concerning"
feB,katya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fyB,marrkara,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
feZ,thurtu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fyZ,katya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
