parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mZ,tyurtu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
meB,kurta,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
meB,papartu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
meB,pupu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
myB,marlangu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
myB,marlatyu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
meZ,kurta,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
meZ,tyurtu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
myZ,marlangu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
myZ,marlatyu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mF,mama,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mM,mami,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mM,yakurti,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mM,yipi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mS,katya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mD,yurntal,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFF,nyamu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFF,tyamu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFM,nyami,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMF,nyamu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMF,tyamu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMM,nyami,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mSS,nyamu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mSS,tyamu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mSD,nyami,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mDS,nyamu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mDS,tyamu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mDD,nyami,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFB,mama,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFZ,kurntili,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFZ,ngunyarri,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFZ,yumari,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFZ,yunyarri,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMB,kaka,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMZ,mami,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMZ,yakurti,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMZ,yipi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mBS,kurntili,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mBS,ngunyarri,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mBS,yumari,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mBD,kurntili,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mBD,ngunyarri,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mBD,yumari,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mZS,katya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mZS,yurntal,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mZD,katya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mZD,yurntal,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFZD,watyirra,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFZD,yinkarni,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMBD,nyupa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMBD,yinkarni,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMZD,kurta,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMZD,tyurtu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFBS,kurta,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMBS,makurnta,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMBS,watyirra,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMZS,kurta,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mH,nyupa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mW,nyupa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mWF,kaka,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mWM,yumari,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mBW,tyuwari,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mZH,makurta,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mZH,yaku,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mWB,makurta,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mWB,yaku,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mSW,muyari,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mSW,nyunyarri,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mDH,yumari,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFeB,mama,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
mFyB,mama,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
mFeZ,kurntili,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
mFeZ,ngunyarri,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
mFeZ,yumari,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
mFeZ,yunyarri,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
mFyZ,kurntili,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
mFyZ,ngunyarri,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
mFyZ,yumari,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
mFyZ,yunyarri,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
mMeZ,mami,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
mMeZ,yakurti,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
mMeZ,yipi,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
mMyZ,mami,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
mMyZ,yakurti,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
mMyZ,yipi,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
mMeB,kaka,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
mMyB,kaka,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
meBS,kurntili,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
meBS,ngunyarri,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
meBS,yumari,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
myBS,kurntili,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
myBS,ngunyarri,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
myBS,yumari,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
meBD,kurntili,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
meBD,ngunyarri,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
meBD,yumari,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
myBD,kurntili,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
myBD,ngunyarri,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
myBD,yumari,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
meZS,katya,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
meZS,yurntal,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
myZS,katya,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
myZS,yurntal,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
meZD,katya,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
meZD,yurntal,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
myZD,katya,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
myZD,yurntal,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
mFeBS,kurta,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
mFyBS,kurta,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
mFeZD,watyirra,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
mFeZD,yinkarni,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
mFyZD,watyirra,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
mFyZD,yinkarni,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
mMeBS,makurnta,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
mMeBS,watyirra,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
mMyBS,makurnta,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
mMyBS,watyirra,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
mMeZS,kurta,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
mMyZS,kurta,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
mMeBD,nyupa,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
mMeBD,yinkarni,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
mMyBD,nyupa,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
mMyBD,yinkarni,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
mMeZD,kurta,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
mMeZD,tyurtu,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
mMyZD,kurta,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
mMyZD,tyurtu,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
mFBeS,kurta,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
mFByS,kurta,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
mFZeD,watyirra,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
mFZeD,yinkarni,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
mFZyD,watyirra,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
mFZyD,yinkarni,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
mMBeS,makurnta,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
mMBeS,watyirra,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
mMByS,makurnta,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
mMByS,watyirra,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
mMZeS,kurta,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
mMZyS,kurta,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
mMBeD,nyupa,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
mMBeD,yinkarni,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
mMByD,nyupa,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
mMByD,yinkarni,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
mMZeD,kurta,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
mMZeD,tyurtu,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
mMZyD,kurta,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
mMZyD,tyurtu,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
fZ,tyurtu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
feB,kurta,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
feB,papartu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
feB,pupu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
