parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
meB,naire,naiɹe,,,PN1,bowern_chirila_2016,
meZ,k^ako,kaku,,,PN1,bowern_chirila_2016,
mF,aperie,apeɹie,,,PN1,bowern_chirila_2016,
mM,irmde,iɹmde,,,PN1,bowern_chirila_2016,
mC,poorloora,puɭuɹa,,,PN1,bowern_chirila_2016,"glossed as ""children"""
mW,newya,n̪iwa,,,PN1,bowern_chirila_2016,
feB,naire,naiɹe,,,PN1,bowern_chirila_2016,
feZ,k^ako,kaku,,,PN1,bowern_chirila_2016,
fF,aperie,apeɹie,,,PN1,bowern_chirila_2016,
fM,irmde,iɹmde,,,PN1,bowern_chirila_2016,
fC,poorloora,puɭuɹa,,,PN1,bowern_chirila_2016,"glossed as ""children"""
fW,newya,n̪iwa,,,PN1,bowern_chirila_2016,
