parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mB,gurda,,,,PN23(96),noauthor_salvage_nodate,"also glossed as ""elder brother"""
mB,gurdu,,,,PN23(96),noauthor_salvage_nodate,"also glossed as ""elder brother"""
mZ,yiba,,,,PN23(96),noauthor_salvage_nodate,"also glossed as ""elder sister"""
meB,kurta,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
meB,kooralla,koːɹalla,,,PN1,bowern_chirila_2016,
meZ,yipa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mF,kuyu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mF,guyu,,,,PN23(96),noauthor_salvage_nodate,
mF,mamadi,,,,PN23(96),noauthor_salvage_nodate,
mF,mamma,mamma,,,PN1,bowern_chirila_2016,
mM,ngangka,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mM,ngangga,,,,PN23(96),noauthor_salvage_nodate,
mM,ngungerreta,ngungereta,,,PN1,bowern_chirila_2016,
mC,yamba,,,,PN23(96),noauthor_salvage_nodate,
mD,thurtu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mD,thurdu,,,,PN23(96),noauthor_salvage_nodate,
mPP,gantharri,,,,PN23(96),noauthor_salvage_nodate,
mCC,gantharri,,,,PN23(96),noauthor_salvage_nodate,
mE,ardu,,,,PN23(96),noauthor_salvage_nodate,"also means lover, boyfriend, girlfriend"
mE,warlu,,,,PN23(96),noauthor_salvage_nodate,"also means lover, boyfriend, girlfriend"
mH,artu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mH,warlu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mW,artu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mW,wali,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mW,warlu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mW,walli,walli,,,PN1,bowern_chirila_2016,
myB,gurda,,,,PN23(96),noauthor_salvage_nodate,"Inferred; also glossed as ""elder brother"""
myB,gurdu,,,,PN23(96),noauthor_salvage_nodate,"Inferred; also glossed as ""elder brother"""
myZ,yiba,,,,PN23(96),noauthor_salvage_nodate,"Inferred; also glossed as ""elder sister"""
fB,gurda,,,,PN23(96),noauthor_salvage_nodate,"also glossed as ""elder brother"""
fB,gurdu,,,,PN23(96),noauthor_salvage_nodate,"also glossed as ""elder brother"""
fZ,yiba,,,,PN23(96),noauthor_salvage_nodate,"also glossed as ""elder sister"""
feB,kurta,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
feB,kooralla,koːɹalla,,,PN1,bowern_chirila_2016,
feZ,yipa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fF,kuyu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fF,guyu,,,,PN23(96),noauthor_salvage_nodate,
fF,mamadi,,,,PN23(96),noauthor_salvage_nodate,
fF,mamma,mamma,,,PN1,bowern_chirila_2016,
fM,ngangka,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fM,ngangga,,,,PN23(96),noauthor_salvage_nodate,
fM,ngungerreta,ngungereta,,,PN1,bowern_chirila_2016,
fC,yamba,,,,PN23(96),noauthor_salvage_nodate,
fD,thurtu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fD,thurdu,,,,PN23(96),noauthor_salvage_nodate,
fPP,gantharri,,,,PN23(96),noauthor_salvage_nodate,
fCC,gantharri,,,,PN23(96),noauthor_salvage_nodate,
fE,ardu,,,,PN23(96),noauthor_salvage_nodate,"also means lover, boyfriend, girlfriend"
fE,warlu,,,,PN23(96),noauthor_salvage_nodate,"also means lover, boyfriend, girlfriend"
fH,artu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fH,warlu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fW,artu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fW,wali,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fW,warlu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fW,walli,walli,,,PN1,bowern_chirila_2016,
fyB,gurda,,,,PN23(96),noauthor_salvage_nodate,"Inferred; also glossed as ""elder brother"""
fyB,gurdu,,,,PN23(96),noauthor_salvage_nodate,"Inferred; also glossed as ""elder brother"""
fyZ,yiba,,,,PN23(96),noauthor_salvage_nodate,"Inferred; also glossed as ""elder sister"""
mF,mama,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mF,mama,,,,PN23(96),noauthor_salvage_nodate,Autofilled from CB Austkin data
mM,nanga,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mM,nanga,,,,PN23(96),noauthor_salvage_nodate,Autofilled from CB Austkin data
mMB,thami,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMB,thami,,,,PN23(96),noauthor_salvage_nodate,Autofilled from CB Austkin data
mMeB,thami,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
mMeB,thami,,,,PN23(96),noauthor_salvage_nodate,Inferred; Autofilled from CB Austkin data
mMyB,thami,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
mMyB,thami,,,,PN23(96),noauthor_salvage_nodate,Inferred; Autofilled from CB Austkin data
fF,mama,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fF,mama,,,,PN23(96),noauthor_salvage_nodate,Autofilled from CB Austkin data
fM,nanga,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fM,nanga,,,,PN23(96),noauthor_salvage_nodate,Autofilled from CB Austkin data
fMB,thami,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fMB,thami,,,,PN23(96),noauthor_salvage_nodate,Autofilled from CB Austkin data
fMeB,thami,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
fMeB,thami,,,,PN23(96),noauthor_salvage_nodate,Inferred; Autofilled from CB Austkin data
fMyB,thami,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
fMyB,thami,,,,PN23(96),noauthor_salvage_nodate,Inferred; Autofilled from CB Austkin data
