parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mB,pama,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mB,puwadya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mZ,thidha,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mZ,yanggi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
meB,thaguny,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
myB,waburdu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
meZ,kaminu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
myZ,mayada,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mF,yabu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mM,yanga,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mS,thidgi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mS,thuwana,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mS,thuwany,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mD,pukul,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFF,ngadhiny,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFM,pabiny,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMF,punydya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMM,kaminy,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mSS,mugana,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mDD,pundhuru,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFB,yabu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMB,kannganu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMZ,yanga,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mH,kun.gal,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mW,kuyarda,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mSW,yapurdu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mDH,punydya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFeB,yabu,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
mFyB,yabu,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
mMeZ,yanga,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
mMyZ,yanga,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
mMeB,kannganu,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
mMyB,kannganu,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
fB,pama,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fB,puwadya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fZ,thidha,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fZ,yanggi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
feB,thaguny,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fyB,waburdu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
feZ,kaminu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fyZ,mayada,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fF,yabu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fM,yanga,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fS,thidgi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fS,thuwana,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fS,thuwany,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fD,pukul,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fFF,ngadhiny,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fFM,pabiny,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fMF,punydya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fMM,kaminy,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fSS,mugana,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fDD,pundhuru,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fFB,yabu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fMB,kannganu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
