parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mB,karlaty,,,,PN2,noauthor_austkin_nodate,Bilinarra
mB,ngapa,,,,PN2,noauthor_austkin_nodate,Bilinarra
mB,papa,,,,PN2,noauthor_austkin_nodate,Bilinarra
mZ,kapuku,,,,PN2,noauthor_austkin_nodate,Bilinarra
mZ,karlaty,,,,PN2,noauthor_austkin_nodate,Bilinarra
mZ,kawurlu,,,,PN2,noauthor_austkin_nodate,Bilinarra
meB,ngapa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
meB,papa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
myB,karlaty,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
meZ,kawurlu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
myZ,karlaty,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mF,ngatyi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mF,ngatyi,,,,PN2,noauthor_austkin_nodate,Bilinarra
mM,ngamarnti,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mM,ngamayi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mM,ngamayi,,,,PN2,noauthor_austkin_nodate,Bilinarra
mM,ngatinyan,,,,PN2,noauthor_austkin_nodate,Bilinarra
mS,ngalawiny,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mS,ngalawiny,,,,PN2,noauthor_austkin_nodate,Bilinarra
mS,pulkunga,,,,PN2,noauthor_austkin_nodate,Bilinarra
mD,ngalawiny,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mD,ngalawiny,,,,PN2,noauthor_austkin_nodate,Bilinarra
mD,pulkunga,,,,PN2,noauthor_austkin_nodate,Bilinarra
mFF,kaku,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFF,kaku,,,,PN2,noauthor_austkin_nodate,Bilinarra
mFM,ngapupu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFM,ngaputyu,,,,PN2,noauthor_austkin_nodate,Bilinarra
mMF,tyawityi,,,,PN2,noauthor_austkin_nodate,Bilinarra
mMM,tyatyu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMM,tyatyu,,,,PN2,noauthor_austkin_nodate,Bilinarra
mSS,kaku,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mSS,ngapupu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mSS,kaku,,,,PN2,noauthor_austkin_nodate,Bilinarra
mSD,kaku,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mSD,kaku,,,,PN2,noauthor_austkin_nodate,Bilinarra
mSD,ngapupu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mDS,tyatyu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mDS,tyawityi,,,,PN2,noauthor_austkin_nodate,Bilinarra
mDD,tyatyu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mDD,tyawityi,,,,PN2,noauthor_austkin_nodate,Bilinarra
mFB,ngatyi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFZ,mukurl,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFZ,mukurla,,,,PN2,noauthor_austkin_nodate,Bilinarra
mMB,kaka,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMB,ngamirni,,,,PN2,noauthor_austkin_nodate,Bilinarra
mMZ,ngamarnti,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMZ,ngamayi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
