"parameter","word","ipa","description","alternative","source_raw","source_bibtex","comment"
"meZ","nhadumba","",,,"PN27(146)","blevins_nhanda_2001",""
"mC","abarla","",,,"PN27(140)","blevins_nhanda_2001",""
"mPP","andadi","",,,"PN27(140)","blevins_nhanda_2001",""
"mCC","andadi","",,,"PN27(140)","blevins_nhanda_2001",""
"mFZ","kaggajitee","",,,"PN27(143)","blevins_nhanda_2001",""
"mMZ","kaggajitee","",,,"PN27(143)","blevins_nhanda_2001",""
"mBS","kaggajee","",,,"PN27(143)","blevins_nhanda_2001",""
"mBD","nanyee","",,,"PN27(145)","blevins_nhanda_2001",""
"mZS","kaggajee","",,,"PN27(143)","blevins_nhanda_2001",""
"mZD","nanyee","",,,"PN27(145)","blevins_nhanda_2001",""
"mFZD","wajida","",,,"PN27(149)","blevins_nhanda_2001","just glossed as ""cousin"""
"mFBD","kaga","",,,"PN27(143)","blevins_nhanda_2001","just glossed as ""cousin"""
"mFBD","wajida","",,,"PN27(149)","blevins_nhanda_2001","just glossed as ""cousin"""
"mMBD","wajida","",,,"PN27(149)","blevins_nhanda_2001","just glossed as ""cousin"""
"mMZD","kaga","",,,"PN27(143)","blevins_nhanda_2001","just glossed as ""cousin"""
"mMZD","wajida","",,,"PN27(149)","blevins_nhanda_2001","just glossed as ""cousin"""
"mFBS","kaga","",,,"PN27(143)","blevins_nhanda_2001","just glossed as ""cousin"""
"mFBS","wajida","",,,"PN27(149)","blevins_nhanda_2001","just glossed as ""cousin"""
"mFZS","wajida","",,,"PN27(149)","blevins_nhanda_2001","just glossed as ""cousin"""
"mMBS","wajida","",,,"PN27(149)","blevins_nhanda_2001","just glossed as ""cousin"""
"mMZS","kaga","",,,"PN27(143)","blevins_nhanda_2001","just glossed as ""cousin"""
"mMZS","wajida","",,,"PN27(149)","blevins_nhanda_2001","just glossed as ""cousin"""
"mE","ardu","",,,"PN27(140)","blevins_nhanda_2001",""
"mHF","ambarnoo","",,,"PN27(140)","blevins_nhanda_2001",""
"mHM","ngarrea","",,,"PN27(146)","blevins_nhanda_2001",""
"mWF","ambarnoo","",,,"PN27(140)","blevins_nhanda_2001",""
"mWM","ngarrea","",,,"PN27(146)","blevins_nhanda_2001",""
"mBW","candi","",,,"PN27(141)","blevins_nhanda_2001",""
"mZH","ami","",,,"PN27(140)","blevins_nhanda_2001",""
"mWB","ami","",,,"PN27(140)","blevins_nhanda_2001",""
"mWZ","candi","",,,"PN27(141)","blevins_nhanda_2001",""
"mHB","ami","",,,"PN27(140)","blevins_nhanda_2001",""
"mHZ","candi","",,,"PN27(141)","blevins_nhanda_2001",""
"mDH","ajadi","",,,"PN27(140)","blevins_nhanda_2001",""
"mFeZ","kaggajitee","",,,"PN27(143)","blevins_nhanda_2001","Inferred; NA"
"mFyZ","kaggajitee","",,,"PN27(143)","blevins_nhanda_2001","Inferred; NA"
"mMeZ","kaggajitee","",,,"PN27(143)","blevins_nhanda_2001","Inferred; NA"
"mMyZ","kaggajitee","",,,"PN27(143)","blevins_nhanda_2001","Inferred; NA"
"meBS","kaggajee","",,,"PN27(143)","blevins_nhanda_2001","Inferred; NA"
"myBS","kaggajee","",,,"PN27(143)","blevins_nhanda_2001","Inferred; NA"
"meBD","nanyee","",,,"PN27(145)","blevins_nhanda_2001","Inferred; NA"
"myBD","nanyee","",,,"PN27(145)","blevins_nhanda_2001","Inferred; NA"
"meZS","kaggajee","",,,"PN27(143)","blevins_nhanda_2001","Inferred; NA"
"myZS","kaggajee","",,,"PN27(143)","blevins_nhanda_2001","Inferred; NA"
"meZD","nanyee","",,,"PN27(145)","blevins_nhanda_2001","Inferred; NA"
"myZD","nanyee","",,,"PN27(145)","blevins_nhanda_2001","Inferred; NA"
"mFeBS","kaga","",,,"PN27(143)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"mFeBS","wajida","",,,"PN27(149)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"mFyBS","kaga","",,,"PN27(143)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"mFyBS","wajida","",,,"PN27(149)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"mFeZS","wajida","",,,"PN27(149)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"mFyZS","wajida","",,,"PN27(149)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"mFeBD","kaga","",,,"PN27(143)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"mFeBD","wajida","",,,"PN27(149)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"mFyBD","kaga","",,,"PN27(143)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"mFyBD","wajida","",,,"PN27(149)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"mFeZD","wajida","",,,"PN27(149)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"mFyZD","wajida","",,,"PN27(149)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"mMeBS","wajida","",,,"PN27(149)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"mMyBS","wajida","",,,"PN27(149)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"mMeZS","kaga","",,,"PN27(143)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"mMeZS","wajida","",,,"PN27(149)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"mMyZS","kaga","",,,"PN27(143)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"mMyZS","wajida","",,,"PN27(149)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"mMeBD","wajida","",,,"PN27(149)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"mMyBD","wajida","",,,"PN27(149)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"mMeZD","kaga","",,,"PN27(143)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"mMeZD","wajida","",,,"PN27(149)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"mMyZD","kaga","",,,"PN27(143)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"mMyZD","wajida","",,,"PN27(149)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"mFBeS","kaga","",,,"PN27(143)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"mFBeS","wajida","",,,"PN27(149)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"mFByS","kaga","",,,"PN27(143)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"mFByS","wajida","",,,"PN27(149)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"mFZeS","wajida","",,,"PN27(149)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"mFZyS","wajida","",,,"PN27(149)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"mFBeD","kaga","",,,"PN27(143)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"mFBeD","wajida","",,,"PN27(149)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"mFByD","kaga","",,,"PN27(143)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"mFByD","wajida","",,,"PN27(149)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"mFZeD","wajida","",,,"PN27(149)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"mFZyD","wajida","",,,"PN27(149)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"mMBeS","wajida","",,,"PN27(149)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"mMByS","wajida","",,,"PN27(149)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"mMZeS","kaga","",,,"PN27(143)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"mMZeS","wajida","",,,"PN27(149)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"mMZyS","kaga","",,,"PN27(143)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"mMZyS","wajida","",,,"PN27(149)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"mMBeD","wajida","",,,"PN27(149)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"mMByD","wajida","",,,"PN27(149)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"mMZeD","kaga","",,,"PN27(143)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"mMZeD","wajida","",,,"PN27(149)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"mMZyD","kaga","",,,"PN27(143)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"mMZyD","wajida","",,,"PN27(149)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"feZ","nhadumba","",,,"PN27(146)","blevins_nhanda_2001",""
"fC","abarla","",,,"PN27(140)","blevins_nhanda_2001",""
"fPP","andadi","",,,"PN27(140)","blevins_nhanda_2001",""
"fCC","andadi","",,,"PN27(140)","blevins_nhanda_2001",""
"fFZ","kaggajitee","",,,"PN27(143)","blevins_nhanda_2001",""
"fMZ","kaggajitee","",,,"PN27(143)","blevins_nhanda_2001",""
"fBS","kaggajee","",,,"PN27(143)","blevins_nhanda_2001",""
"fBD","nanyee","",,,"PN27(145)","blevins_nhanda_2001",""
"fZS","kaggajee","",,,"PN27(143)","blevins_nhanda_2001",""
"fZD","nanyee","",,,"PN27(145)","blevins_nhanda_2001",""
"fFZD","wajida","",,,"PN27(149)","blevins_nhanda_2001","just glossed as ""cousin"""
"fFBD","kaga","",,,"PN27(143)","blevins_nhanda_2001","just glossed as ""cousin"""
"fFBD","wajida","",,,"PN27(149)","blevins_nhanda_2001","just glossed as ""cousin"""
"fMBD","wajida","",,,"PN27(149)","blevins_nhanda_2001","just glossed as ""cousin"""
"fMZD","kaga","",,,"PN27(143)","blevins_nhanda_2001","just glossed as ""cousin"""
"fMZD","wajida","",,,"PN27(149)","blevins_nhanda_2001","just glossed as ""cousin"""
"fFBS","kaga","",,,"PN27(143)","blevins_nhanda_2001","just glossed as ""cousin"""
"fFBS","wajida","",,,"PN27(149)","blevins_nhanda_2001","just glossed as ""cousin"""
"fFZS","wajida","",,,"PN27(149)","blevins_nhanda_2001","just glossed as ""cousin"""
"fMBS","wajida","",,,"PN27(149)","blevins_nhanda_2001","just glossed as ""cousin"""
"fMZS","kaga","",,,"PN27(143)","blevins_nhanda_2001","just glossed as ""cousin"""
"fMZS","wajida","",,,"PN27(149)","blevins_nhanda_2001","just glossed as ""cousin"""
"fE","ardu","",,,"PN27(140)","blevins_nhanda_2001",""
"fHF","ambarnoo","",,,"PN27(140)","blevins_nhanda_2001",""
"fHM","ngarrea","",,,"PN27(146)","blevins_nhanda_2001",""
"fWF","ambarnoo","",,,"PN27(140)","blevins_nhanda_2001",""
"fWM","ngarrea","",,,"PN27(146)","blevins_nhanda_2001",""
"fBW","candi","",,,"PN27(141)","blevins_nhanda_2001",""
"fZH","ami","",,,"PN27(140)","blevins_nhanda_2001",""
"fWB","ami","",,,"PN27(140)","blevins_nhanda_2001",""
"fWZ","candi","",,,"PN27(141)","blevins_nhanda_2001",""
"fHB","ami","",,,"PN27(140)","blevins_nhanda_2001",""
"fHZ","candi","",,,"PN27(141)","blevins_nhanda_2001",""
"fDH","ajadi","",,,"PN27(140)","blevins_nhanda_2001",""
"fFeZ","kaggajitee","",,,"PN27(143)","blevins_nhanda_2001","Inferred; NA"
"fFyZ","kaggajitee","",,,"PN27(143)","blevins_nhanda_2001","Inferred; NA"
"fMeZ","kaggajitee","",,,"PN27(143)","blevins_nhanda_2001","Inferred; NA"
"fMyZ","kaggajitee","",,,"PN27(143)","blevins_nhanda_2001","Inferred; NA"
"feBS","kaggajee","",,,"PN27(143)","blevins_nhanda_2001","Inferred; NA"
"fyBS","kaggajee","",,,"PN27(143)","blevins_nhanda_2001","Inferred; NA"
"feBD","nanyee","",,,"PN27(145)","blevins_nhanda_2001","Inferred; NA"
"fyBD","nanyee","",,,"PN27(145)","blevins_nhanda_2001","Inferred; NA"
"feZS","kaggajee","",,,"PN27(143)","blevins_nhanda_2001","Inferred; NA"
"fyZS","kaggajee","",,,"PN27(143)","blevins_nhanda_2001","Inferred; NA"
"feZD","nanyee","",,,"PN27(145)","blevins_nhanda_2001","Inferred; NA"
"fyZD","nanyee","",,,"PN27(145)","blevins_nhanda_2001","Inferred; NA"
"fFeBS","kaga","",,,"PN27(143)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"fFeBS","wajida","",,,"PN27(149)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"fFyBS","kaga","",,,"PN27(143)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"fFyBS","wajida","",,,"PN27(149)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"fFeZS","wajida","",,,"PN27(149)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"fFyZS","wajida","",,,"PN27(149)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"fFeBD","kaga","",,,"PN27(143)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"fFeBD","wajida","",,,"PN27(149)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"fFyBD","kaga","",,,"PN27(143)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"fFyBD","wajida","",,,"PN27(149)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"fFeZD","wajida","",,,"PN27(149)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"fFyZD","wajida","",,,"PN27(149)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"fMeBS","wajida","",,,"PN27(149)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"fMyBS","wajida","",,,"PN27(149)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"fMeZS","kaga","",,,"PN27(143)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"fMeZS","wajida","",,,"PN27(149)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"fMyZS","kaga","",,,"PN27(143)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"fMyZS","wajida","",,,"PN27(149)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"fMeBD","wajida","",,,"PN27(149)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"fMyBD","wajida","",,,"PN27(149)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"fMeZD","kaga","",,,"PN27(143)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"fMeZD","wajida","",,,"PN27(149)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"fMyZD","kaga","",,,"PN27(143)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"fMyZD","wajida","",,,"PN27(149)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"fFBeS","kaga","",,,"PN27(143)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"fFBeS","wajida","",,,"PN27(149)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"fFByS","kaga","",,,"PN27(143)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"fFByS","wajida","",,,"PN27(149)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"fFZeS","wajida","",,,"PN27(149)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"fFZyS","wajida","",,,"PN27(149)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"fFBeD","kaga","",,,"PN27(143)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"fFBeD","wajida","",,,"PN27(149)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"fFByD","kaga","",,,"PN27(143)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"fFByD","wajida","",,,"PN27(149)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"fFZeD","wajida","",,,"PN27(149)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"fFZyD","wajida","",,,"PN27(149)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"fMBeS","wajida","",,,"PN27(149)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"fMByS","wajida","",,,"PN27(149)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"fMZeS","kaga","",,,"PN27(143)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"fMZeS","wajida","",,,"PN27(149)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"fMZyS","kaga","",,,"PN27(143)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"fMZyS","wajida","",,,"PN27(149)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"fMBeD","wajida","",,,"PN27(149)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"fMByD","wajida","",,,"PN27(149)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"fMZeD","kaga","",,,"PN27(143)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"fMZeD","wajida","",,,"PN27(149)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"fMZyD","kaga","",,,"PN27(143)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"fMZyD","wajida","",,,"PN27(149)","blevins_nhanda_2001","Inferred; just glossed as ""cousin"""
"mB","wurda","",,,"PN3","blevins_nhanda_2001","Autofilled from CB Austkin data"
"myZ","malyu","",,,"PN3","blevins_nhanda_2001","Autofilled from CB Austkin data"
"mF","ama","",,,"PN3","blevins_nhanda_2001","Autofilled from CB Austkin data"
"mM","agu","",,,"PN3","blevins_nhanda_2001","Autofilled from CB Austkin data"
"mFZD","kaga","",,,"PN3","blevins_nhanda_2001","Autofilled from CB Austkin data"
"mMBD","kaga","",,,"PN3","blevins_nhanda_2001","Autofilled from CB Austkin data"
"mFZS","kaga","",,,"PN3","blevins_nhanda_2001","Autofilled from CB Austkin data"
"mMBS","kaga","",,,"PN3","blevins_nhanda_2001","Autofilled from CB Austkin data"
"mH","ardu","",,,"PN3","blevins_nhanda_2001","Autofilled from CB Austkin data"
"mW","ardu","",,,"PN3","blevins_nhanda_2001","Autofilled from CB Austkin data"
"myB","wurda","",,,"PN3","blevins_nhanda_2001","Inferred; Autofilled from CB Austkin data"
"mFeZS","kaga","",,,"PN3","blevins_nhanda_2001","Inferred; Autofilled from CB Austkin data"
"mFyZS","kaga","",,,"PN3","blevins_nhanda_2001","Inferred; Autofilled from CB Austkin data"
"mFeZD","kaga","",,,"PN3","blevins_nhanda_2001","Inferred; Autofilled from CB Austkin data"
"mFyZD","kaga","",,,"PN3","blevins_nhanda_2001","Inferred; Autofilled from CB Austkin data"
