parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mG,parlutya,,,,PN2,noauthor_austkin_nodate,
mB,kaakutya,,,,PN2,noauthor_austkin_nodate,
mB,parlutya,,,,PN2,noauthor_austkin_nodate,
mZ,kanyitya,,,,PN2,noauthor_austkin_nodate,
mZ,katyaka,,,,PN2,noauthor_austkin_nodate,
mZ,ngaanutya,,,,PN2,noauthor_austkin_nodate,
mZ,parlutya,,,,PN2,noauthor_austkin_nodate,
mZ,waatitya,,,,PN2,noauthor_austkin_nodate,
mZ,warriki,,,,PN2,noauthor_austkin_nodate,
mZ,wirtuka,,,,PN2,noauthor_austkin_nodate,
meB,wertiga,weʈiga,,,PN1,bowern_chirila_2016,"Variety ""Fifty Miles Below Bourke on the Darling"""
meB,gaagudja,,,,PN8(84),hercus_bagandji_1982,
meB,kaakutya,,,,PN29(725),wafer_handbook_2008,
meZ,willoya,willoya,,,PN1,bowern_chirila_2016,"Variety ""Tolarno Station, Near Menindie"""
meZ,wirtooka,wiʈoːka,,,PN1,bowern_chirila_2016,"Variety ""Fifty Miles Below Bourke on the Darling"""
meZ,wirduga,,,,PN8(84),hercus_bagandji_1982,
meZ,wirtuka,,,,PN29(725),wafer_handbook_2008,
myZ,waadidja,,,,PN8(299),hercus_bagandji_1982,
mF,gambiji,gambiji,,,PN1,bowern_chirila_2016,"Variety ""Fifty Miles Below Bourke on the Darling"""
mF,kumbeya,kumbeya,,,PN1,bowern_chirila_2016,"Variety ""Tolarno Station, Near Menindie"""
mF,kampiya,,,,PN2,noauthor_austkin_nodate,
mF,gambidja,,,,PN8(84),hercus_bagandji_1982,
mM,hummugga,hummugga,,,PN1,bowern_chirila_2016,"Variety ""Tolarno Station, Near Menindie"""
mM,ummaka,ummaka,,,PN1,bowern_chirila_2016,"Variety ""Fifty Miles Below Bourke on the Darling"""
mM,ŋamaga,,,,PN8(84),hercus_bagandji_1982,
mC,wiimbara,,,,PN8(300),hercus_bagandji_1982,
mC,muurrpa,,,,PN29(725),wafer_handbook_2008,
mC,parlu,,,,PN29(725),wafer_handbook_2008,
mS,wiimbara,,,,PN8(300),hercus_bagandji_1982,
mD,wiimbara,,,,PN8(300),hercus_bagandji_1982,
mFF,nguulka,,,,PN2,noauthor_austkin_nodate,
mFF,ŋuulga,,,,PN8(297),hercus_bagandji_1982,"glossed as ""grandfather of opposite moeity"""
mFM,kuratya,,,,PN2,noauthor_austkin_nodate,
mMF,ngathatya,,,,PN2,noauthor_austkin_nodate,
mMF,ŋuulga,,,,PN8(297),hercus_bagandji_1982,"glossed as ""grandfather of opposite moeity"""
mMM,kanyitya,,,,PN2,noauthor_austkin_nodate,
mMM,gandja,,,,PN8(84),hercus_bagandji_1982,
mMM,ganj(i)dja,,,,PN8(285),hercus_bagandji_1982,
mMM,kany(i)tya,,,,PN29(785),wafer_handbook_2008,
mSS,wabanja,,,,PN8(297),hercus_bagandji_1982,
mSD,wabanja,,,,PN8(297),hercus_bagandji_1982,
mFZ,muŋgadja,,,,PN8(84),hercus_bagandji_1982,
mMB,paapatya,,,,PN2,noauthor_austkin_nodate,
mMB,waakatya,,,,PN2,noauthor_austkin_nodate,
mMB,wagadja,,,,PN8(297),hercus_bagandji_1982,
mFeZ,ŋarlu,,,,PN8(295),hercus_bagandji_1982,"specifically ""father's OLDEST sister"""
mFeZ,ŋarludja,,,,PN8(295),hercus_bagandji_1982,"specifically ""father's OLDEST sister"""
mFyZ,muŋgadja,,,,PN8(293),hercus_bagandji_1982,
mMeB,paapatya,,,,PN2,noauthor_austkin_nodate,
mMeB,waakatya,,,,PN2,noauthor_austkin_nodate,
mMyB,paapatya,,,,PN2,noauthor_austkin_nodate,
mMyB,waakatya,,,,PN2,noauthor_austkin_nodate,
mZS,kiingkutya,,,,PN2,noauthor_austkin_nodate,
meZS,kiingkutya,,,,PN2,noauthor_austkin_nodate,
