parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mZ,wakinngu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mZ,yapa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
meB,waawa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
meB,wäwa,waːwa,,,PN1,bowern_chirila_2016,
myB,gutha\',,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
myB,gutha('),gut̪a(ʔ),,,PN1,bowern_chirila_2016,
myZ,gutha\',,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
myZ,gutha('),gut̪a(ʔ),,,PN1,bowern_chirila_2016,
mF,baapa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mF,dyawurlpa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mF,bäpa,baːpa,,,PN1,bowern_chirila_2016,
mM,ngaarnrdi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mM,nga:rndi,ŋaːɳdi,,,PN1,bowern_chirila_2016,
mM,ŋäṉḏi,ŋaːɳɖi,,,PN1,bowern_chirila_2016,
mC,djama,ɟama,,,PN1,bowern_chirila_2016,
mC,gäthu,gaːt̪u,,,PN1,bowern_chirila_2016,
mC,waku,waku,,,PN1,bowern_chirila_2016,
mC,yothu,yuːt̪u,,,PN1,bowern_chirila_2016,
mS,waku,waku,,,PN1,bowern_chirila_2016,
mD,waku,waku,,,PN1,bowern_chirila_2016,
mFF,maari,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFF,maari\'mungu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFF,muurdi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFF,märi'muŋu,maːɹiʔmuŋu,,,PN1,bowern_chirila_2016,
mFF,moḏi,muːɖi,,,PN1,bowern_chirila_2016,
mFM,muumu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFM,momu,muːmu,,,PN1,bowern_chirila_2016,
mMF,ngathi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMF,ŋathi,ŋat̪i,,,PN1,bowern_chirila_2016,
mMM,maari,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMM,märi,maːɹi,,,PN1,bowern_chirila_2016,
mSS,gaminyarr,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mSS,marratya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mSS,muurdi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mSS,marratja,maraca,,,PN1,bowern_chirila_2016,
mSS,moḏi,muːɖi,,,PN1,bowern_chirila_2016,
mSD,gaminyarr,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mSD,marratya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mSD,muurdi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mSD,marratja,maraca,,,PN1,bowern_chirila_2016,
mSD,moḏi,muːɖi,,,PN1,bowern_chirila_2016,
mDS,gaminyarr,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
