parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
meB,upuŋka,,male ego's older brother,,,Crowley1983Uradhi,
myB,it̪amu,,male ego's younger brother,,,Crowley1983Uradhi,
feB,upuŋka,,female ego's older brother,,,Crowley1983Uradhi,
fyB,it̪amu,,female ego's younger brother,,,Crowley1983Uradhi,
meZ,upantin,,male ego's older sister,,,Crowley1983Uradhi,
myZ,it̪amu,,male ego's younger sister,,,Crowley1983Uradhi,
feZ,upantin,,female ego's older sister,,,Crowley1983Uradhi,
fyZ,it̪amu,,female ego's younger sister,,,Crowley1983Uradhi,
mF,"ißuɲ, ißaða",,male ego's father,,,Crowley1983Uradhi,
mM,uŋuɲu,,male ego's mother,,,Crowley1983Uradhi,
fF,"ißuɲ, ißaða",,female ego's father,,,Crowley1983Uradhi,
fM,uŋuɲu,,female ego's mother,,,Crowley1983Uradhi,
mS,umuɲu,,male ego's son,,,Crowley1983Uradhi,
fS,umuɲu,,female ego's son,,,Crowley1983Uradhi,
mD,umuɲu,,male ego's daughter,,,Crowley1983Uradhi,
fD,umuɲu,,female ego's daughter,,,Crowley1983Uradhi,
mFF,wu:la,,male ego's father‘s father,,,Crowley1983Uradhi,
mFM,api,,male ego's father's mother,,,Crowley1983Uradhi,
mMF,at̪i,,male ego's mother's father,,,Crowley1983Uradhi,
mMM,ami,,male ego's mother's mother,,,Crowley1983Uradhi,
fFF,wu:la,,female ego's father's father,,,Crowley1983Uradhi,
fFM,api,,female ego's father's mother,,,Crowley1983Uradhi,
fMF,at̪i,,female ego's mother's father,,,Crowley1983Uradhi,
fMM,ami,,female ego's mother's mother,,,Crowley1983Uradhi,
mFeZ,in̺ya,,male ego's father's older sister,,,Crowley1983Uradhi,
mFyZ,in̺ya,,male ego's father's younger sister,,,Crowley1983Uradhi,
mMeB,ukura,,male ego's mother's older brother,,,Crowley1983Uradhi,
mMyB,a:la,,male ego's mother's younger brother,,,Crowley1983Uradhi,
fFeZ,in̺ya,,female ego's father's older sister,,,Crowley1983Uradhi,
fFyZ,in̺ya,,female ego's father's younger sister,,,Crowley1983Uradhi,
fMeB,ukura,,female ego's mother's older brother,,,Crowley1983Uradhi,
fMyB,a:la,,female ego's mother's younger brother,,,Crowley1983Uradhi,
mW,unta:mu,,male ego's wife,,,Crowley1983Uradhi,
fH,anpaŋu,,female ego‘s husband,,,Crowley1983Uradhi,
mWF,amantiði,,male ego's wife's father,,,Crowley1983Uradhi,
mWM,ayußan̪,,male ego's wife's mother,,,Crowley1983Uradhi,
mWB,imuɲu,,male ego's wife's brother,,,Crowley1983Uradhi,
mWZ,wintiŋan̪u,,male ego's wife's sister,,,Crowley1983Uradhi,
fHF,amantiði,,female ego's husband's father,,,Crowley1983Uradhi,
fHM,ayußan̪,,female ego's husband's mother,,,Crowley1983Uradhi,
fHB,imuɲu,,female ego's husband's brother,,,Crowley1983Uradhi,
fHZ,wintiŋan̪u,,female ego's husband's sister,,,Crowley1983Uradhi,
