parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
meB,nhuthi,,male ego's older brother,,,,
myB,kupaka,,male ego's younger brother,,,,
feB,nhuthi,,female ego's older brother,,,,
fyB,kupaka,,female ego's younger brother,,,,
meZ,kaku,,male ego's older sister,,,,
myZ,kupaka,,male ego's younger sister,,,,
feZ,kaku,,female ego's older sister,,,,
fyZ,kupaka,,female ego's younger sister,,,,
mF,anya,,male ego's father,,,,
mM,ama,,male ego's mother,,,,
fF,anya,,female ego's father,,,,
fM,ama,,female ego's mother,,,,
mS,atapiyaka,,male ego's son,,,,
fS,arluwa,,female ego's son,,,,
mD,atapiyaka,,male ego's daughter,,,,
fD,arluwa,,female ego's daughter,,,,
mSS,ilyili,,male ego's son's son,,,,
mSD,ilyili,,male ego's son's daughter,,,,
mDS,athata,,male ego's daughter's son,,,,
mDD,athata,,male ego's daughter's daughter,,,,
fSS,apirla,,female ego's son's son,,,,
fSD,apirla,,female ego's son's daughter,,,,
fDS,kadnhini,,female ego's daughter's son,,,,
fDD,kadnhini,,female ego's daugher's daughter,,,,
mFF,ilyili,,male ego's father‘s father,,,,
mFM,apirla,,male ego's father's mother,,,,
mMF,athata,,male ego's mother's father,,,,
mMM,kadnhini,,male ego's mother's mother,,,,
fFF,ilyili,,female ego's father's father,,,,
fFM,apirla,,female ego's father's mother,,,,
fMF,athata,,female ego's mother's father,,,,
fMM,kadnhini,,female ego's mother's mother,,,,
meZS,"kulakula,thidnara",,male ego's older sister's son,,,,
myZS,"kulakula,thidnara",,male ego's younger sister's son,,,,
feBS,thidnara,,female ego's older brother's son,,,,
fyBS,thidnara,,female ego's younger brother's son,,,,
feZS,arluwa,,female ego's older sister's son,,,,
fyZS,arluwa,,female ego's younger sister's son,,,,
feBD,thidnara,,female ego's older brother's daughter,,,,
fyBD,thidnara,,female ego's younger brother's daughter,,,,
feZD,arluwa,,female ego's older sister's daughter,,,,
fyZD,arluwa,,female ego's younger sister's daughter,,,,
mFeZ,payayi,,male ego's father's older sister,,,,
mFyZ,payayi,,male ego's father's younger sister,,,,
mMeB,kaga,,male ego's mother's older brother,,,,
mMyB,kaga,,male ego's mother's younger brother,,,,
fFeZ,payayi,,female ego's father's older sister,,,,
fFyZ,payayi,,female ego's father's younger sister,,,,
fMeB,kaga,,female ego's mother's older brother,,,,
fMyB,kaga,,female ego's mother's younger brother,,,,
mW,nhupa,,male ego's wife,,,,
fH,nhupa,,female ego‘s husband,,,,
mDH,parithi,,male ego's daughter's husband,,,,
mWF,thaRu,,male ego's wife's father,,,,
mWM,yampuwa,,male ego's wife's mother,,,,
mWB,yarardi,,male ego's wife's brother,,,,
fHF,thaRu,,female ego's husband's father,,,,
fHM,piyaka,,female ego's husband's mother,,,,
fHZ,karlalu,,female ego's husband's sister,,,,
fBW,apirla,,female ego's brother's wife,,,,
mZH,karlalu,,male ego's sister's husband,,,,
fZH,imari,,female ego's sister's husband,,,,
mFBeS,nhuthi,,male ego‘s father‘s brother‘s older son,,,,
mFByS,kupaka,,male ego‘s father‘s brother‘s younger son,,,,
mFBeD,kaku,,male ego‘s father‘s brother‘s older daughter,,,,
mFByD,kupaka,,male ego‘s father‘s brother‘s younger daughter,,,,
mFZeS,withiwa,,male ego‘s father‘s sisters‘s older son,,,,
mFZyS,withiwa,,male ego‘s father‘s sisters‘s younger son,,,,
mFZeD,apirla,,male ego‘s father‘s sisters‘s older daughter,,,,
mFZyD,apirla,,male ego‘s father‘s sisters‘s younger daughter,,,,
mMBeS,withiwa,,male ego‘s mother‘s brother‘s older son,,,,
mMByS,withiwa,,male ego‘s mother‘s brother‘s younger son,,,,
mMBeD,apirla,,male ego‘s mother‘s brother‘s older daughter,,,,
mMByD,apirla,,male ego‘s mother‘s brother‘s younger daughter,,,,
mMZeS,nhuthi,,male ego‘s mother‘s sisters‘s older son,,,,
mMZyS,kupaka,,male ego‘s mother‘s sisters‘s younger son,,,,
mMZeD,kaku,,male ego‘s mother‘s sisters‘s older daughter,,,,
mMZyD,kupaka,,male ego‘s mother‘s sisters‘s younger daughter,,,,
fFBeS,nhuthi,,female ego‘s father‘s brother‘s older son,,,,
fFByS,kupaka,,female ego‘s father‘s brother‘s younger son,,,,
fFBeD,kaku,,female ego‘s father‘s brother‘s older daughter,,,,
fFByD,kupaka,,female ego‘s father‘s brother‘s younger daughter,,,,
fFZeS,withiwa,,female ego‘s father‘s sisters‘s older son,,,,
fFZyS,withiwa,,female ego‘s father‘s sisters‘s younger son,,,,
fFZeD,apirla,,female ego‘s father‘s sisters‘s older daughter,,,,
fFZyD,apirla,,female ego‘s father‘s sisters‘s younger daughter,,,,
fMBeS,withiwa,,female ego‘s mother‘s brother‘s older son,,,,
fMByS,withiwa,,female ego‘s mother‘s brother‘s younger son,,,,
fMBeD,apirla,,female ego‘s mother‘s brother‘s older daughter,,,,
fMByD,apirla,,female ego‘s mother‘s brother‘s younger daughter,,,,
fMZeS,nhuthi,,female ego‘s mother‘s sisters‘s older son,,,,
fMZyS,kupaka,,female ego‘s mother‘s sisters‘s younger son,,,,
fMZeD,kaku,,female ego‘s mother‘s sisters‘s older daughter,,,,
fMZyD,kupaka,,female ego‘s mother‘s sisters‘s younger daughter,,,,
