parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mB,kuunty,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mB,ngalamp,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mZ,kuunty,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
meB,wuny,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
meB,wunya,,,,PN20(150),mcknight_problems_1971,
myB,punta,,,,PN20(150),mcknight_problems_1971,
myB,ponta,,,,PN20(156),mcknight_problems_1971,
meZ,yapa,,,,PN20(156),mcknight_problems_1971,
myZ,wila,,,,PN20(156),mcknight_problems_1971,
mF,piip,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mC,ngalamp,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mC,ngeyantang,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mC,nhengk,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mC,nengka,,,,PN20(147),mcknight_problems_1971,
mS,ngalamp,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mS,ngeyantang,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mS,nhengk,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mD,nhengk,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mD,ngeyantang,,,,PN3,bowern_austkin_nodate,from sex-specific terms
mFF,puulwuut,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFF,pulwut,,,,PN20(157),mcknight_problems_1971,
mFM,ngaty,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFM,ngetywayyow,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMF,ngaty,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMF,ngetywuut,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMF,ngechewut,,,,PN20(157),mcknight_problems_1971,
mMM,kemwayyow,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mSS,poliyang,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mSS,puuliyang,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mSD,poliyang,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mSD,puuliyang,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mDS,naityiyu,,,,PN20(158),mcknight_problems_1971,
mDS,naitia,,,,PN20(158),mcknight_problems_1971,
mDD,naityiyu,,,,PN20(158),mcknight_problems_1971,
mDD,naitia,,,,PN20(158),mcknight_problems_1971,
mFZ,piny,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFZ,pinya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFZ,pinya,,,,PN20(148),mcknight_problems_1971,
mFeB,piny,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFeB,pinya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFyB,piip,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFeZ,piny wantyinth,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFyZ,piny,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMeZ,muka,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMeB,muka,,,,PN20(148),mcknight_problems_1971,
mMyB,kaal,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMyB,kala,,,,PN20(151),mcknight_problems_1971,
mBS,kuunty,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mBS,ngalamp,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mBS,ngeyantang,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mBS,nhengk,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mBD,kuunty,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mBD,ngeyantang,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mBD,nhengk,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
myBS,pinyayng,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
myBD,pinyayng,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
meZS,otham,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
meZS,thuw,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
meZS,thuwa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
meZS,tuwa,,,,PN20(156),mcknight_problems_1971,
myZS,muka,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
myZS,mukayng,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
myZS,mukaiya,,,,PN20(156),mcknight_problems_1971,
meZD,otham,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
meZD,thuw,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
meZD,thuwa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
myZD,muka,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
myZD,mukayng,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFZD,muuy,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFZS,muuy,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMeBD,moiya,,,,PN20(151),mcknight_problems_1971,
mMyBD,kutth,,,,PN20(151),mcknight_problems_1971,
mH,pam muuy,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mH,pam thum,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mH,pam-kunty,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mW,wanty thum,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
