parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mB,marlany,,,,PN3,bowern_austkin_nodate,"Autofilled from CB Austkin data; PN6(173) glosses this as ""if younger than the person referred to"" (i.e., = eB)"
meB,mariya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
myB,marlany,,,,PN3,bowern_austkin_nodate,"Autofilled from CB Austkin data; PN6(173) glosses this as ""if younger than the person referred to"" (i.e., = eB)"
myB,pangunu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
meZ,kangkiya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
meZ,kangkurru,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
myZ,pangunu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
myZ,puyalu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mM,apupaltha,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mM,mara-nguntyu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mM,nguntyu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mS,katya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mS,kitya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mS,pukala,,,,PN3,bowern_austkin_nodate,"Autofilled from CB Austkin data; ""fatherless child"""
mS,pultu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mS,tyirla,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mS,wangu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mD,ngatyi ?,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mD,pukala,,,,PN3,bowern_austkin_nodate,"Autofilled from CB Austkin data; ""fatherless child"""
mD,pultu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mD,tyirla,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mD,urntal,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mD,wangu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFF,pakarli,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFF,tyamu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFM,kaparli,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMF,pakarli,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMF,tyamu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMM,kaparli,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mSS,pakarli,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mSS,tyamu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mSD,kaparli,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mDS,pakarli,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mDS,tyamu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mDD,kaparli,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFB,kany,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFZ,kangkiya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFZ,kurntili,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFZ,warrngu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMB,kamuru,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMB,pangunu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMZ,kangkiya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mBS,katya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mBS,pultu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mBD,pultu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mBD,urntal,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mZS,katya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mZS,manantyi ?,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mZD,manantyi ?,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mZD,urntal,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFZD,pultu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMBD,pultu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFBS,marlany,,,,PN3,bowern_austkin_nodate,"Autofilled from CB Austkin data; PN6(173) glosses this as ""if younger than the person referred to"""
mFZS,pultu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMBS,pultu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMZS,marlany,,,,PN3,bowern_austkin_nodate,"Autofilled from CB Austkin data; PN6(173) glosses this as ""if younger than the person referred to"""
mH,karlarta,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mH,marli,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mH,matyi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mH,nganthi-kurrka,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mW,mart,,,,PN3,bowern_austkin_nodate,"Autofilled from CB Austkin data; PN6(173) glosses ""mard"" as ""wife, promised wife"" as opposed to ""mard(a)n: wife, actually married"""
mW,martan,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mW,warlatyi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mW,wartatyi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mZH,maratyu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mSW,yumuri,,,,PN3,bowern_austkin_nodate,
fB,marlany,,,,PN3,bowern_austkin_nodate,"Autofilled from CB Austkin data; PN6(173) glosses this as ""if younger than the person referred to"" (i.e., = eB)"
feB,mariya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fyB,marlany,,,,PN3,bowern_austkin_nodate,"Autofilled from CB Austkin data; PN6(173) glosses this as ""if younger than the person referred to"" (i.e., = eB)"
fyB,pangunu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
feZ,kangkiya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
feZ,kangkurru,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fyZ,pangunu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fyZ,puyalu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fM,apupaltha,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fM,mara-nguntyu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fM,nguntyu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fS,katya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fS,kitya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fS,pultu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fS,tyirla,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fS,wangu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fD,ngatyi ?,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fD,pultu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fD,tyirla,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fD,urntal,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fD,wangu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fFF,pakarli,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fFF,tyamu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fFM,kaparli,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fMF,pakarli,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fMF,tyamu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fMM,kaparli,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fSS,tyamu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fSD,kaparli,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fDS,tyamu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fDD,kaparli,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fFB,kany,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fFZ,kangkiya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fFZ,kurntili,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fFZ,warrngu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fMB,kamuru,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fMB,pangunu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fMZ,kangkiya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fBS,katya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fBS,pultu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fBD,pultu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fBD,urntal,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fZS,katya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fZS,pultu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fZD,urntal,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fZD,pultu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fFZD,pultu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fMBD,pultu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fFBS,marlany,,,,PN3,bowern_austkin_nodate,"Autofilled from CB Austkin data; PN6(173) glosses this as ""if younger than the person referred to"""
fFZS,pultu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fMBS,pultu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fMZS,marlany,,,,PN3,bowern_austkin_nodate,"Autofilled from CB Austkin data; PN6(173) glosses this as ""if younger than the person referred to"""
fH,karlarta,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fH,marli,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fH,matyi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fH,nganthi-kurrka,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fW,mart,,,,PN3,bowern_austkin_nodate,"Autofilled from CB Austkin data; PN6(173) glosses ""mard"" as ""wife, promised wife"" as opposed to ""mard(a)n: wife, actually married"""
fW,martan,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fW,warlatyi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fW,wartatyi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fHM,mingkarri,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fBW,maratyu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fZH,maratyu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fSW,mingkarri,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fSW,wanyuwa,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fSW,yumuri,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fSW,yumuri,,,,PN3,bowern_austkin_nodate,
meB,yunga,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mF,mama,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mF,muma,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mM,wiya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFF,muma,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFM,wiya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mBD,wanyi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mHM,yumuri,,,,PN3,bowern_austkin_nodate,"Autofilled from CB Austkin data; PN6(189) also glosses as ""affine female relation belonging to opposite moiety and alternative generation level and who is a taboo relatinoship to the person concerned"""
feB,yunga,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fF,mama,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fF,muma,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fM,wiya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fFF,muma,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fFM,wiya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
fHM,yumuri,,,,PN3,bowern_austkin_nodate,"Autofilled from CB Austkin data; PN6(189) also glosses as ""affine female relation belonging to opposite moiety and alternative generation level and who is a taboo relatinoship to the person concerned"""
meB,wannoo,wannoː,,,PN1,bowern_chirila_2016,
meB,yoonga,yoːŋa,,,PN1,bowern_chirila_2016,
meZ,konky,konky,,,PN1,bowern_chirila_2016,
meZ,konbee,konpeː,,,PN1,bowern_chirila_2016,
mF,mumma,mumma,,,PN1,bowern_chirila_2016,
mM,weea,weːa,,,PN1,bowern_chirila_2016,
mM,weeya,weːya,,,PN1,bowern_chirila_2016,
mC,keetchaba,keet:yhapa,,,PN1,bowern_chirila_2016,"glossed as ""children"""
mC,yarpo kardo,yaɹpo kaʈo,,,PN1,bowern_chirila_2016,"glossed as ""children"""
feB,wannoo,wannoː,,,PN1,bowern_chirila_2016,
feB,yoonga,yoːŋa,,,PN1,bowern_chirila_2016,
feZ,konky,konky,,,PN1,bowern_chirila_2016,
feZ,konbee,konpeː,,,PN1,bowern_chirila_2016,
fF,mumma,mumma,,,PN1,bowern_chirila_2016,
fM,weea,weːa,,,PN1,bowern_chirila_2016,
fM,weeya,weːya,,,PN1,bowern_chirila_2016,
fC,keetchaba,keet:yhapa,,,PN1,bowern_chirila_2016,"glossed as ""children"""
fC,yarpo kardo,yaɹpo kaʈo,,,PN1,bowern_chirila_2016,"glossed as ""children"""
mZ,buyalu,,,,PN6(159),hercus_grammar_1999,"glossed as ""sister, youngest sister"""
meB,munia,,,,PN6(19),hercus_grammar_1999,
meB,murnia,,,,PN6(19),hercus_grammar_1999,
meB,maRiya,,,,"PN6(19, 173)",hercus_grammar_1999,
meB,marlany,,,,PN6(173),hercus_grammar_1999,
myB,pungaroo,,,,PN6(19),hercus_grammar_1999,
myB,bangunu,,,,PN6(19),hercus_grammar_1999,
meZ,ganggiya,,,,PN6(165),hercus_grammar_1999,
meZ,gangguru,,,,PN6(165),hercus_grammar_1999,"glossed as ""eldest sister"""
mF,mumaardu,,,,PN6(175),hercus_grammar_1999,
mF,mumaarda,,,,PN6(175),hercus_grammar_1999,
mC,buldu,,,,PN6(19),hercus_grammar_1999,
mS,pooldoo,,,,PN6(19),hercus_grammar_1999,
mS,buldu,,,,PN6(19),hercus_grammar_1999,
mS,gadya,,,,PN6(164),hercus_grammar_1999,
mS,gidya,,,,PN6(167),hercus_grammar_1999,"glossed as ""child, little one, regardless of gender; also used as kinship term: son"""
mD,nuttey,,,,PN6(19),hercus_grammar_1999,
mD,urndal,,,,PN6(181),hercus_grammar_1999,
mFF,bagarli,,,,PN6(154),hercus_grammar_1999,
mMF,bagarli,,,,PN6(154),hercus_grammar_1999,
mSS,bagarli,,,,PN6(154),hercus_grammar_1999,
mDS,bagarli,,,,PN6(154),hercus_grammar_1999,
mFB,kine,,,,PN6(19),hercus_grammar_1999,
mFB,gany,,,,"PN6(19, 166)",hercus_grammar_1999,
mFZ,kongeah,,,,PN6(19),hercus_grammar_1999,
