parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
meB,upunua,,male ego's older brother,ipoiki,,Ray1907,ipoiki = middle brother
myB,itamu,,male ego's younger brother,ipoiki,,Ray1907,ipoiki = middle brother
feB,upunua,,female ego's older brother,ipoiki,,Ray1907,ipoiki = middle brother
fyB,itamu,,female ego's younger brother,ipoiki,,Ray1907,ipoiki = middle brother
meZ,opadi,,male ego's older sister,opaki,,Ray1907,opaki = middle sister
myZ,amatiki,,male ego's younger sister,opaki,,Ray1907,opaki = middle sister
feZ,opadi,,female ego's older sister,opaki,,Ray1907,opaki = middle sister
fyZ,amatiki,,female ego's younger sister,opaki,,Ray1907,opaki = middle sister
mF,evad'a,,male ego's father,,,Ray1907,
mM,"ununu, oinona",,male ego's mother,,,Ray1907,
fF,evad'a,,female ego's father,,,Ray1907,
fM,"ununu, oinona",,female ego's mother,,,Ray1907,
mS,amaiki-unpama,,male ego's son,,,Ray1907,
fS,amaiki-unpama,,female ego's son,,,Ray1907,
mD,amaiki-udamu,,male ego's daughter,,,Ray1907,
fD,amaiki-udamu,,female ego's daughter,,,Ray1907,
mSS,"atoka, atokaiki",,male ego's son's son,,,Ray1907,
mSD,"atoka, atokaiki",,male ego's son's daughter,,,Ray1907,
mDS,"atoka, atokaiki",,male ego's daughter's son,,,Ray1907,
mDD,"atoka, atokaiki",,male ego's daughter's daughter,,,Ray1907,
fSS,"atoka, atokaiki",,female ego's son's son,,,Ray1907,
fSD,"atoka, atokaiki",,female ego's son's daughter,,,Ray1907,
fDS,"atoka, atokaiki",,female ego's daughter's son,,,Ray1907,
fDD,"atoka, atokaiki",,female ego's daugher's daughter,,,Ray1907,
mFF,"worad'a, atira",,male ego's father‘s father,,,Ray1907,
mFM,aped'olbo,,male ego's father's mother,,,Ray1907,
mMF,"atira, ated'a",,male ego's mother's father,,,Ray1907,
mMM,amid'a,,male ego's mother's mother,,,Ray1907,
fFF,"worad'a, atira",,female ego's father's father,,,Ray1907,
fFM,aped'olbo,,female ego's father's mother,,,Ray1907,
fMF,"atira, ated'a",,female ego's mother's father,,,Ray1907,
fMM,amid'a,,female ego's mother's mother,,,Ray1907,
mFeB,inata,,male ego's father's older brother,,,Ray1907,
mFyB,ivetiki,,male ego's father's younger brother,,,Ray1907,
mFeZ,imota,,male ego's father's older sister,,,Ray1907,
mFyZ,imotiki,,male ego's father's younger sister,,,Ray1907,
mMeB,"okota, arara",,male ego's mother's older brother,,,Ray1907,
mMyB,"arara, araiki",,male ego's mother's younger brother,,,Ray1907,
mMeZ,okota,,male ego's mother's older sister,,,Ray1907,
mMyZ,unatona,,male ego's mother's younger sister,,,Ray1907,
fFeB,inata,,female ego's father's older brother,,,Ray1907,
fFyB,ivetiki,,female ego's father's younger brother,,,Ray1907,
fFeZ,imota,,female ego's father's older sister,,,Ray1907,
fFyZ,imotiki,,female ego's father's younger sister,,,Ray1907,
fMeB,"okota, arara",,female ego's mother's older brother,,,Ray1907,
fMyB,"arara, araiki",,female ego's mother's younger brother,,,Ray1907,
fMeZ,okota,,female ego's mother's older sister,,,Ray1907,
fMyZ,unatona,,female ego's mother's younger sister,,,Ray1907,
mW,udamu,,male ego's wife,,,Ray1907,
fH,unpanu,,female ego‘s husband,,,Ray1907,
mDH,owana-muti,,male ego's daughter's husband,,,Ray1907,
fDH,owana-muti,,female ego's daughter's husband,,,Ray1907,
mSW,owanamuti,,male ego's son's wife,,,Ray1907,
fSW,owanamuti,,female ego's son's wife,,,Ray1907,
mWF,aiyuve,,male ego's wife's father,,,Ray1907,
mWM,aiyuve,,male ego's wife's mother,,,Ray1907,
mWB,mauwara,,male ego's wife's brother,,,Ray1907,
