parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
meB,thawirti,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
meB,thawirti thawirti,t̪awiʈi t̪awiʈi,,,PN1,bowern_chirila_2016,
meB,toweri,toweɹi,,,PN1,bowern_chirila_2016,
myB,kanamu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
meZ,thirrirri,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
meZ,thireri,t̪iɹeɹi,,,PN1,bowern_chirila_2016,
meZ,thirrirri,t̪iriri,,,PN1,bowern_chirila_2016,
myZ,kanamu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mF,karlu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mF,karlo,kaɭo,,,PN1,bowern_chirila_2016,
mF,karlu,kaɭu,,,PN1,bowern_chirila_2016,
mM,marnu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mM,marnu,maɳu,,,PN1,bowern_chirila_2016,
mM,mernoo,meɳoː,,,PN1,bowern_chirila_2016,
mC,kunkuyu,kunkuyu,,,PN1,bowern_chirila_2016,
mC,thiti,t̪iti,,,PN1,bowern_chirila_2016,
mC,pirlapirla,piɭapiɭa,,,PN1,bowern_chirila_2016,
mS,kunkuyu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mS,ngatharti,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mS,piyaka,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mS,thithi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mS,piyaka,piyaka,,,PN1,bowern_chirila_2016,"glosed as ""(man's) son, uncle?"""
mD,kunkuyu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mD,ngalhu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mD,ngatharti,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mD,thithi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mD,ngalhu,ŋal̪u,,,PN1,bowern_chirila_2016,"glossed as ""daughter (woman's father-in-law)"""
mFF,mutyu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFF,mutyu(tyu),mucu(cu),,,PN1,bowern_chirila_2016,
mFM,papu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFM,pawiri,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFM,pawiri,pawiɹi,,,PN1,bowern_chirila_2016,
mMF,tyatyityi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMF,tyatyityi,cacici,,,PN1,bowern_chirila_2016,
mMM,mutyu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMM,mutyu(tyu),mucu(cu),,,PN1,bowern_chirila_2016,
mSS,mutyu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mSS,papipi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mSS,papu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mSD,mutyu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mSD,papu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mDS,kangu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mDS,mutyu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mDS,kangu,kaŋu,,,PN1,bowern_chirila_2016,
mDD,kangu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mDD,mutyu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mDD,kangu,kaŋu,,,PN1,bowern_chirila_2016,
mFB,kurrirti,kuriʈi,,,PN1,bowern_chirila_2016,
mFZ,yimirti,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFZ,yimirti,yimiʈi,,,PN1,bowern_chirila_2016,
mMB,kurrirti,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMB,kurrirti,kuriʈi,,,PN1,bowern_chirila_2016,
mMZ,marnu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMZ,yarta,yaʈa,,,PN1,bowern_chirila_2016,
mMZ,yimirti,yimiʈi,,,PN1,bowern_chirila_2016,
mBS,kunkuyu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mBS,piyaka,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mBS,thithi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mBS,kunkuyu,kunkuyu,,,PN1,bowern_chirila_2016,
mBS,thiti,t̪iti,,,PN1,bowern_chirila_2016,
mBD,kunkuyu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mBD,thithi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mBD,kunkuyu,kunkuyu,,,PN1,bowern_chirila_2016,
mBD,thiti,t̪iti,,,PN1,bowern_chirila_2016,
mZS,ngatharti,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mZS,ngatharti,ŋat̪aʈi,,,PN1,bowern_chirila_2016,
mZD,ngatharti,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mZD,ngatharti,ŋat̪aʈi,,,PN1,bowern_chirila_2016,
mFBD,kangu,kaŋu,,,PN1,bowern_chirila_2016,"glossed as ""cousin"""
mMZD,kangu,kaŋu,,,PN1,bowern_chirila_2016,"glossed as ""cousin"""
mFBS,kangu,kaŋu,,,PN1,bowern_chirila_2016,"glossed as ""cousin"""
mMZS,kangu,kaŋu,,,PN1,bowern_chirila_2016,"glossed as ""cousin"""
mH,makurtu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mH,tyatyityi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mH,tyatyityi,cacici,,,PN1,bowern_chirila_2016,
mW,neer,neːɹ,,,PN1,bowern_chirila_2016,
mHF,pupi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mHM,yimirti,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mHM,yimirti,yimiʈi,,,PN1,bowern_chirila_2016,
mWF,mantiyirri,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mWF,mantiyirri,mantiyiri,,,PN1,bowern_chirila_2016,
mWM,waputhu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mWM,waputhu,waput̪u,,,PN1,bowern_chirila_2016,
mSW,ngatharti,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mSW,thithi,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mDH,piyaka,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mDH,waputhu,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFeB,kurrirti,kuriʈi,,,PN1,bowern_chirila_2016,Inferred; NA
mFyB,kurrirti,kuriʈi,,,PN1,bowern_chirila_2016,Inferred; NA
mFeZ,yimirti,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
mFeZ,yimirti,yimiʈi,,,PN1,bowern_chirila_2016,Inferred; NA
mFyZ,yimirti,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
mFyZ,yimirti,yimiʈi,,,PN1,bowern_chirila_2016,Inferred; NA
mMeZ,marnu,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
mMeZ,yarta,yaʈa,,,PN1,bowern_chirila_2016,Inferred; NA
mMeZ,yimirti,yimiʈi,,,PN1,bowern_chirila_2016,Inferred; NA
mMyZ,marnu,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
mMyZ,yarta,yaʈa,,,PN1,bowern_chirila_2016,Inferred; NA
mMyZ,yimirti,yimiʈi,,,PN1,bowern_chirila_2016,Inferred; NA
mMeB,kurrirti,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
mMeB,kurrirti,kuriʈi,,,PN1,bowern_chirila_2016,Inferred; NA
mMyB,kurrirti,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
mMyB,kurrirti,kuriʈi,,,PN1,bowern_chirila_2016,Inferred; NA
meBS,kunkuyu,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
meBS,piyaka,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
meBS,thithi,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
meBS,kunkuyu,kunkuyu,,,PN1,bowern_chirila_2016,Inferred; NA
meBS,thiti,t̪iti,,,PN1,bowern_chirila_2016,Inferred; NA
myBS,kunkuyu,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
myBS,piyaka,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
myBS,thithi,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
myBS,kunkuyu,kunkuyu,,,PN1,bowern_chirila_2016,Inferred; NA
myBS,thiti,t̪iti,,,PN1,bowern_chirila_2016,Inferred; NA
meBD,kunkuyu,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
meBD,thithi,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
meBD,kunkuyu,kunkuyu,,,PN1,bowern_chirila_2016,Inferred; NA
meBD,thiti,t̪iti,,,PN1,bowern_chirila_2016,Inferred; NA
myBD,kunkuyu,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
myBD,thithi,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
myBD,kunkuyu,kunkuyu,,,PN1,bowern_chirila_2016,Inferred; NA
myBD,thiti,t̪iti,,,PN1,bowern_chirila_2016,Inferred; NA
meZS,ngatharti,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
meZS,ngatharti,ŋat̪aʈi,,,PN1,bowern_chirila_2016,Inferred; NA
myZS,ngatharti,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
myZS,ngatharti,ŋat̪aʈi,,,PN1,bowern_chirila_2016,Inferred; NA
meZD,ngatharti,,,,PN3,bowern_austkin_nodate,Inferred; Autofilled from CB Austkin data
meZD,ngatharti,ŋat̪aʈi,,,PN1,bowern_chirila_2016,Inferred; NA
