parameter,word,ipa,description,alternative,source_raw,source_bibtex,comment
mB,kutarrum,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mB,panaam,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mB,bunahm,bunahm,,,PN1,bowern_chirila_2016,
mZ,nanaang,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mZ,tyitya,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mZ,nannong,nannong,,,PN1,bowern_chirila_2016,
meB,kakung,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
meB,kakuung,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
meB,punnam,punnam,,,PN1,bowern_chirila_2016,
meB,gaguhng,,,,PN29(785),wafer_handbook_2008,
myB,panaam,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
meZ,nanaang,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
meZ,nunong,nunong,,,PN1,bowern_chirila_2016,
myZ,yirrkaang,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mF,papang,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mF,piyal,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mF,piyang,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mF,piyul,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mF,biyang,,,,PN29(785),wafer_handbook_2008,
mM,watyung,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mM,waijung,waijung,,,PN1,bowern_chirila_2016,
mM,wyung,wayuŋ,,,PN1,bowern_chirila_2016,
mM,wadjung,,,,PN29(785),wafer_handbook_2008,
mC,jahdjam,,,,PN29(785),wafer_handbook_2008,
mS,mutyumkirr,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mS,muyum,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mS,muyuum,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mD,mutyumkirrkan,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mD,muyumkan,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mD,muyuum,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFF,ngathang,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFF,ngatyang,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFF,ngadjang,,,,PN29(785),wafer_handbook_2008,
mFM,kami,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFM,paapiny,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFM,paapuny,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFM,barbun,baɹbun,,,PN1,bowern_chirila_2016,
mMF,ngathang,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMF,ngatyang,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMF,ngadjang,,,,PN29(785),wafer_handbook_2008,
mMM,kami,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMM,paapuny,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMM,barbun,baɹbun,,,PN1,bowern_chirila_2016,
mSS,kami,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mSS,ngathang,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mSS,ngatyang,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mSD,kami,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mSD,ngami,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mDS,ngatyang,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mDS,paapuny,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mDD,ngami,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mDD,paapuny,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFB,papang,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFB,piyang,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFB,biung,biung,,,PN1,bowern_chirila_2016,
mFZ,ngarruny,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mFZ,ngaroon,ngaɹoːn,,,PN1,bowern_chirila_2016,
mMB,kawang,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMB,kulang,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMB,kuung /?,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
mMB,kauung,kauːng,,,PN1,bowern_chirila_2016,
mMZ,watyung,,,,PN3,bowern_austkin_nodate,Autofilled from CB Austkin data
